listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
AYR0202,Florianopolis-Canasvieiras_Perto-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,266,3103.81,16,3831.2,2025-10,0.5484,0.4607,17,31,229.82,234.0,2,0,2025-10-21,0.81,0.0,727.3899999999999,berlinda,2,4.0,3571.81,3360.4611999999997,11.106785080392564,77.48538011695906,Alta,🟠 Abaixo precisa esforço,
BPM1309,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,540,2895.18,212,3336.95,2025-10,0.6452,0.565,20,31,181.55,165.88,8,0,2025-10-21,0.87,0.0,441.77,berlinda,8,3.0,4222.219999999999,3751.386208,7.320138409825337,51.16959064327485,Alta,🟢 Abaixo viável,
ETC0028,Florianopolis-Centrao-apartamento-SUP-3Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,149,4922.2,19,5167.96,2025-10,0.5806,0.5456,18,31,384.39,207.17,6,0,2025-10-21,0.95,0.0,245.76000000000022,berlinda,6,2.0,6165.219999999999,5643.897412,4.9259378168561705,28.07017543859649,Média,🟢 Abaixo viável,
IDF105,Florianopolis-Canasvieiras_Perto-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",6,741,2392.74,25,2925.91,2025-10,0.84,0.5989,21,31,140.57,136.0,3,0,2025-10-21,0.82,843.42,533.1700000000001,berlinda,3,4.0,2800.74,2735.46,6.195604102655244,38.30409356725146,Média,🟠 Abaixo precisa esforço,
NWT0610,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,184,4258.85,37,5117.0,2025-10,0.6774,0.6892,21,31,265.62,261.33,3,0,2025-10-21,0.83,0.0,858.1499999999996,berlinda,3,4.0,5042.84,4789.924826,10.95663179108852,76.60818713450293,Alta,🟠 Abaixo precisa esforço,
BEH2209,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Pedro Ludovico",0,737,2243.58,160,2314.1,2025-10,0.4839,0.5185,15,31,169.33,136.0,7,0,2025-10-21,0.97,0.0,70.51999999999998,berlinda,7,1.0,3195.58,2704.2527999999998,4.144470852599282,19.883040935672515,Baixa,🟢 Abaixo viável,
BTR0302,Balneario_Camboriu-Intermediario-apartamento-JR-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",4,650,2257.49,48,2714.56,2025-10,0.5556,0.4293,15,31,155.5,115.0,4,0,2025-10-21,0.83,622.0,457.07000000000016,berlinda,4,4.0,2717.49,2513.066,4.840844372568668,26.608187134502927,Média,🟠 Abaixo precisa esforço,
CII0602,Porto_Belo-Geral-apartamento-SUP-2Q,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, Perequê",0,404,2289.62,25,2627.78,2025-10,0.6452,0.3451,20,31,156.85,166.5,8,0,2025-10-21,0.87,0.0,338.1600000000003,berlinda,8,3.0,3621.62,3149.0263999999997,7.1421047424061435,49.122807017543856,Média,🟢 Abaixo viável,
CSG305,Florianopolis-Canasvieiras_Perto-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,1318,1420.34,30,1645.04,2025-10,0.3548,0.355,11,31,147.45,139.0,2,0,2025-10-21,0.86,0.0,224.70000000000005,berlinda,2,2.0,1698.34,1518.9743999999998,9.493173418275545,68.42105263157895,Alta,🟠 Abaixo precisa esforço,
ECH504,Florianopolis-Centrao-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,553,4761.79,19,4935.1,2025-10,0.8065,0.434,25,31,231.96,167.67,3,0,2025-10-21,0.96,0.0,173.3100000000004,berlinda,3,2.0,5264.8,5167.467565,2.9441032299244267,7.894736842105263,Baixa,🟢 Abaixo viável,
HOX1010,Sao_Paulo-Pinheiros-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Pinheiros",0,106,3153.49,411,3734.05,2025-10,0.5806,0.5953,18,31,203.06,170.0,5,0,2025-10-21,0.84,0.0,580.5600000000004,berlinda,5,4.0,4003.49,3647.0,6.607785112679267,44.73684210526316,Média,🟠 Abaixo precisa esforço,
JBV167,Especial-JBV-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1090,8438.29,31,9849.29,2025-10,0.8387,0.7636,26,31,366.36,,0,0,2025-10-21,0.86,0.0,1411.0,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
NWT1421,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",2,321,4778.1,37,5117.0,2025-10,0.6552,0.6892,19,31,326.16,285.83,6,0,2025-10-21,0.93,652.32,338.89999999999964,berlinda,6,2.0,6493.08,5901.754896,9.465290893101413,68.12865497076024,Alta,🟢 Abaixo viável,
VAC2205,Barra_Velha-Tabuleiro-apartamento-SUP-2Q,Carteira 3,SC,"Barra Velha, SC","Barra Velha, SC, Itajuba",2,573,1241.73,71,1436.08,2025-10,0.3793,0.2249,11,31,137.82,174.25,8,0,2025-10-21,0.86,275.64,194.3499999999999,berlinda,8,2.0,2635.73,1770.4742,11.790947405437018,80.7017543859649,Crítico,🟢 Abaixo viável,
VST001,Especial-VST-casa-TOP-1Q,Carteira 5,SC,"Anitápolis, SC","Anitápolis, SC, Rio dos Pinheiros",0,92,2337.08,45,2754.3,2025-10,0.3871,0.1919,12,31,243.42,160.0,7,0,2025-10-21,0.85,0.0,417.22000000000025,berlinda,7,3.0,3457.08,2770.632,8.07890692129882,57.89473684210527,Alta,🟢 Abaixo viável,
ART003,Porto_Seguro-Pataxos-apartamento-JR-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Paraíso dos Pataxós",0,741,2733.44,69,3233.14,2025-10,0.6452,0.4628,20,31,189.0,159.33,3,0,2025-10-21,0.85,0.0,499.6999999999998,berlinda,3,4.0,3211.4300000000003,3041.839148,6.15633726037227,38.01169590643275,Média,🟠 Abaixo precisa esforço,
CEL1804,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",0,54,2214.98,160,2314.1,2025-10,0.5484,0.5185,17,31,162.82,157.5,2,0,2025-10-21,0.96,0.0,99.11999999999989,berlinda,2,1.0,2529.98,2387.726,6.7462080290393605,45.90643274853801,Média,🟢 Abaixo viável,
ILC1313,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1597,7510.68,16,7795.73,2025-10,0.8387,0.5768,26,31,369.38,324.0,4,0,2025-10-21,0.96,0.0,285.0499999999993,berlinda,4,1.0,8806.68,8597.6352,11.8470239477252,81.28654970760235,Crítico,🟢 Abaixo viável,
MSST1401,Goiania-Leste-apartamento-TOP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Jardim Goiás",0,736,2959.74,18,3455.04,2025-10,0.5806,0.5169,18,31,199.22,196.5,8,0,2025-10-21,0.86,0.0,495.3000000000002,berlinda,8,3.0,4531.74,3872.4431999999997,9.389804459572106,67.54385964912281,Alta,🟢 Abaixo viável,
