listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
CAT406,Florianopolis-Centrao-apartamento-JR-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,1489,0.0,58,2275.95,2025-10,0.0,0.4488,0,31,105.0,127.71,17,2025-10-13,0.0,0.0,2275.95,crítico
CBA0902,Itapema-Praia_Itapema-apartamento-SUP-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Morretes",5,173,0.0,13,2358.75,2025-10,0.0,0.4319,0,31,0.0,370.0,18,2025-10-13,0.0,0.0,2358.75,crítico
DPR0003,Balneario_Camboriu-Sul-apartamento-JR-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Barra",0,224,402.06,27,1563.43,2025-10,0.129,0.3682,4,31,113.0,111.72,18,2025-10-13,0.26,0.0,1161.3700000000001,crítico
EAC1303,Balneario_Camboriu-Centro-apartamento-JR-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,702,2708.96,41,1800.51,2025-10,0.6774,0.3099,21,31,157.0,153.86,7,2025-10-13,1.5,0.0,-908.45,ok
ECH113,Florianopolis-Centrao-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,607,3867.36,17,4799.1,2025-10,0.6774,0.3526,21,31,235.1,216.37,8,2025-10-13,0.81,0.0,931.7400000000002,berlinda
EHI0401,Itajai-Praia_Brava-apartamento-MASTER-2Q,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Praia Brava",7,286,3863.45,10,3991.3,2025-10,0.5,0.4114,12,31,390.62,281.3,10,2025-10-13,0.97,2734.34,127.85000000000036,berlinda
HMO0410,Sao_Paulo-Butanta-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Butantã",0,397,3104.79,26,2824.61,2025-10,0.5806,0.535,18,31,202.89,167.55,11,2025-10-13,1.1,0.0,-280.17999999999984,berlinda
LIB203,Florianopolis-Ingleses_Praia-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,1758,1588.02,25,2231.25,2025-10,0.3871,0.3621,12,31,167.08,187.85,13,2025-10-13,0.71,0.0,643.23,atenção
LTL0301,Itapema-Praia_Itapema-apartamento-TOP-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Morretes",1,133,947.86,18,3508.08,2025-10,0.2333,0.3988,7,31,168.15,163.77,13,2025-10-13,0.27,168.15,2560.22,crítico
MBCA0407,Goiania-Leste-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Jardim Goiás",0,716,2955.84,71,1873.51,2025-10,0.7097,0.367,22,31,169.77,187.75,8,2025-10-13,1.58,0.0,-1082.3300000000002,ok
MHFA0903,Itapema-Canto_Praia-apartamento-SUP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",2,329,1736.51,8,1430.68,2025-10,0.4828,0.2063,14,31,145.79,144.69,13,2025-10-13,1.21,291.58,-305.8299999999999,ok
NLV0506,Curitiba-Centro-apartamento-SUP-2Q,Carteira 4,PR,"Curitiba, PR","Curitiba, PR, Centro",0,195,1650.29,27,3711.0,2025-10,0.2581,0.5529,8,31,264.5,250.2,15,2025-10-13,0.44,0.0,2060.71,crítico
NVI501,Balneario_Camboriu-Sul-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Barra Sul",0,881,3891.03,50,3053.41,2025-10,0.5806,0.3529,18,31,259.0,186.33,6,2025-10-13,1.27,0.0,-837.6200000000003,ok
NWT0711,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,154,4514.36,26,4604.77,2025-10,0.6452,0.5984,20,31,286.4,285.27,11,2025-10-13,0.98,0.0,90.41000000000076,berlinda
