listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
EON0402,Goiania-Central-2-apartamento-SUP-3Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Oeste",1,3,1401.0,7,1440.75,2025-11,0.2069,0.196,6,30,271.17,305.12,17,2025-11-03,0.97,271.17,39.75,berlinda
ETE0308,Maceio-Ponta_Verde-apartamento-TOP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,395,1621.42,115,4435.91,2025-11,0.2667,0.5713,8,30,224.08,201.94,16,2025-11-03,0.37,0.0,2814.49,crítico
GDP0107,Brasilia-Asa_Sul-apartamento-SUP-1Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Asa Sul",0,645,2384.29,122,2966.5,2025-11,0.4333,0.5646,13,30,258.17,249.11,18,2025-11-03,0.8,0.0,582.21,berlinda
HAL103,Florianopolis-Novo_Campeche-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",1,820,4223.12,45,3953.83,2025-11,0.5517,0.4453,16,30,326.94,310.08,13,2025-11-03,1.07,326.94,-269.28999999999996,berlinda
IFT1003,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,171,3838.03,24,2714.64,2025-11,0.6667,0.2925,20,30,236.75,269.8,10,2025-11-03,1.41,0.0,-1123.3900000000003,ok
MHF1903,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,480,2133.98,17,1245.76,2025-11,0.3333,0.3257,10,30,242.5,236.0,20,2025-11-03,1.71,0.0,-888.22,ok
NBL0911,Porto_Alegre-Jardim_Botanico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Santa Cecília",0,702,215.34,44,1124.1,2025-11,0.0667,0.2505,2,30,130.0,153.0,27,2025-11-03,0.19,0.0,908.7599999999999,crítico
NWT1011,Especial-NWT-apartamento-MASTER-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",5,177,6276.94,26,5361.2,2025-11,0.6,0.5855,15,30,565.8,415.56,9,2025-11-03,1.17,2829.0,-915.7399999999998,ok
OBS0101,Itapema-Meia_Praia-Sul-apartamento-JR-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",16,123,806.1,13,2800.53,2025-11,0.4286,0.4325,6,30,168.33,110.0,6,2025-11-03,0.29,2693.28,1994.4300000000003,crítico
OGD0401,Florianopolis-Beira_Mar-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,248,4031.24,12,4501.17,2025-11,0.6333,0.4338,19,30,271.16,309.2,10,2025-11-03,0.9,0.0,469.9300000000003,berlinda
OKA216,Florianopolis-Campeche-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,729,2351.88,22,1969.86,2025-11,0.4667,0.3561,14,30,228.79,255.94,16,2025-11-03,1.19,0.0,-382.0200000000002,ok
PSOA0607,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,93,1895.3,12,1751.85,2025-11,0.2667,0.2595,8,30,214.1,179.55,20,2025-11-03,1.08,0.0,-143.45000000000005,berlinda
RFM0005,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-2Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",30,86,0.0,34,2500.7,2025-11,,0.2968,0,30,0.0,,0,2025-11-03,0.0,0.0,2500.7,crítico
RMI0007,Florianopolis-Ingleses_Praia-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",4,680,2547.18,48,3075.47,2025-11,0.3846,0.3116,10,30,212.36,234.5,12,2025-11-03,0.83,849.44,528.29,berlinda
RUP0805,Blumenau-Central-apartamento-SUP-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Escola Agrícola",1,402,268.08,50,856.57,2025-11,0.069,0.1654,2,30,149.0,133.92,24,2025-11-03,0.31,149.0,588.49,crítico
SFR0401,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,37,3475.08,32,2844.7,2025-11,0.5333,0.4531,16,30,193.85,247.63,8,2025-11-03,1.22,0.0,-630.3800000000001,ok
SHC1103,Balneario_Picarras-Geral-apartamento-TOP-2Q,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, Itacolomi",5,320,3550.66,32,2108.3,2025-11,0.6,0.2801,15,30,329.4,184.6,10,2025-11-03,1.68,1647.0,-1442.3599999999997,ok
SPJ0106,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,310,4857.72,19,5610.79,2025-11,0.6333,0.5559,19,30,320.42,283.55,11,2025-11-03,0.87,0.0,753.0699999999997,berlinda
SPJ0202,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,516,5414.31,19,5610.79,2025-11,0.7667,0.5559,23,30,356.83,257.0,7,2025-11-03,0.96,0.0,196.47999999999956,berlinda
SPJ0402,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,385,5314.34,19,5610.79,2025-11,0.7,0.5559,21,30,301.71,288.0,8,2025-11-03,0.95,0.0,296.4499999999998,berlinda
