listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
ABL0138,Florianopolis-Cachoeira_Bom_Jesus-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus",2,581,2732.94,16,760.59,2025-10,0.8621,0.2401,25,31,128.12,,0,14,2025-10-27,3.59,256.24,-1972.35,meta_subestimada
AHO1402,Porto_Alegre-Jardim_Botanico-apartamento-TOP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Petrópolis",0,828,3858.66,30,3197.13,2025-10,0.7419,0.4963,23,31,205.57,,0,0,2025-10-27,1.21,0.0,-661.5299999999997,ok
AIR1407,Porto_Alegre-Menino_Deus-apartamento-TOP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas",1,404,2402.88,32,2539.45,2025-10,0.3,0.576,9,31,333.0,333.0,4,31,2025-10-27,0.95,333.0,136.5699999999997,berlinda
ASK002,Florianopolis-Itacorubi-apartamento-JR-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Santa Mônica",3,1070,3021.4,12,1844.31,2025-10,0.9643,0.6804,27,31,144.89,,0,0,2025-10-27,1.64,434.66999999999996,-1177.0900000000001,ok
AVM0011,Salvador-Flamengo-casa-SUP-2Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Stella Maris",3,250,3621.69,10,2325.09,2025-10,0.5714,0.48,16,31,270.31,252.75,4,15,2025-10-27,1.56,810.9300000000001,-1296.6,ok
BLB1206,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,324,4678.08,209,3347.82,2025-10,0.9677,0.601,30,31,201.8,,0,0,2025-10-27,1.4,0.0,-1330.2599999999998,ok
CPR0107,Marau-Barra_Grande-apartamento-SUP-1Q,Carteira 2,BA,"Maraú, BA","Maraú, BA, Barra Grande",2,496,0.0,14,1496.17,2025-10,0.0,0.3517,0,31,0.0,346.5,4,31,2025-10-27,0.0,0.0,1496.17,crítico
CUA001,Urubici-Geral-casa-JR-1Q,Carteira 3,SC,"Urubici, SC","Urubici, SC, Área Rural",0,534,1195.65,23,1119.45,2025-10,0.3226,0.1424,10,31,127.3,114.25,4,0,2025-10-27,1.07,0.0,-76.20000000000005,berlinda
EEC0403,Guarapari-Centro-apartamento-JR-1Q,Carteira 4,ES,"Guarapari, ES","Guarapari, ES, Centro",0,114,862.72,69,2206.36,2025-10,0.2581,0.5388,8,31,127.38,123.25,4,0,2025-10-27,0.39,0.0,1343.64,crítico
ERT0210,Florianopolis-Jurere_Tradicional-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",1,250,4834.14,16,4831.55,2025-10,0.8667,0.6121,26,31,233.31,,0,0,2025-10-27,1.0,233.31,-2.5900000000001455,berlinda
FNX0101,Cabo_Frio-Pero_Longe-casa-JR-2Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Ogiva",8,645,2007.96,12,3602.0,2025-10,0.5217,0.5537,12,31,199.92,190.0,4,26,2025-10-27,0.56,1599.36,1594.04,atenção
ILC3103,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1463,7935.87,16,7820.79,2025-10,0.8065,0.6145,25,31,399.96,300.0,3,0,2025-10-27,1.01,0.0,-115.07999999999993,berlinda
ILC4506,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",13,92,6223.88,28,10019.61,2025-10,0.8889,0.8614,16,31,511.56,,0,0,2025-10-27,0.62,6650.28,3795.7300000000005,atenção
MDE0406,Canela-Catedral-apartamento-TOP-2Q,Carteira 4,RS,"Canela, RS","Canela, RS, Centro",0,260,2720.97,30,1950.07,2025-10,0.4194,0.2274,13,31,280.54,280.0,1,0,2025-10-27,1.4,0.0,-770.8999999999999,ok
MHF2002,Itapema-Canto_Praia-apartamento-TOP-2Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,317,6447.96,10,2671.81,2025-10,0.9032,0.2867,28,31,265.96,,0,0,2025-10-27,2.41,0.0,-3776.15,meta_subestimada
OKA142,Florianopolis-Campeche-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,1022,3715.21,25,2756.73,2025-10,0.7742,0.5652,24,31,188.0,194.0,1,0,2025-10-27,1.35,0.0,-958.48,ok
PSO0703,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,103,4298.03,18,2566.46,2025-10,0.9677,0.6596,30,31,180.33,,0,0,2025-10-27,1.67,0.0,-1731.5699999999997,ok
RSM0023,Porto_Seguro-Pataxos-casa-JR-3Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Praia de Taperapuan",8,90,3382.33,24,3661.85,2025-10,0.6957,0.5922,16,31,266.69,,0,0,2025-10-27,0.92,2133.52,279.52,berlinda
RTS0503,Balneario_Picarras-Geral-apartamento-TOP-2Q,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, Centro",0,357,4255.05,33,2398.7,2025-10,0.8387,0.3483,26,31,189.35,161.0,1,0,2025-10-27,1.77,0.0,-1856.3500000000004,ok
SPT0204,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Itoupava Seca",1,503,4654.07,48,6119.8,2025-10,0.4667,0.5972,14,31,395.57,101.25,4,13,2025-10-27,0.76,395.57,1465.7300000000005,atenção
STN205,Florianopolis-Ingleses_Norte-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,617,6190.57,20,3001.73,2025-10,0.8065,0.5171,25,31,320.2,,0,12,2025-10-27,2.06,0.0,-3188.8399999999997,meta_subestimada
VNR005,São_Miguel_dos_Milagres-Geral-apartamento-SUP-2Q,Carteira 2,AL,"São Miguel dos Milagres, AL","São Miguel dos Milagres, AL, Riacho",0,385,3263.2,39,4049.69,2025-10,0.4839,0.4982,15,31,258.73,210.0,3,0,2025-10-27,0.81,0.0,786.4900000000002,berlinda
ACB0204,Florianopolis-Cachoeira_Bom_Jesus-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus",7,181,2493.63,17,3702.24,2025-10,0.6667,0.5822,16,31,188.06,,0,0,2025-10-27,0.67,1316.42,1208.6099999999997,atenção
BLS0754,Goiania-Central-apartamento-TOP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista",0,15,2721.66,53,3116.1,2025-10,0.5806,0.5687,18,31,183.78,150.0,2,0,2025-10-27,0.87,0.0,394.44000000000005,berlinda
IDVA0903,Goiania-Central-2-apartamento-TOP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Oeste",6,747,4433.19,29,3495.91,2025-10,0.88,0.5191,22,31,239.73,,0,0,2025-10-27,1.27,1438.3799999999999,-937.2799999999997,ok
JSM0103,Salvador-Flamengo-apartamento-SUP-2Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Stella Maris",1,29,2801.13,50,3827.31,2025-10,0.6667,0.6675,20,31,176.15,,0,0,2025-10-27,0.73,176.15,1026.1799999999998,atenção
