listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
ADP001,Cabo_Frio-Pero_Perto-casa-JR-3Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Peró",30,698,0.0,12,2166.94,2025-11,,0.2632,0,30,0.0,256.0,1,0,2025-11-17,0.0,0.0,2166.94,crítico
BRJ143,Sao_Paulo-Republica-apartamento-TOP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Centro",0,432,2862.46,105,4584.01,2025-11,0.6333,0.6841,19,30,178.42,150.0,3,16,2025-11-17,0.62,0.0,1721.5500000000002,atenção
BSO0206,Itajai-Praia_Brava-apartamento-SUP-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores",0,198,2665.63,10,2960.79,2025-11,0.7,0.5296,21,30,149.48,147.0,5,0,2025-11-17,0.9,0.0,295.15999999999985,berlinda
CCP0207,Florianopolis-Canasvieiras_Meio-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,267,2635.53,13,3963.4,2025-11,0.4333,0.4749,13,30,266.77,194.86,7,0,2025-11-17,0.66,0.0,1327.87,atenção
CSI0302,Balneario_Picarras-Geral-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, Centro",2,445,2273.52,70,1815.81,2025-11,0.5714,0.3314,16,30,164.44,121.0,6,0,2025-11-17,1.25,328.88,-457.71000000000004,ok
DPR0009,Balneario_Camboriu-Sul-apartamento-JR-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Barra",0,235,1936.08,36,2019.49,2025-11,0.6333,0.505,19,30,125.11,111.11,9,0,2025-11-17,0.96,0.0,83.41000000000008,berlinda
ECH0503,Florianopolis-Centrao-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,115,5540.62,29,4506.98,2025-11,0.8,0.492,24,30,271.88,184.0,1,3,2025-11-17,1.23,0.0,-1033.6400000000003,ok
ECI0201,Guarapari-Nova_Guarapari-apartamento-JR-2Q,Carteira 4,ES,"Guarapari, ES","Guarapari, ES, Enseada Verde",0,452,1076.22,36,1824.84,2025-11,0.1,0.301,3,30,405.0,175.3,10,0,2025-11-17,0.59,0.0,748.6199999999999,atenção
IFT1203,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,123,4830.04,21,3163.06,2025-11,0.8667,0.3937,26,30,220.23,139.25,4,0,2025-11-17,1.53,0.0,-1666.98,ok
MLB0402,Florianopolis-Jurere_Internacional-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",30,359,0.0,26,6528.89,2025-11,,0.5255,0,30,0.0,,0,0,2025-11-17,0.0,0.0,6528.89,crítico
NWT1304,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,352,5865.05,41,4882.8,2025-11,0.7,0.6137,21,30,312.76,320.5,8,0,2025-11-17,1.2,0.0,-982.25,ok
NWT1309,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,318,7259.77,41,4882.8,2025-11,0.7931,0.6137,23,30,376.57,287.0,4,0,2025-11-17,1.49,376.57,-2376.9700000000003,ok
ONE0404,Salvador-Piata-apartamento-SUP-1Q,Carteira 5,BA,"Salvador, BA","Salvador, BA, Piatã",0,72,1161.9,23,1950.39,2025-11,0.3,0.5436,9,30,162.0,151.31,13,0,2025-11-17,0.6,0.0,788.49,atenção
PDM005,Porto_Seguro-Pataxos-apartamento-JR-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Taperapuan",0,621,1510.68,42,1757.91,2025-11,0.4,0.2825,12,30,149.19,154.0,1,0,2025-11-17,0.86,0.0,247.23000000000002,berlinda
RLN204,Gramado-Geral-apartamento-JR-2Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Ipê Amarelo",0,919,4945.33,46,4224.23,2025-11,0.6333,0.5148,19,30,337.42,267.0,3,0,2025-11-17,1.17,0.0,-721.1000000000004,ok
SEO0702,Itapema-Meia_Praia-Norte-apartamento-TOP-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",5,443,5135.55,16,3863.8,2025-11,0.56,0.2909,14,30,418.64,286.5,8,0,2025-11-17,1.33,2093.2,-1271.75,ok
SMT1029,Salvador-Boca_do_Rio-apartamento-TOP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Armação",18,303,0.0,16,3552.83,2025-11,0.0,0.6429,0,30,0.0,,0,0,2025-11-17,0.0,0.0,3552.83,crítico
VEC115,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,1040,5403.82,35,3520.7,2025-11,0.9667,0.5944,29,30,255.38,228.0,1,0,2025-11-17,1.53,0.0,-1883.12,ok
WBU2105,Goiania-Central-apartamento-TOP-1Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",1,757,2264.49,54,2402.71,2025-11,0.4483,0.4607,13,30,209.69,217.54,13,0,2025-11-17,0.94,209.69,138.22000000000025,berlinda
WBU2615,Goiania-Central-apartamento-TOP-1Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",0,138,3662.18,54,2402.71,2025-11,0.6667,0.4607,20,30,225.95,194.7,10,0,2025-11-17,1.52,0.0,-1259.4699999999998,ok
BLV0002,Porto_Seguro-Pataxos-apartamento-JR-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Alto do Xamagunga",3,58,0.0,42,1757.91,2025-11,0.0,0.2825,0,30,0.0,139.36,11,0,2025-11-17,0.0,0.0,1757.91,crítico
CNA002,Especial-CNA-casa-MASTER-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",0,1016,14838.34,25,9000.13,2025-11,0.7667,0.4689,23,30,729.58,582.33,3,0,2025-11-17,1.65,0.0,-5838.210000000001,ok
EDJ0410,Florianopolis-Ingleses_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,204,3400.03,35,3747.01,2025-11,0.6333,0.5268,19,30,227.32,198.0,3,0,2025-11-17,0.91,0.0,346.98,berlinda
GSH0102,Camaçari-Monte_Gordo-apartamento-TOP-2Q,Carteira 2,BA,"Camaçari, BA","Camaçari, BA, Monte Gordo",1,103,4316.98,22,5003.48,2025-11,0.4138,0.4249,12,30,422.25,334.86,7,12,2025-11-17,0.86,422.25,686.5,berlinda
ILC3312,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",2,1971,9166.68,16,10274.6,2025-11,0.6071,0.614,17,30,727.82,593.57,7,0,2025-11-17,0.89,1455.64,1107.92,berlinda
MHFB2005,Itapema-Canto_Praia-apartamento-SUP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",8,474,1592.22,10,3496.69,2025-11,0.4545,0.3962,10,30,192.5,166.9,10,0,2025-11-17,0.46,1540.0,1904.47,crítico
