listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
BLS0355,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista",1,554,3563.26,153,2323.9,2025-10,0.7667,0.4999,23,31,203.17,161.57,7,0,2025-10-20,1.53,203.17,-1239.3600000000001,ok
BSO0203,Itajai-Praia_Brava-apartamento-SUP-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores",0,162,2766.46,12,2549.91,2025-10,0.7097,0.4932,22,31,147.82,123.14,7,0,2025-10-20,1.08,0.0,-216.55000000000018,berlinda
CAU0199,Itapema-Meia_Praia-Norte-apartamento-JR-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Andorinha",4,13,2333.46,9,2433.13,2025-10,0.7037,0.3312,19,31,146.26,157.25,8,0,2025-10-20,0.96,585.04,99.67000000000007,berlinda
CDM0101,Itapema-Praia_Centro-apartamento-SUP-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Tabuleiro dos Oliveiras",8,40,270.62,12,1962.15,2025-10,0.087,0.2395,2,31,161.0,146.8,5,0,2025-10-20,0.14,1288.0,1691.5300000000002,crítico
CON1206,Porto_Alegre-PUC_RS-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Partenon",0,131,2424.09,21,2060.4,2025-10,0.6452,0.4882,20,31,149.5,130.0,1,0,2025-10-20,1.18,0.0,-363.69000000000005,ok
DMS0104,Gramado-Centro-apartamento-TOP-2Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Bairro Belverede",2,133,7210.32,64,5588.11,2025-10,0.5862,0.51,17,31,511.0,427.2,5,6,2025-10-20,1.29,1022.0,-1622.21,ok
EFR0104,Cabo_Frio-Centro-apartamento-JR-3Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Braga",6,631,3586.49,104,3369.49,2025-10,0.68,0.4384,17,31,266.47,,0,0,2025-10-20,1.06,1598.8200000000002,-217.0,berlinda
ERE418,Maceio-Cruz_das_Almas-apartamento-SUP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Cruz das Almas",0,520,3302.28,84,2880.08,2025-10,0.7419,0.6059,23,31,158.87,149.0,3,0,2025-10-20,1.15,0.0,-422.2000000000003,ok
IDI0306,Balneario_Camboriu-Centro-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Barra Sul",0,146,3542.63,52,3713.11,2025-10,0.6774,0.4648,21,31,231.67,161.86,7,0,2025-10-20,0.95,0.0,170.48000000000002,berlinda
ILC3111,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1867,8380.38,16,7820.79,2025-10,0.6774,0.5721,21,31,437.52,407.86,7,0,2025-10-20,1.07,0.0,-559.5899999999992,berlinda
IPS0701,Porto_Alegre-Jardim_Botanico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Petrópolis",1,12,2495.15,56,2067.32,2025-10,0.7,0.4838,21,31,148.14,130.0,2,0,2025-10-20,1.21,148.14,-427.8299999999999,ok
LEC0228,Brasilia-Asa_Sul-apartamento-SUP-1Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Setor Sudoeste",0,222,5087.47,119,3771.34,2025-10,0.871,0.7217,27,31,220.56,224.0,3,0,2025-10-20,1.35,0.0,-1316.13,ok
LES403,Florianopolis-Jurere_Longe-apartamento-TOP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",7,1505,6477.34,9,3709.4,2025-10,0.75,0.3705,18,31,454.83,405.0,3,0,2025-10-20,1.75,3183.81,-2767.94,ok
LHE0201,Balneario_Camboriu-Centro-apartamento-SUP-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Barra Sul",2,13,1272.6,70,4168.43,2025-10,0.2414,0.4274,7,31,260.71,191.0,11,0,2025-10-20,0.31,521.42,2895.8300000000004,crítico
MHF1408,Itapema-Canto_Praia-apartamento-TOP-2Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,265,5100.57,10,2321.09,2025-10,0.8065,0.2568,25,31,254.12,210.0,4,0,2025-10-20,2.2,0.0,-2779.4799999999996,meta_subestimada
NWT0602,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,184,3702.34,26,4908.83,2025-10,0.4839,0.6698,15,31,275.0,264.29,7,0,2025-10-20,0.75,0.0,1206.4899999999998,atenção
OBP0305,Penha-Beto_Carrero-apartamento-TOP-2Q,Carteira 3,SC,"Penha, SC","Penha, SC, Armação",1,287,3417.05,42,3427.41,2025-10,0.6333,0.3973,19,31,217.21,221.4,5,0,2025-10-20,1.0,217.21,10.359999999999673,berlinda
PAR0003,Urubici-Geral-casa-TOP-1Q,Carteira 3,SC,"Urubici, SC","Urubici, SC, Arroio do Engenho",4,698,4113.83,96,3341.9,2025-10,0.5185,0.2842,14,31,365.5,259.29,7,0,2025-10-20,1.23,1462.0,-771.9299999999998,ok
RSN301,Itapema-Longe-apartamento-JR-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Morretes",0,680,1795.56,8,2856.25,2025-10,0.4194,0.379,13,31,152.31,130.64,11,0,2025-10-20,0.63,0.0,1060.69,atenção
SOA0909,Salvador-Boca_do_Rio-apartamento-TOP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Boca do Rio",0,275,936.94,36,4866.25,2025-10,0.1935,0.542,6,31,178.17,229.73,11,0,2025-10-20,0.19,0.0,3929.31,crítico
SPJ0504,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,350,4889.81,16,4640.79,2025-10,0.871,0.5705,27,31,226.56,146.0,3,0,2025-10-20,1.05,0.0,-249.02000000000044,berlinda
SSG0207,Florianopolis-UFSC-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Córrego Grande",12,889,425.04,15,2465.73,2025-10,0.1579,0.4653,3,31,161.0,211.0,1,0,2025-10-20,0.17,1932.0,2040.69,crítico
VDI0401,Guarapari-Nova_Guarapari-apartamento-SUP-4Q,Carteira 4,ES,"Guarapari, ES","Guarapari, ES, Meaípe",7,107,5834.13,53,5366.01,2025-10,0.6667,0.5305,16,31,427.69,287.6,5,0,2025-10-20,1.09,2993.83,-468.1199999999999,berlinda
VNU1613,Sao_Paulo-Bela_Vista-apartamento-SUP-1Q,Carteira 6,SP,"São Paulo, SP","São Paulo, SP, Bela Vista",0,13,967.56,563,3014.16,2025-10,0.1935,0.5781,6,31,165.5,150.0,11,0,2025-10-20,0.32,0.0,2046.6,crítico
VST010,Especial-VST-casa-TOP-1Q,Carteira 5,SC,"Anitápolis, SC","Anitápolis, SC, Rio dos Pinheiros",0,456,2223.09,38,1878.37,2025-10,0.3548,0.1596,11,31,251.09,170.56,9,0,2025-10-20,1.18,0.0,-344.72000000000025,ok
WBU2405,Goiania-Central-apartamento-TOP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",0,741,2653.68,50,2582.99,2025-10,0.5161,0.4901,16,31,198.56,167.5,4,0,2025-10-20,1.03,0.0,-70.69000000000005,berlinda
