listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
BFT2905,Goiania-Leste-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Jardim Goiás",0,237,2745.2,77,2406.36,2025-10,0.7097,0.51,22,31,150.95,151.67,6,0,2025-10-21,1.14,0.0,-338.8399999999997,ok
CLE1203,Porto_Belo-Geral-apartamento-SUP-2Q,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, Perequê",2,224,2862.43,25,2627.78,2025-10,0.7931,0.3451,23,31,151.0,125.0,4,0,2025-10-21,1.09,302.0,-234.64999999999964,berlinda
CSC0212,Florianopolis-Ingleses_Norte-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses Norte",0,62,3130.16,48,2089.58,2025-10,0.6774,0.4886,21,31,180.67,,0,10,2025-10-21,1.5,0.0,-1040.58,ok
DVM0202,Florianopolis-Itacorubi-apartamento-JR-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Itacorubi",28,285,0.0,23,1994.97,2025-10,0.0,0.5362,0,31,0.0,,0,31,2025-10-21,0.0,0.0,1994.97,crítico
EIO203,Itapema-Meia_Praia-Norte-apartamento-JR-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",7,845,3128.62,9,2335.8,2025-10,0.9167,0.3377,22,31,170.32,144.5,2,0,2025-10-21,1.34,1192.24,-792.8199999999997,ok
EJF0702,Balneario_Camboriu-Intermediario-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,658,4380.04,71,2855.15,2025-10,0.8387,0.4309,26,31,216.5,,0,0,2025-10-21,1.53,0.0,-1524.8899999999999,ok
ELY0201,Florianopolis-Beira_Mar-apartamento-JR-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,679,3926.56,27,3185.45,2025-10,0.7419,0.4484,23,31,189.96,148.83,6,0,2025-10-21,1.23,0.0,-741.1100000000001,ok
IAA1003,Recife-Boa_Viagem-apartamento-TOP-1Q,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem",1,567,5460.64,53,4913.61,2025-10,0.9333,0.7065,28,31,213.18,,0,0,2025-10-21,1.11,213.18,-547.0300000000007,ok
IDP104,Florianopolis-Ingleses_Norte-apartamento-SUP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",9,1821,2931.51,21,2428.26,2025-10,0.6818,0.3508,15,31,298.6,203.0,3,0,2025-10-21,1.21,2687.4,-503.25,ok
JBV276,Especial-JBV-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1034,10634.77,25,7692.08,2025-10,0.9355,0.6044,29,31,466.03,278.0,1,0,2025-10-21,1.38,0.0,-2942.6900000000005,ok
