listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
TSR0501,Ilheus-Sul-apartamento-SUP-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Nossa Senhora da Vitória",0,75,2724.66,36,1909.53,2025-11,0.6,0.2911,18,30,201.89,173.8,10,2025-11-11,1.43,0.0,-815.1299999999999,ok
VST009,Especial-VST-casa-TOP-1Q,Carteira 5,SC,"Anitápolis, SC","Anitápolis, SC, Rio dos Pinheiros",3,488,2079.0,41,2231.25,2025-11,0.4444,0.1613,12,30,223.25,194.18,11,2025-11-11,0.93,669.75,152.25,berlinda
EON0402,Goiania-Central-2-apartamento-SUP-3Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Oeste",0,3,3285.82,8,2599.3,2025-11,0.4667,0.2983,14,30,264.36,292.4,15,2025-11-11,1.26,0.0,-686.52,ok
ETE0308,Maceio-Ponta_Verde-apartamento-TOP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,395,3381.16,123,4671.6,2025-11,0.6333,0.6591,19,30,211.74,206.0,9,2025-11-11,0.72,0.0,1290.4400000000005,atenção
GDP0107,Brasilia-Asa_Sul-apartamento-SUP-1Q,Carteira 1_sys-price,DF,"Brasília, DF","Brasília, DF, Asa Sul",0,645,3603.55,139,3635.09,2025-11,0.5667,0.7138,17,30,260.47,226.27,11,2025-11-11,0.99,0.0,31.539999999999964,berlinda
HAL103,Florianopolis-Novo_Campeche-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",2,820,6007.76,45,5541.43,2025-11,0.7857,0.5773,22,30,329.95,285.67,3,2025-11-11,1.08,659.9,-466.3299999999999,berlinda
IFT1003,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,171,4167.57,22,3277.09,2025-11,0.7,0.375,21,30,233.82,211.13,8,2025-11-11,1.27,0.0,-890.4799999999996,ok
MHF1903,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,480,4300.18,17,2947.0,2025-11,0.7,0.4478,21,30,234.24,246.43,7,2025-11-11,1.46,0.0,-1353.1800000000003,ok
NBL0911,Porto_Alegre-Jardim_Botanico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Santa Cecília",0,702,706.66,60,1567.83,2025-11,0.2,0.3503,6,30,143.17,131.94,16,2025-11-11,0.45,0.0,861.17,crítico
NWT1011,Especial-NWT-apartamento-MASTER-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",5,177,7360.05,30,6165.78,2025-11,0.72,0.6885,18,30,542.94,375.0,2,2025-11-11,1.19,2714.7000000000003,-1194.2700000000004,ok
