listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
BCA0601,Salvador-Ondina_Rio_Vermelho-apartamento-SUP-2Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0.0,528,7728.24,44,3618.84,2025-12,0.7097,0.4574,22.0,31,416.59,392.67,9.0,0.0,2025-12-01,2.14,0.0,-4109.4,meta_subestimada
BLS0358,Goiania-Central-apartamento-SUP-1Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Marista",0.0,808,930.88,106,915.87,2025-12,0.1935,0.1609,6.0,31,186.17,171.28,25.0,8.0,2025-12-01,1.02,0.0,-15.009999999999991,berlinda
CSCA1110,Florianopolis-Ingleses_Norte-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0.0,1448,8951.16,56,3996.59,2025-12,0.6774,0.367,21.0,31,594.76,319.9,10.0,0.0,2025-12-01,2.24,0.0,-4954.57,meta_subestimada
ETI0724,Maceio-Ponta_Verde-apartamento-TOP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Ponta Verde",0.0,340,5573.59,111,4474.52,2025-12,0.5161,0.4818,16.0,31,426.06,315.2,15.0,0.0,2025-12-01,1.25,0.0,-1099.0699999999997,ok
EVE0104,Florianopolis-Ingleses_Praia-apartamento-JR-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",5.0,234,6820.76,63,7558.2,2025-12,0.5385,0.3844,14.0,31,582.57,1114.08,12.0,0.0,2025-12-01,0.9,2912.8500000000004,737.4399999999996,berlinda
JMA025,Florianopolis-Jurere_Longe-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0.0,244,1839.76,42,3939.68,2025-12,0.0645,0.3823,2.0,31,1000.0,338.54,28.0,0.0,2025-12-01,0.47,0.0,2099.92,crítico
JPR201,Especial-JPR-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0.0,1300,12017.58,15,9882.1,2025-12,0.6129,0.5496,19.0,31,862.53,1154.09,11.0,0.0,2025-12-01,1.22,0.0,-2135.4799999999996,ok
JRS0130,Penha-Beto_Carrero-casa-JR-4Q,Carteira 3,SC,"Penha, SC","Penha, SC, Armação",12.0,62,2651.48,18,6452.57,2025-12,0.4211,0.3977,8.0,31,428.0,452.7,10.0,0.0,2025-12-01,0.41,5136.0,3801.0899999999997,crítico
MRE801,Porto_Belo-Geral-apartamento-TOP-2Q,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, Perequê",1.0,289,6248.3,14,5599.84,2025-12,0.2333,0.3573,7.0,31,1099.86,421.17,23.0,0.0,2025-12-01,1.12,1099.86,-648.46,ok
PMO0404,Florianopolis-Estreito-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Coqueiros",10.0,423,0.0,27,4116.85,2025-12,0.0,0.3839,0.0,31,0.0,414.1,21.0,30.0,2025-12-01,0.0,0.0,4116.85,crítico
POR0017,Brasilia-Asa_Sul-apartamento-SUP-1Q,Carteira 1_sys-price,DF,"Brasília, DF","Brasília, DF, Setor Sudoeste",15.0,174,2813.3,131,1856.96,2025-12,0.875,0.381,14.0,31,263.86,183.0,2.0,0.0,2025-12-01,1.52,3957.9,-956.3400000000001,ok
RDO0025,Balneario_Picarras-Geral-casa-JR-3Q,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, Itacolomi",5.0,234,6379.06,19,5714.92,2025-12,0.5769,0.3006,15.0,31,561.27,233.55,11.0,0.0,2025-12-01,1.12,2806.35,-664.1400000000003,ok
SCA0108,Florianopolis-Santo_Antonio_de_Lisboa-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cacupé",0.0,66,1495.58,13,4399.09,2025-12,0.2258,0.4646,7.0,31,266.43,562.65,23.0,0.0,2025-12-01,0.34,0.0,2903.51,crítico
SDR010,Florianopolis-Lagoa-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa da Conceição",31.0,1552,0.0,29,4977.73,2025-12,,0.5714,0.0,31,0.0,,0.0,0.0,2025-12-01,0.0,0.0,4977.73,crítico
SFR0315,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0.0,67,7264.04,37,5567.5,2025-12,0.6129,0.4579,19.0,31,434.05,652.25,12.0,0.0,2025-12-01,1.3,0.0,-1696.54,ok
