listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,score_risco_bruto,status_operacional
CPL025,Canela-Catedral-apartamento-TOP-1Q,Carteira 4,RS,"Canela, RS","Canela, RS, Centro",0,175,2114.74,32,2459.71,2025-10,0.4194,0.3728,13,31,214.31,206.6,10,2025-10-17,0.86,0.0,344.97000000000025,berlinda,10,2.0,4180.74,2981.2203999999997,14.487643258758158,87.66756032171583,Crítico,,🟢 Abaixo viável
ICT0104B,Florianopolis-Ingleses_Centro-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses Norte",0,106,1667.6,17,1946.5,2025-10,0.4839,0.4695,15,31,144.47,150.9,10,2025-10-17,0.86,0.0,278.9000000000001,berlinda,10,2.0,3176.6,2397.8051,10.810688415104035,71.84986595174263,Alta,,🟢 Abaixo viável
ILC1212,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",3,650,6301.78,16,6612.72,2025-10,0.6786,0.5488,19,31,404.58,500.0,6,2025-10-17,0.95,1213.74,310.9400000000005,berlinda,6,1.0,9301.779999999999,8337.58,23.51074898075228,97.05093833780161,Crítico,,🟢 Abaixo viável
JPR217,Especial-JPR-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,895,4186.29,17,4734.86,2025-10,0.7097,0.5314,22,31,242.45,220.86,7,2025-10-17,0.88,0.0,548.5699999999997,berlinda,7,3.0,5732.3099999999995,5283.500394000001,8.529444038472093,56.30026809651475,Alta,,🟢 Abaixo viável
NWT0921,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,190,4383.48,26,4859.73,2025-10,0.6129,0.6467,19,31,280.16,326.29,7,2025-10-17,0.9,0.0,476.25,berlinda,7,2.0,6667.51,5783.361987,15.988091159385402,90.88471849865952,Crítico,,🟢 Abaixo viável
TXP0807,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",0,728,1966.2,152,2199.8,2025-10,0.3871,0.4678,12,31,178.75,146.0,14,2025-10-17,0.89,0.0,233.60000000000014,berlinda,14,2.0,4010.2,2757.4324,7.751977452495684,47.45308310991957,Média,,🟢 Abaixo viável
ILC3401,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",6,1315,8009.64,28,8941.41,2025-10,0.76,0.7662,19,31,491.37,378.0,6,2025-10-17,0.9,2948.2200000000003,931.7699999999995,berlinda,6,3.0,10277.64,9733.32,13.130257979446181,82.84182305630027,Crítico,,🟢 Abaixo viável
NWT0611,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,184,4473.39,26,4859.73,2025-10,0.5,0.6467,15,31,261.8,253.6,5,2025-10-17,0.92,261.8,386.33999999999924,berlinda,5,2.0,5741.39,5107.39,10.08037730491198,67.02412868632707,Alta,,🟢 Abaixo viável
RSC0102,Florianopolis-Cachoeira_Bom_Jesus-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus",0,334,2134.9,13,2277.41,2025-10,0.6774,0.2774,21,31,125.05,112.13,8,2025-10-17,0.94,0.0,142.50999999999976,berlinda,8,2.0,3031.94,2742.554896,3.5082936976653243,9.919571045576408,Baixa,,🟢 Abaixo viável
BSO0202,Itajai-Praia_Brava-apartamento-SUP-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores",0,161,2529.78,12,3016.83,2025-10,0.6774,0.4947,21,31,136.14,128.57,7,2025-10-17,0.84,0.0,487.0499999999997,berlinda,7,4.0,3429.7700000000004,3139.433226,5.189223332106878,26.005361930294907,Média,,🟢 Abaixo viável
ERE0302,Maceio-Cruz_das_Almas-apartamento-JR-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Cruz das Almas",0,34,2263.88,25,2374.73,2025-10,0.7742,0.7188,24,31,117.0,104.86,7,2025-10-17,0.95,0.0,110.84999999999991,berlinda,7,2.0,2997.9,2832.158284,2.447379491563249,5.093833780160858,Baixa,,🟢 Abaixo viável
ILC4102,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,924,8736.26,28,8941.41,2025-10,0.7097,0.7662,22,31,533.41,405.0,3,2025-10-17,0.98,0.0,205.14999999999964,berlinda,3,1.0,9951.26,9598.5455,9.292242498666301,61.93029490616622,Alta,,🟢 Abaixo viável
IPTR0241,Balneario_Camboriu-Centro-apartamento-MASTER-2Q,Carteira 4,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",14,6,6307.92,16,6348.75,2025-10,0.7059,0.5131,12,31,488.75,,0,2025-10-17,0.99,6842.5,40.82999999999993,berlinda,0,0.0,,,,,Baixa,,🔴 Abaixo inviável
NWT0505,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,335,4335.46,26,4859.73,2025-10,0.4516,0.6467,14,31,365.57,283.4,5,2025-10-17,0.89,0.0,524.2699999999995,berlinda,5,2.0,5752.46,4975.3772,15.286663868157271,89.00804289544236,Crítico,,🟢 Abaixo viável
RLV0206,Florianopolis-Novo_Campeche-apartamento-SUP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",9,286,4748.34,52,5183.77,2025-10,0.8636,0.4603,19,31,322.53,250.0,1,2025-10-17,0.92,2902.7699999999995,435.4300000000003,berlinda,1,2.0,4998.34,4964.24,10.499838920322473,69.70509383378017,Alta,,🟠 Abaixo precisa esforço
SSG0102,Florianopolis-UFSC-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Córrego Grande",0,964,2179.58,15,2465.73,2025-10,0.4516,0.4447,14,31,207.29,196.5,6,2025-10-17,0.88,0.0,286.1500000000001,berlinda,6,2.0,3358.58,2712.0164,11.401993527271845,75.87131367292224,Alta,,🟢 Abaixo viável
VGZ0003,Imbituba-Praia_do_Rosa-casa-SUP-1Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",0,589,2383.73,45,2557.22,2025-10,0.6452,0.2533,20,31,145.05,110.0,4,2025-10-17,0.93,0.0,173.48999999999978,berlinda,4,2.0,2823.73,2667.618,3.7313762601575102,12.600536193029491,Baixa,,🟢 Abaixo viável
MSST1401,Goiania-Leste-apartamento-TOP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Jardim Goiás",0,736,2959.74,18,3568.91,2025-10,0.5806,0.5117,18,31,199.22,229.3,10,2025-10-17,0.83,0.0,609.1700000000001,berlinda,10,3.0,5252.74,4291.0558,13.046250442478705,82.03753351206434,Crítico,,🟢 Abaixo viável
NEB0103,Blumenau-Central-apartamento-SUP-2Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Velha",3,370,6909.78,53,7273.45,2025-10,0.3214,0.5216,9,31,805.33,195.5,10,2025-10-17,0.95,2415.9900000000002,363.6700000000001,berlinda,10,2.0,8864.779999999999,7538.117,4.887466401776322,23.59249329758713,Média,,🟢 Abaixo viável
MPB0034,Itajai-Praia_Brava-apartamento-SUP-2Q,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Praia Brava",0,162,2597.44,13,3231.19,2025-10,0.5161,0.4312,16,31,191.19,175.1,10,2025-10-17,0.8,0.0,633.75,berlinda,10,4.0,4348.4400000000005,3501.1311,8.585817067396224,57.10455764075068,Alta,,🟢 Abaixo viável
RFM0001,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-JR-2Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",1,294,2477.54,21,3043.84,2025-10,0.4333,0.4233,13,31,232.62,167.4,10,2025-10-17,0.81,232.62,566.3000000000002,berlinda,10,4.0,4151.54,3202.8842,7.7861040659167395,48.525469168900806,Média,,🟢 Abaixo viável
RUL0035,Ubatuba-Toninhas-casa-JR-3Q,Carteira 4,SP,"Ubatuba, SP","Ubatuba, SP, Toninhas",7,135,4417.33,12,4691.79,2025-10,0.5833,0.2474,14,31,406.29,280.13,8,2025-10-17,0.94,2844.03,274.46000000000004,berlinda,8,1.0,6658.37,5724.528632,16.38702495209718,91.68900804289544,Crítico,,🟢 Abaixo viável
SPT0103,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Itoupava Seca",0,562,4876.15,46,5475.18,2025-10,0.4516,0.5326,14,31,402.5,155.11,9,2025-10-17,0.89,0.0,599.0300000000007,berlinda,9,4.0,6272.139999999999,5506.579084,4.242579390083983,17.694369973190348,Baixa,,🟢 Abaixo viável
TBS1105,Florianopolis-Novo_Campeche-apartamento-MASTER-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,845,4507.56,53,5112.0,2025-10,0.5806,0.5107,18,31,300.61,290.63,8,2025-10-17,0.88,0.0,604.4399999999996,berlinda,8,3.0,6832.6,5857.478224,11.454642488262902,76.40750670241286,Alta,,🟢 Abaixo viável
CTA022,Florianopolis-Praia_Brava-apartamento-SUP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Praia Brava",7,1364,4819.06,22,5003.48,2025-10,0.9583,0.348,23,31,247.3,,0,2025-10-17,0.96,1731.1000000000001,184.41999999999916,berlinda,0,0.0,,,,,Baixa,,🔴 Abaixo inviável
EAN503,Balneario_Camboriu-Centro-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,1034,3032.06,50,3625.68,2025-10,0.5806,0.4437,18,31,188.72,234.0,8,2025-10-17,0.84,0.0,593.6199999999999,berlinda,8,3.0,4904.0599999999995,4118.9432,12.77066922618653,80.9651474530831,Crítico,,🟢 Abaixo viável
LAR0406,Gramado-Centro-apartamento-TOP-2Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Vila Suiça",7,650,4425.26,65,5455.72,2025-10,0.5417,0.4965,13,31,486.54,349.14,7,2025-10-17,0.81,3405.78,1030.46,berlinda,7,3.0,6869.24,5749.163966,21.981504695988793,96.51474530831099,Crítico,,🟢 Abaixo viável
GSH0101,Camaçari-Monte_Gordo-apartamento-TOP-2Q,Carteira 2,BA,"Camaçari, BA","Camaçari, BA, Monte Gordo",5,195,6438.78,26,7955.68,2025-10,0.8846,0.5623,23,31,319.22,280.0,1,2025-10-17,0.81,1596.1000000000001,1516.9000000000005,berlinda,1,6.0,6718.78,6686.468,8.897877575099386,58.98123324396782,Alta,,🟠 Abaixo precisa esforço
JBV157,Especial-JBV-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1090,8577.33,31,8984.88,2025-10,0.8387,0.728,26,31,414.19,375.0,4,2025-10-17,0.95,0.0,407.5499999999993,berlinda,4,2.0,10077.33,9835.38,8.504913254267153,55.76407506702413,Alta,,🟢 Abaixo viável
NWT0323,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,314,3902.08,26,4859.73,2025-10,0.5161,0.6467,16,31,298.5,280.13,8,2025-10-17,0.8,0.0,957.6499999999996,berlinda,8,4.0,6143.12,5058.680744,13.80048348879464,86.32707774798928,Crítico,,🟢 Abaixo viável
VLP0105,Mata_de_Sao_Joao-Praia_do_Forte-apartamento-SUP-2Q,Carteira 2,BA,"Mata de São João, BA","Mata de São João, BA, Praia do Forte",0,586,4630.14,30,5586.73,2025-10,0.6129,0.4208,19,31,305.95,268.33,9,2025-10-17,0.83,0.0,956.5899999999992,berlinda,9,4.0,7045.110000000001,6110.275113,11.486226947606195,76.67560321715817,Alta,,🟢 Abaixo viável
VLPD0223,Mata_de_Sao_Joao-Praia_do_Forte-apartamento-SUP-1Q,Carteira 2,BA,"Mata de São João, BA","Mata de São João, BA, Açu da Torre",3,71,3638.49,34,4076.09,2025-10,0.6429,0.4609,18,31,235.22,254.0,8,2025-10-17,0.89,705.66,437.60000000000036,berlinda,8,2.0,5670.49,4944.8628,13.634438886285642,85.52278820375335,Crítico,,🟢 Abaixo viável
CEV1106,Balneario_Camboriu-Intermediario-apartamento-JR-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,456,2049.44,55,2325.6,2025-10,0.5161,0.4956,16,31,144.56,145.7,10,2025-10-17,0.88,0.0,276.15999999999985,berlinda,10,2.0,3506.44,2801.3977,8.650780873753005,57.64075067024129,Alta,,🟢 Abaixo viável
CPK1009,Ilheus-Sul-apartamento-TOP-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Nossa Senhora da Vitória",6,285,3380.53,16,3843.85,2025-10,0.44,0.4094,11,31,274.57,211.0,6,2025-10-17,0.88,1647.42,463.3199999999997,berlinda,6,3.0,4646.530000000001,3937.57,8.477656516253234,55.49597855227882,Alta,,🟢 Abaixo viável
