listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
EVE0104,Florianopolis-Ingleses_Praia-apartamento-JR-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",5.0,234,6820.76,63,7558.2,2025-12,0.5385,0.3844,14.0,31,582.57,1114.08,12.0,0.0,2025-12-01,0.9,2912.8500000000004,737.4399999999996,berlinda,12,1.0,20189.72,14019.94496,108.69878479002931,94.53781512605042,Crítico,🟢 Abaixo viável,
NWT0903,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0.0,249,4377.85,34,4511.21,2025-12,0.5484,0.3523,17.0,31,296.29,861.14,14.0,0.0,2025-12-01,0.97,0.0,133.35999999999967,berlinda,14,1.0,16433.809999999998,10989.338464,25.456946229503764,52.10084033613446,Alta,🟢 Abaixo viável,
BVE101,Florianopolis-Campeche-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0.0,588,3965.43,13,4383.31,2025-12,0.2258,0.264,7.0,31,639.29,490.78,23.0,0.0,2025-12-01,0.9,0.0,417.88000000000056,berlinda,23,1.0,15253.369999999999,6514.246852,46.788191207101534,75.21008403361344,Alta,🟢 Abaixo viável,
HMC0320,Sao_Paulo-Campo_Belo-apartamento-SUP-1Q,Carteira 4_sys-price,SP,"São Paulo, SP","São Paulo, SP, Campo Belo",0.0,327,1444.3,116,1659.13,2025-12,0.3871,0.3603,12.0,31,150.25,148.84,19.0,0.0,2025-12-01,0.87,0.0,214.83000000000015,berlinda,19,2.0,4272.26,2539.0033160000003,9.636163893124714,10.92436974789916,Baixa,🟢 Abaixo viável,
IRE021,Ubatuba-Praia_Grande-apartamento-SUP-2Q,Carteira 4,SP,"Ubatuba, SP","Ubatuba, SP, Praia Grande",0.0,663,7145.17,160,7282.26,2025-12,0.4516,0.42,14.0,31,716.29,533.53,17.0,27.0,2025-12-01,0.98,0.0,137.09000000000015,berlinda,17,1.0,16215.18,11241.186516,10.043808886252355,13.025210084033615,Baixa,🟢 Abaixo viável,
JBM302,Florianopolis-Jurere_Tradicional-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",1.0,2001,7351.88,20,8832.52,2025-12,0.6,0.5077,18.0,31,576.61,1398.83,12.0,0.0,2025-12-01,0.83,576.61,1480.6400000000003,berlinda,12,2.0,24137.84,17423.456,117.24647389420007,96.21848739495799,Crítico,🟢 Abaixo viável,
RBE0031,Florianopolis-UFSC-apartamento-SUP-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Trindade",0.0,466,4109.44,20,4727.12,2025-12,0.3548,0.4322,11.0,31,457.64,346.95,20.0,0.0,2025-12-01,0.87,0.0,617.6800000000003,berlinda,20,2.0,11048.439999999999,6571.397199999999,22.667509604156454,46.63865546218487,Média,🟢 Abaixo viável,
VDM303,Florianopolis-Canajure-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0.0,232,5166.94,43,5985.49,2025-12,0.6129,0.4595,19.0,31,356.37,788.5,12.0,0.0,2025-12-01,0.86,0.0,818.5500000000002,berlinda,12,2.0,14628.939999999999,10966.199799999999,53.915942972087514,80.25210084033614,Crítico,🟢 Abaixo viável,
VLA,Florianopolis-Santinho-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0.0,315,8371.25,12,9380.18,2025-12,0.4839,0.3985,15.0,31,714.8,383.27,15.0,0.0,2025-12-01,0.89,0.0,1008.9300000000003,berlinda,15,3.0,14120.3,11153.215295,13.7414776368897,22.268907563025213,Média,🟢 Abaixo viável,
ELF0402,Bombinhas-Bombas-apartamento-SUP-1Q,Especial,SC,"Bombinhas, SC","Bombinhas, SC, José Amândio",2.0,217,4041.92,33,4887.09,2025-12,0.5172,0.3346,15.0,31,320.13,899.14,14.0,23.0,2025-12-01,0.83,640.26,845.1700000000001,berlinda,14,1.0,16629.879999999997,10552.412912,155.49665625147068,99.15966386554622,Crítico,🟢 Abaixo viável,
