listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
AIR1407,Porto_Alegre-Menino_Deus-apartamento-TOP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas",1,404,2402.88,32,2539.45,2025-10,0.3,0.576,9,31,333.0,333.0,4,31,2025-10-27,0.95,333.0,136.5699999999997,berlinda,4,1.0,3734.88,2802.48,17.908527437043418,95.30201342281879,Crítico,🟢 Abaixo viável,
RSM0023,Porto_Seguro-Pataxos-casa-JR-3Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Praia de Taperapuan",8,90,3382.33,24,3661.85,2025-10,0.6957,0.5922,16,31,266.69,,0,0,2025-10-27,0.92,2133.52,279.52,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
VNR005,São_Miguel_dos_Milagres-Geral-apartamento-SUP-2Q,Carteira 2,AL,"São Miguel dos Milagres, AL","São Miguel dos Milagres, AL, Riacho",0,385,3263.2,39,4049.69,2025-10,0.4839,0.4982,15,31,258.73,210.0,3,0,2025-10-27,0.81,0.0,786.4900000000002,berlinda,3,4.0,3893.2,3568.057,10.196021176929595,78.18791946308725,Alta,🟠 Abaixo precisa esforço,
BLS0754,Goiania-Central-apartamento-TOP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista",0,15,2721.66,53,3116.1,2025-10,0.5806,0.5687,18,31,183.78,150.0,2,0,2025-10-27,0.87,0.0,394.44000000000005,berlinda,2,3.0,3021.66,2895.8399999999997,6.329065177625879,44.29530201342282,Média,🟠 Abaixo precisa esforço,
NWT0815,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,155,4806.53,34,5613.71,2025-10,0.6667,0.7261,20,31,285.6,280.0,1,0,2025-10-27,0.86,285.6,807.1800000000003,berlinda,1,3.0,5086.53,4993.206,13.420144610248842,90.60402684563759,Crítico,🟠 Abaixo precisa esforço,
NWT1022,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,168,5424.24,34,5613.71,2025-10,0.7667,0.7261,23,31,277.22,,0,0,2025-10-27,0.97,277.22,189.47000000000025,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
ILC2106,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",7,1833,6924.76,16,7820.79,2025-10,0.75,0.6145,18,31,446.94,300.0,3,0,2025-10-27,0.89,3128.58,896.0299999999997,berlinda,3,3.0,7824.76,7599.76,11.457026719807075,84.22818791946308,Crítico,🟠 Abaixo precisa esforço,
JBV157,Especial-JBV-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1090,9668.41,32,10019.61,2025-10,0.9677,0.8219,30,31,404.57,,0,0,2025-10-27,0.96,0.0,351.2000000000007,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
NGO0002,Pocos_de_Caldas-Geral-apartamento-SUP-1Q,Carteira 4,MG,"Poços de Caldas, MG","Poços de Caldas, MG, São Benedito",2,119,1690.14,30,1751.93,2025-10,0.4828,0.4614,14,31,145.79,120.0,1,0,2025-10-27,0.96,291.58,61.789999999999964,berlinda,1,1.0,1810.14,1748.076,4.232360881998707,21.140939597315437,Média,🟠 Abaixo precisa esforço,
VLP0105,Mata_de_Sao_Joao-Praia_do_Forte-apartamento-SUP-2Q,Carteira 2,BA,"Mata de São João, BA","Mata de São João, BA, Praia do Forte",2,586,5101.27,33,5559.2,2025-10,0.7241,0.5191,21,31,307.86,250.0,3,0,2025-10-27,0.92,615.72,457.9299999999994,berlinda,3,2.0,5851.27,5644.345,10.296670384227932,78.52348993288591,Alta,🟢 Abaixo viável,
VLPD0223,Mata_de_Sao_Joao-Praia_do_Forte-apartamento-SUP-1Q,Carteira 2,BA,"Mata de São João, BA","Mata de São João, BA, Açu da Torre",5,71,3994.03,37,4087.65,2025-10,0.7692,0.5275,20,31,232.8,234.75,4,0,2025-10-27,0.98,1164.0,93.61999999999989,berlinda,4,1.0,4933.030000000001,4716.308800000001,5.376510953726465,33.89261744966443,Média,🟢 Abaixo viável,
NDE0003,Florianopolis-Campeche-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ribeirão da Ilha",0,175,2333.16,25,2756.73,2025-10,0.5161,0.5652,16,31,177.06,180.0,4,0,2025-10-27,0.85,0.0,423.57000000000016,berlinda,4,3.0,3053.16,2704.752,9.218965948787153,71.81208053691275,Alta,🟠 Abaixo precisa esforço,
PRY0002,Porto_Seguro-Pataxos-apartamento-SUP-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Taperapuã",4,12,4295.13,35,5287.85,2025-10,0.7778,0.6403,21,31,267.05,186.0,1,0,2025-10-27,0.81,1068.2,992.7200000000003,berlinda,1,6.0,4481.13,4439.8008,5.819817127944249,38.59060402684564,Média,🟠 Abaixo precisa esforço,
TPS209,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,966,2711.75,29,2888.12,2025-10,0.7419,0.6699,23,31,162.13,182.0,2,0,2025-10-27,0.94,0.0,176.3699999999999,berlinda,2,1.0,3075.75,2981.8016,11.114268105203378,83.55704697986577,Crítico,🟢 Abaixo viável,
ILC4202,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1316,9358.24,28,10019.61,2025-10,0.8065,0.8614,25,31,483.48,419.0,3,0,2025-10-27,0.93,0.0,661.3700000000008,berlinda,3,2.0,10615.24,10372.0105,13.828583647467333,91.94630872483222,Crítico,🟢 Abaixo viável,
PHA0023,Ubatuba-Tenorio-apartamento-TOP-1Q,Carteira 4,SP,"Ubatuba, SP","Ubatuba, SP, Tenório - Praia Vermelha",1,247,4037.82,503,4878.42,2025-10,0.6333,0.6066,19,31,251.79,183.0,1,0,2025-10-27,0.83,251.79,840.5999999999999,berlinda,1,5.0,4220.82,4153.7139,6.306541872163512,43.624161073825505,Média,🟠 Abaixo precisa esforço,
PDC301,Ilheus-Sul-apartamento-JR-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, São Francisco",0,735,2253.38,31,2401.98,2025-10,0.6452,0.44,20,31,132.2,131.0,1,0,2025-10-27,0.94,0.0,148.5999999999999,berlinda,1,2.0,2384.38,2337.9012000000002,4.052198602819338,18.79194630872483,Baixa,🟠 Abaixo precisa esforço,
