listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
ART003,Porto_Seguro-Pataxos-apartamento-JR-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Paraíso dos Pataxós",0,772,546.56,46,1988.03,2025-11,0.1333,0.3595,4,30,154.0,146.5,4,0,2025-11-26,0.27,0.0,1441.47,crítico
CEL1804,Goiania-Central-apartamento-SUP-1Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",0,85,2663.9,161,2625.65,2025-11,0.6667,0.5935,20,30,155.95,151.0,1,0,2025-11-26,1.01,0.0,-38.25,berlinda
CTD0302,Penha-Longe-apartamento-JR-2Q,Carteira 6,SC,"Penha, SC","Penha, SC, Centro",0,176,2217.68,26,2357.93,2025-11,0.7333,0.5139,22,30,125.77,140.0,2,0,2025-11-26,0.94,0.0,140.25,berlinda
CVA305,Bombinhas-Bombas-apartamento-TOP-3Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Bombas",1,1094,5823.55,16,4088.29,2025-11,0.6897,0.4747,20,30,370.3,360.0,2,0,2025-11-26,1.42,370.3,-1735.2600000000002,ok
EAL0704,Balneario_Camboriu-Centro-apartamento-JR-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,577,3793.28,48,3275.47,2025-11,0.9333,0.5339,28,30,163.11,110.0,1,0,2025-11-26,1.16,0.0,-517.8100000000004,ok
FDL101,Bombinhas-Bombas-apartamento-JR-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Bombas",1,873,2842.41,47,1827.5,2025-11,0.8276,0.3499,24,30,135.04,,0,3,2025-11-26,1.56,135.04,-1014.9099999999999,ok
GBA908,Sao_Paulo-Campo_Belo-apartamento-SUP-1Q,Carteira 4_sys-price,SP,"São Paulo, SP","São Paulo, SP, Campo Belo",0,172,3788.06,65,3774.75,2025-11,0.8,0.8271,24,30,182.17,130.0,1,0,2025-11-26,1.0,0.0,-13.309999999999945,berlinda
ILC1313,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1628,11330.44,17,10796.7,2025-11,0.8333,0.6813,25,30,569.64,,0,0,2025-11-26,1.05,0.0,-533.7399999999998,berlinda
ILC3404,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1688,11100.59,17,10796.7,2025-11,0.7667,0.6813,23,30,611.35,,0,0,2025-11-26,1.03,0.0,-303.8899999999994,berlinda
IRB205,Florianopolis-Novo_Campeche-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,876,7619.17,54,5486.85,2025-11,0.9,0.7331,27,30,378.44,,0,0,2025-11-26,1.39,0.0,-2132.3199999999997,ok
