listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
SPJ0402,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,385,6156.42,15,6230.75,2025-11,0.8333,0.6136,25,30,295.56,283.5,4,2025-11-11,0.99,0.0,74.32999999999993,berlinda,4,1.0,7290.42,7101.3822,3.382025438350115,7.304785894206549,Baixa,🟢 Abaixo viável,
DMS0106,Gramado-Centro-apartamento-TOP-2Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Bairro Belverede",0,136,10322.24,55,10638.6,2025-11,0.7,0.6864,21,30,620.43,446.29,7,2025-11-11,0.97,0.0,316.3600000000006,berlinda,7,1.0,13446.27,12509.061,13.271323708006719,70.27707808564232,Alta,🟢 Abaixo viável,
ERJ101,Balneario_Camboriu-Norte-apartamento-JR-4Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",6,772,3447.29,108,4062.78,2025-11,0.4583,0.4159,11,30,384.45,255.4,10,2025-11-11,0.85,2306.7,615.4900000000002,berlinda,10,3.0,6001.29,4617.7882,12.897256394225963,66.49874055415617,Alta,🟢 Abaixo viável,
RCP202,Florianopolis-Canasvieiras_Meio-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,759,2785.22,18,2836.34,2025-11,0.4333,0.3185,13,30,280.31,238.67,12,2025-11-11,0.98,0.0,51.120000000000346,berlinda,12,1.0,5649.26,4026.2085319999996,4.301603615927598,12.090680100755668,Baixa,🟢 Abaixo viável,
VLR802,Florianopolis-Centrao-apartamento-JR-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,1221,2263.65,71,2585.44,2025-11,0.4667,0.4921,14,30,205.86,172.79,14,2025-11-11,0.88,0.0,321.78999999999996,berlinda,14,2.0,4682.71,3392.6253020000004,10.752926793891946,57.17884130982368,Alta,🟢 Abaixo viável,
DPR0006,Balneario_Camboriu-Sul-apartamento-JR-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Barra",6,235,1781.27,33,2053.56,2025-11,0.7083,0.4673,17,30,124.47,114.71,7,2025-11-11,0.87,746.8199999999999,272.28999999999996,berlinda,7,3.0,2584.24,2350.013651,5.069957520923013,17.12846347607053,Baixa,🟢 Abaixo viável,
ETY0024,Balneario_Camboriu-Centro-apartamento-JR-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",7,323,4540.42,37,4704.2,2025-11,0.7391,0.4463,17,30,324.88,147.5,4,2025-11-11,0.97,2274.16,163.77999999999975,berlinda,4,2.0,5130.42,4976.489,2.5676576251009697,5.289672544080604,Baixa,🟢 Abaixo viável,
IFT0903,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,4,2729.22,22,3277.09,2025-11,0.6667,0.375,20,30,189.45,183.44,9,2025-11-11,0.83,0.0,547.8700000000003,berlinda,9,3.0,4380.18,3829.915032,10.222613436514314,54.40806045340051,Alta,🟢 Abaixo viável,
ILC2415,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",2,827,10921.71,30,11132.4,2025-11,0.6786,0.6976,19,30,672.4,587.0,2,2025-11-11,0.98,1344.8,210.6900000000005,berlinda,2,1.0,12095.71,11718.3864,11.109466961302173,60.20151133501259,Alta,🟢 Abaixo viável,
JPR410,Especial-JPR-apartamento-TOP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,478,8921.61,16,9639.85,2025-11,0.6667,0.4772,20,30,544.75,510.37,8,2025-11-11,0.93,0.0,718.2399999999998,berlinda,8,2.0,13004.57,11643.719432,19.013166636410304,84.88664987405542,Crítico,🟢 Abaixo viável,
TCO0612,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",0,564,1648.54,72,1793.66,2025-11,0.5,0.4337,15,30,120.0,120.0,13,2025-11-11,0.92,0.0,145.12000000000012,berlinda,13,2.0,3208.54,2428.54,4.854431720615951,13.85390428211587,Baixa,🟢 Abaixo viável,
VPD0605,Florianopolis-Beira_Mar-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Agronômica",0,200,4662.64,18,5303.36,2025-11,0.7,0.5814,21,30,290.14,236.43,7,2025-11-11,0.88,0.0,640.7199999999993,berlinda,7,3.0,6317.650000000001,5821.147,9.521349333252873,50.12594458438288,Alta,🟢 Abaixo viável,
ADC0205,Florianopolis-Cachoeira_Bom_Jesus-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus",0,260,5531.98,28,5632.31,2025-11,0.5,0.4328,15,30,455.67,318.5,8,2025-11-11,0.98,0.0,100.33000000000084,berlinda,8,1.0,8079.98,6805.98,5.673534482299494,21.41057934508816,Média,🟢 Abaixo viável,
ILC3105,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1916,9111.72,16,9179.91,2025-11,0.6333,0.5499,19,30,597.58,519.17,6,2025-11-11,0.99,0.0,68.19000000000051,berlinda,6,1.0,12226.739999999998,11084.462166,3.8564868609823244,9.82367758186398,Baixa,🟢 Abaixo viável,
