listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,grupo_criticidade,falta_meta,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,prioridade,status_operacional
MHF0601,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,418,2423.04,8,2301.25,2025-10,0.5484,0.3219,17,31,171.88,173.25,12,2025-10-06,1.05,berlinda,-121.78999999999996,-0.0,4502.04,3563.1636,-9.168980988593152,11.87214611872146,Baixa,🟢 Acima com folga
EIO6031,Itapema-Meia_Praia-Norte-apartamento-JR-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",4,728,1967.57,16,1931.9,2025-10,0.4444,0.2336,12,31,191.42,167.08,13,2025-10-06,1.02,berlinda,-35.669999999999845,-0.0,4139.61,2932.824576,-3.0849130907396733,20.319634703196346,Baixa,🟢 Acima com folga
MHFB0506,Itapema-Canto_Praia-apartamento-SUP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,426,1336.69,7,1455.01,2025-10,0.3548,0.199,11,31,133.27,139.41,17,2025-10-06,0.92,berlinda,118.31999999999994,1.0,3706.66,2177.555356,11.336685795973905,60.273972602739725,Média,🟢 Abaixo viável
NWT0605,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,184,4339.22,30,4057.04,2025-10,0.6129,0.5207,19,31,270.74,305.33,9,2025-10-06,1.07,berlinda,-282.1800000000003,-0.0,7087.1900000000005,6023.450813,-21.236669936702647,2.968036529680365,Baixa,🟢 Acima com folga
RSU3842,Penha-Longe-apartamento-SUP-3Q,Carteira 6,SC,"Penha, SC","Penha, SC, Gravatá",0,272,3134.61,11,3177.17,2025-10,0.6452,0.2574,20,31,229.05,218.9,10,2025-10-06,0.99,berlinda,42.559999999999945,1.0,5323.610000000001,4546.9528,2.9322900568745114,29.45205479452055,Baixa,🟢 Abaixo viável
TCO0709,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",0,243,1078.04,71,1060.84,2025-10,0.3226,0.3052,10,31,130.0,126.38,21,2025-10-06,1.02,berlinda,-17.200000000000045,-0.0,3732.02,1934.2139479999998,-2.049070547867733,21.689497716894977,Baixa,🟢 Acima com folga
CAR0201,Florianopolis-Jurere_Tradicional-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,6,3857.3,26,3515.8,2025-10,0.7097,0.3492,22,31,218.91,213.33,6,2025-10-06,1.1,berlinda,-341.5,-1.0,5137.280000000001,4765.701806,20.7213706695489,87.21461187214612,Crítica,🟢 Acima com folga
ILC3413,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",3,1940,5050.94,16,5851.91,2025-10,0.6071,0.4525,17,31,382.94,344.9,10,2025-10-06,0.86,berlinda,800.9700000000003,3.0,8499.939999999999,7144.827899999999,15.735862479088023,78.53881278538812,Média,🟢 Abaixo viável
NWT1316,Especial-NWT-apartamento-MASTER-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,337,6448.76,23,6021.4,2025-10,0.7097,0.6294,22,31,435.68,417.14,7,2025-10-06,1.07,berlinda,-427.3600000000006,-1.0,9368.74,8521.069806,29.605897366061086,95.4337899543379,Crítica,🟢 Acima com folga
NWT0703,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,154,3853.99,30,4057.04,2025-10,0.5161,0.5207,16,31,291.81,286.44,9,2025-10-06,0.95,berlinda,203.05000000000018,1.0,6431.95,5184.4751559999995,14.335979433281421,73.28767123287672,Média,🟢 Abaixo viável
