listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
TXP1905,Goiania-Central-apartamento-SUP-1Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",2,753,2963.74,162,2535.55,2025-11,0.8214,0.5616,23,30,161.96,172.5,2,0,2025-11-24,1.17,323.92,-428.1899999999996,ok
TZS210,Penha-Longe-casa-SUP-2Q,Carteira 6,SC,"Penha, SC","Penha, SC, Praia de Armação do Itaporocói",3,564,1849.47,27,3031.67,2025-11,0.2593,0.4909,7,30,334.0,268.0,2,23,2025-11-24,0.61,1002.0,1182.2,atenção
VST024,Especial-VST-casa-TOP-1Q,Carteira 5,SC,"Anitápolis, SC","Anitápolis, SC, Rio dos Pinheiros",3,123,2203.26,54,3890.57,2025-11,0.3704,0.3016,10,30,284.8,218.67,6,0,2025-11-24,0.57,854.4000000000001,1687.31,atenção
BPM0807,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,610,4639.3,212,4248.24,2025-11,0.8667,0.7112,26,30,208.08,151.67,3,0,2025-11-24,1.09,0.0,-391.0600000000004,berlinda
CAC025,Florianopolis-Ingleses_Praia-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,205,2193.65,57,3264.0,2025-11,0.4,0.4856,12,30,239.5,280.67,6,0,2025-11-24,0.67,0.0,1070.35,atenção
CNB003,Especial-CNB-casa-TOP-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",0,598,11428.87,18,5690.11,2025-11,0.7333,0.6166,22,30,603.0,330.0,2,7,2025-11-24,2.01,0.0,-5738.760000000001,meta_subestimada
COB0710,Sao_Paulo-Brooklin-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Santo Amaro",0,32,3799.85,299,4501.61,2025-11,0.5667,0.7158,17,30,223.64,150.0,2,0,2025-11-24,0.84,0.0,701.7599999999998,berlinda
EGF000,Garopaba-Centro-casa-JR-3Q,Carteira 6,SC,"Garopaba, SC","Garopaba, SC, Ferrugem",8,579,4528.65,26,2184.78,2025-11,0.5909,0.2807,13,30,392.77,390.0,2,26,2025-11-24,2.07,3142.16,-2343.8699999999994,meta_subestimada
EMA101,Cabo_Frio-Centro-apartamento-SUP-2Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Centro",2,1096,2334.22,105,4175.24,2025-11,0.3929,0.5803,11,30,245.0,183.5,2,8,2025-11-24,0.56,490.0,1841.02,atenção
ESA901,Balneario_Camboriu-Norte-apartamento-JR-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",7,890,4954.55,63,3978.65,2025-11,0.8261,0.4955,19,30,272.84,130.0,1,0,2025-11-24,1.25,1909.8799999999999,-975.9000000000001,ok
ESP0301,Florianopolis-Jurere_Internacional-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,54,4380.71,29,6050.7,2025-11,0.5,0.5818,15,30,343.93,290.5,4,0,2025-11-24,0.72,0.0,1669.9899999999998,atenção
ISC1511,Sao_Paulo-Republica-apartamento-TOP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Vila Buarque",0,499,4125.21,105,4584.01,2025-11,0.7667,0.7373,23,30,214.29,,0,0,2025-11-24,0.9,0.0,458.8000000000002,berlinda
JBV173,Especial-JBV-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1698,9527.68,27,10333.97,2025-11,0.8333,0.693,25,30,487.04,,0,0,2025-11-24,0.92,0.0,806.289999999999,berlinda
JBV179,Especial-JBV-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",3,789,9344.92,27,10333.97,2025-11,0.7037,0.693,19,30,704.11,370.0,1,0,2025-11-24,0.9,2112.33,989.0499999999993,berlinda
MHFA1204,Itapema-Canto_Praia-apartamento-SUP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,479,3729.28,14,2356.68,2025-11,0.8,0.4102,24,30,191.67,185.0,4,1,2025-11-24,1.58,0.0,-1372.6000000000004,ok
NWT0805,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,330,6514.85,43,5085.72,2025-11,0.6667,0.6637,20,30,377.55,280.0,3,0,2025-11-24,1.28,0.0,-1429.13,ok
NWT1222,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",4,326,7495.25,43,5085.72,2025-11,0.8846,0.6637,23,30,439.61,280.0,2,0,2025-11-24,1.47,1758.44,-2409.5299999999997,ok
