listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
BSO0206,Itajai-Praia_Brava-apartamento-SUP-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores",0,198,2665.63,10,2960.79,2025-11,0.7,0.5296,21,30,149.48,147.0,5,0,2025-11-17,0.9,0.0,295.15999999999985,berlinda,5,3.0,3400.63,3180.13,4.884790883514194,19.45137157107232,Baixa,🟢 Abaixo viável,
DPR0009,Balneario_Camboriu-Sul-apartamento-JR-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Barra",0,235,1936.08,36,2019.49,2025-11,0.6333,0.505,19,30,125.11,111.11,9,0,2025-11-17,0.96,0.0,83.41000000000008,berlinda,9,1.0,2936.0699999999997,2569.373667,4.589121560393965,16.458852867830423,Baixa,🟢 Abaixo viável,
PDM005,Porto_Seguro-Pataxos-apartamento-JR-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Taperapuan",0,621,1510.68,42,1757.91,2025-11,0.4,0.2825,12,30,149.19,154.0,1,0,2025-11-17,0.86,0.0,247.23000000000002,berlinda,1,2.0,1664.68,1572.28,10.82917214191853,66.33416458852868,Alta,🟠 Abaixo precisa esforço,
WBU2105,Goiania-Central-apartamento-TOP-1Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",1,757,2264.49,54,2402.71,2025-11,0.4483,0.4607,13,30,209.69,217.54,13,0,2025-11-17,0.94,209.69,138.22000000000025,berlinda,13,1.0,5092.51,3532.2913659999995,12.514360368084398,71.82044887780549,Alta,🟢 Abaixo viável,
EDJ0410,Florianopolis-Ingleses_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,204,3400.03,35,3747.01,2025-11,0.6333,0.5268,19,30,227.32,198.0,3,0,2025-11-17,0.91,0.0,346.98,berlinda,3,2.0,3994.03,3776.2102,9.167581618410413,59.35162094763092,Alta,🟢 Abaixo viável,
GSH0102,Camaçari-Monte_Gordo-apartamento-TOP-2Q,Carteira 2,BA,"Camaçari, BA","Camaçari, BA, Monte Gordo",1,103,4316.98,22,5003.48,2025-11,0.4138,0.4249,12,30,422.25,334.86,7,12,2025-11-17,0.86,422.25,686.5,berlinda,7,3.0,6661.0,5286.935476,15.314766922222137,80.0498753117207,Crítico,🟢 Abaixo viável,
ILC3312,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",2,1971,9166.68,16,10274.6,2025-11,0.6071,0.614,17,30,727.82,593.57,7,0,2025-11-17,0.89,1455.64,1107.92,berlinda,7,2.0,13321.670000000002,11689.174429,32.00261199462754,95.76059850374065,Crítico,🟢 Abaixo viável,
NWT1004,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,199,3987.58,41,4882.8,2025-11,0.5517,0.6137,16,30,300.31,292.75,8,0,2025-11-17,0.82,300.31,895.2200000000003,berlinda,8,4.0,6329.58,5279.6614,13.418307886868194,75.56109725685786,Alta,🟢 Abaixo viável,
TRC0507,Florianopolis-UFSC-apartamento-SUP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Carvoeira",0,50,3173.05,42,3311.18,2025-11,0.7,0.6012,21,30,206.62,133.89,9,0,2025-11-17,0.96,0.0,138.12999999999965,berlinda,9,2.0,4378.0599999999995,4016.557,2.7926940999885153,4.488778054862843,Baixa,🟢 Abaixo viável,
BSO0201,Itajai-Praia_Brava-apartamento-SUP-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores",0,57,2935.16,10,2960.79,2025-11,0.6667,0.5296,20,30,167.5,145.0,7,0,2025-11-17,0.99,0.0,25.63000000000011,berlinda,7,1.0,3950.16,3611.8605,1.2551886489754478,0.7481296758104738,Baixa,🟢 Abaixo viável,
ILC4107,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",5,423,9683.14,30,11211.84,2025-11,0.76,0.7268,19,30,633.0,729.0,1,0,2025-11-17,0.86,3165.0,1528.7000000000007,berlinda,1,3.0,10412.14,10237.18,33.132304777806326,96.25935162094763,Crítico,🟠 Abaixo precisa esforço,
ELU0311,Especial-JPR-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,598,5363.57,17,6230.75,2025-11,0.5333,0.6533,16,30,423.63,292.2,5,0,2025-11-17,0.86,0.0,867.1800000000003,berlinda,5,3.0,6824.57,6142.721299999999,13.555885246559408,75.81047381546135,Alta,🟠 Abaixo precisa esforço,
