listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,grupo_criticidade
STN205,Florianopolis-Ingleses_Norte-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,617,4639.57,14,2452.59,2025-10,0.6129,0.3696,19,31,324.58,294.36,11,2025-10-06,1.89,ok
VNR005,São_Miguel_dos_Milagres-Geral-apartamento-SUP-2Q,Carteira 2,AL,"São Miguel dos Milagres, AL","São Miguel dos Milagres, AL, Riacho",1,385,3050.16,37,4208.82,2025-10,0.4667,0.3897,14,31,257.93,261.93,15,2025-10-06,0.72,atenção
COL102,Bombinhas-Bombas-apartamento-SUP-3Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Bombas",6,1063,3333.22,11,3270.12,2025-10,1.0,0.272,25,31,198.0,,0,2025-10-06,1.02,berlinda
CON0101,Itapema-Meia_Praia-Norte-apartamento-SUP-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",11,231,4374.88,15,2170.35,2025-10,0.6,0.1713,12,31,405.83,390.0,6,2025-10-06,2.02,meta_subestimada
CST0905,Itajai-Centro-apartamento-JR-1Q,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Centro",1,85,1401.8,12,1741.63,2025-10,0.4333,0.3686,13,31,134.23,121.81,16,2025-10-06,0.8,berlinda
CZZ0304,Urubici-Geral-apartamento-SUP-1Q,Especial,SC,"Urubici, SC","Urubici, SC, Centro",0,182,1718.55,51,1226.3,2025-10,0.3548,0.1148,11,31,200.64,144.56,18,2025-10-06,1.4,ok
DLH0302,Gramado-Centro-apartamento-TOP-2Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Centro",3,448,4798.29,62,4928.6,2025-10,0.4643,0.4141,13,31,475.46,373.21,14,2025-10-06,0.97,berlinda
DNAG1701,Goiania-Central-apartamento-TOP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",2,716,1873.0,43,1024.83,2025-10,0.4138,0.2024,12,31,200.58,212.07,15,2025-10-06,1.83,ok
DNAG1702,Goiania-Central-apartamento-TOP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",1,76,3920.44,43,1024.83,2025-10,0.1,0.2024,3,31,223.22,258.0,4,2025-10-06,3.83,meta_subestimada
EDF1605,Salvador-Ondina_Rio_Vermelho-apartamento-TOP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Rio Vermelho",0,44,501.05,33,2202.95,2025-10,0.0968,0.3508,3,31,179.33,185.48,25,2025-10-06,0.23,crítico
EUB1602,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",1,254,1461.68,184,2585.81,2025-10,0.3333,0.3877,10,31,154.3,147.95,19,2025-10-06,0.57,atenção
FDL103,Bombinhas-Bombas-apartamento-SIM-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Bombas",0,1212,1661.93,32,1671.56,2025-10,0.5161,0.3076,16,31,115.38,117.3,10,2025-10-06,0.99,berlinda
HFO0208,Salvador-UFBA-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Federação",0,29,316.28,342,2377.43,2025-10,0.0968,0.3715,3,31,135.33,127.61,23,2025-10-06,0.13,crítico
JMA125,Florianopolis-Jurere_Longe-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,174,370.6,23,1026.8,2025-10,0.129,0.2353,4,31,113.5,128.19,21,2025-10-06,0.36,crítico
JRR303,Florianopolis-Jurere_Tradicional-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1400,5449.1,15,5241.92,2025-10,0.6774,0.3487,21,31,348.48,335.63,8,2025-10-06,1.04,berlinda
