listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,grupo_criticidade
ALU0123,Sao_Paulo-Liberdade-apartamento-JR-2Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Cambuci",31,331,0.0,15,2447.07,2025-10,,0.5687,0,31,,,0,2025-10-06,0.0,crítico
DPR0006,Balneario_Camboriu-Sul-apartamento-JR-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Barra",0,204,0.0,21,1518.27,2025-10,0.0,0.2688,0,31,,125.64,25,2025-10-06,0.0,crítico
EPK0903,Guara-Geral-apartamento-MASTER-2Q,Especial,DF,"Brasília, DF","Brasília, DF, Zona Indistrial",0,148,6005.67,8,2624.4,2025-10,0.6774,0.289,21,31,340.68,291.0,5,2025-10-06,2.29,meta_subestimada
ETY0024,Balneario_Camboriu-Centro-apartamento-SUP-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",7,292,2515.36,63,3201.52,2025-10,0.5,0.294,12,31,250.33,324.1,10,2025-10-06,0.79,atenção
ILC2201,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",9,1461,1484.22,27,7940.49,2025-10,0.1364,0.6389,3,31,630.0,610.6,15,2025-10-06,0.19,crítico
ILC2415,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",12,796,6059.75,27,7940.49,2025-10,0.8421,0.6389,16,31,454.63,390.67,3,2025-10-06,0.76,atenção
JPR410,Especial-JPR-apartamento-TOP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,447,7708.64,18,4604.66,2025-10,0.6452,0.3486,20,31,486.2,318.0,11,2025-10-06,1.67,ok
LUP0302,Barra_Velha-Itajuba-apartamento-SUP-3Q,Carteira 3,SC,"Barra Velha, SC","Barra Velha, SC, Itajubá",0,47,1594.55,20,2219.98,2025-10,0.4194,0.1431,13,31,151.38,207.5,18,2025-10-06,0.72,atenção
MHF1804,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",25,422,0.0,8,2301.25,2025-10,0.0,0.3219,0,31,,300.0,1,2025-10-06,0.0,crítico
MUT0036,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-3Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",17,413,1619.45,24,4119.82,2025-10,0.5,0.3773,7,31,285.0,321.29,7,2025-10-06,0.39,crítico
NWTA0608,Especial-NWT-apartamento-MASTER-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,177,7823.33,23,6021.4,2025-10,0.7097,0.6294,22,31,396.55,428.57,7,2025-10-06,1.3,ok
PSO0306,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,121,2620.45,13,1489.07,2025-10,0.5806,0.4061,18,31,159.28,161.2,10,2025-10-06,1.76,ok
PSOB1101,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",2,85,2380.22,13,1489.07,2025-10,0.5517,0.4061,16,31,168.0,151.22,9,2025-10-06,1.6,ok
RDT1004,Balneario_Camboriu-Centro-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,21,4334.28,38,2916.83,2025-10,0.7742,0.2975,24,31,210.71,236.57,7,2025-10-06,1.49,ok
RHL0302,Florianopolis-Ingleses_Centro-apartamento-TOP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",6,240,3555.88,30,5279.88,2025-10,0.56,0.3713,14,31,330.21,275.67,9,2025-10-06,0.67,atenção
RUP0804,Blumenau-Central-apartamento-SUP-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Escola Agrícola",0,370,7546.16,69,6919.81,2025-10,0.5806,0.4574,18,31,511.28,291.09,11,2025-10-06,1.09,berlinda
SDR007,Florianopolis-Lagoa-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa da Conceição",0,1540,793.24,16,1252.09,2025-10,0.2581,0.2159,8,31,126.0,139.17,23,2025-10-06,0.63,atenção
SGA202,Florianopolis-Jurere_Longe-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",3,1843,3065.24,13,2847.08,2025-10,0.75,0.2505,21,31,160.95,152.43,7,2025-10-06,1.08,berlinda
TBS106,Florianopolis-Novo_Campeche-apartamento-MASTER-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,918,6237.8,46,4495.12,2025-10,0.6452,0.3822,20,31,350.5,316.44,9,2025-10-06,1.39,ok
TCO0612,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",0,533,1566.17,71,1060.84,2025-10,0.4839,0.3052,15,31,126.67,125.2,15,2025-10-06,1.48,ok
TXP0919,Goiania-Central-apartamento-TOP-2Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",1,180,2328.67,12,2729.0,2025-10,0.3,0.2815,9,31,284.44,287.67,18,2025-10-06,0.85,berlinda
TXP1804,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",0,741,1410.39,136,993.18,2025-10,0.3226,0.2493,10,31,169.8,243.8,20,2025-10-06,1.42,ok
VEC117,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,504,3316.65,22,2120.75,2025-10,0.8065,0.4366,25,31,188.72,125.0,3,2025-10-06,1.56,ok
VFR504,Bombinhas-Bombas-apartamento-TOP-1Q,Especial,SC,"Bombinhas, SC","Bombinhas, SC, Bombas",14,723,1642.46,54,2284.27,2025-10,0.5882,0.3006,10,31,194.3,188.0,6,2025-10-06,0.72,atenção
VPD0605,Florianopolis-Beira_Mar-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Agronômica",0,169,3865.53,12,1751.64,2025-10,0.5806,0.243,18,31,291.28,316.92,12,2025-10-06,2.21,meta_subestimada
APC2200,Bombinhas-Mariscal-casa-TOP-3Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Canto Grande",19,925,1783.86,14,3507.1,2025-10,0.5833,0.2459,7,31,353.86,442.0,5,2025-10-06,0.51,atenção
BLB1502,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,653,1714.54,184,2585.81,2025-10,0.4194,0.3877,13,31,169.69,156.94,18,2025-10-06,0.66,atenção
BMR0004,Porto_Seguro-Pataxos-casa-JR-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Loteamento Village I",0,351,2958.86,14,2994.45,2025-10,0.4516,0.491,14,31,261.64,193.18,11,2025-10-06,0.99,berlinda
CAS0031,Florianopolis-Estreito-apartamento-SUP-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Coqueiros",4,223,1430.0,12,1538.55,2025-10,0.3704,0.2537,10,31,168.4,189.59,17,2025-10-06,0.93,berlinda
CNA015,Especial-CNA-casa-MASTER-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",0,985,8302.8,23,7494.02,2025-10,0.3548,0.3161,11,31,757.85,588.27,15,2025-10-06,1.11,ok
CPN0002,Florianopolis-Centrao-apartamento-JR-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",5,359,1541.74,11,2588.85,2025-10,0.3846,0.2194,10,31,188.9,168.6,15,2025-10-06,0.6,atenção
CRJ101,Florianopolis-Jurere_Tradicional-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",25,992,743.4,26,3515.8,2025-10,0.5,0.3492,3,31,278.67,185.0,3,2025-10-06,0.21,crítico
DLH0103,Gramado-Centro-apartamento-TOP-2Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Centro",1,376,7006.04,62,4928.6,2025-10,0.4,0.4141,12,31,459.5,336.5,8,2025-10-06,1.42,ok
ELLC0000,Ilheus-Sul-apartamento-SUP-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Nossa Senhora da Vitória",6,36,1000.3,18,1953.07,2025-10,0.28,0.2784,7,31,178.71,172.88,16,2025-10-06,0.51,atenção
GCH0201,Camaçari-Jacuipe-apartamento-JR-3Q,Carteira 2,BA,"Camaçari, BA","Camaçari, BA, Guarajuba Monte Gordo",6,401,1945.7,77,3983.03,2025-10,0.44,0.2552,11,31,210.91,207.5,12,2025-10-06,0.49,crítico
IAP103,Florianopolis-Ingleses_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,1086,1609.53,22,2049.33,2025-10,0.4516,0.3312,14,31,139.0,221.0,17,2025-10-06,0.79,atenção
ILC2316,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",10,1491,5639.06,27,7940.49,2025-10,0.7143,0.6389,15,31,449.13,660.0,5,2025-10-06,0.71,atenção
ILH0107,Florianopolis-Canasvieiras_Perto-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,722,3973.0,12,2874.01,2025-10,0.6129,0.216,19,31,221.0,216.09,11,2025-10-06,1.38,ok
JRR410,Florianopolis-Jurere_Tradicional-apartamento-MASTER-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1323,3976.12,16,4883.24,2025-10,0.5484,0.341,17,31,302.53,355.0,11,2025-10-06,0.81,berlinda
MHF1604,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,376,2607.4,8,2301.25,2025-10,0.4839,0.3219,15,31,190.59,174.07,14,2025-10-06,1.13,ok
MHF1605,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,469,3627.34,8,2301.25,2025-10,0.7097,0.3219,22,31,226.77,193.86,7,2025-10-06,1.58,ok
MMD0305,Ilheus-Sul-apartamento-SUP-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, São Francisco",0,124,2880.75,18,1953.07,2025-10,0.5161,0.2784,16,31,224.69,192.6,15,2025-10-06,1.47,ok
NWT0504,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,194,4037.58,30,4057.04,2025-10,0.5484,0.5207,17,31,281.82,325.55,11,2025-10-06,1.0,berlinda
NWT0911,Especial-NWT-apartamento-MASTER-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,190,6364.98,23,6021.4,2025-10,0.4839,0.6294,15,31,590.4,600.0,11,2025-10-06,1.06,berlinda
POR410,Florianopolis-Ingleses_Norte-apartamento-SUP-4Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses Norte",17,849,6497.76,14,3673.58,2025-10,1.0,0.3362,14,31,549.14,,0,2025-10-06,1.77,ok
RFM0012,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-2Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Porto Seguro, BA, Mutá",0,264,4267.9,34,2943.99,2025-10,0.6774,0.4113,21,31,240.0,229.75,4,2025-10-06,1.45,ok
SDR002,Florianopolis-Lagoa-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa da Conceição",11,1544,1062.77,19,2222.75,2025-10,0.35,0.4709,7,31,162.54,154.0,2,2025-10-06,0.48,crítico
SKC0414,Maceio-Jatiuca-apartamento-TOP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Jatiúca",0,237,3234.62,38,3021.96,2025-10,0.6774,0.5358,21,31,203.43,185.6,10,2025-10-06,1.07,berlinda
TCO1104,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",1,380,1992.45,71,1060.84,2025-10,0.5667,0.3052,17,31,139.76,138.23,13,2025-10-06,1.88,ok
TPS104,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,974,2764.16,23,2723.4,2025-10,0.8065,0.4492,25,31,149.68,157.75,4,2025-10-06,1.01,berlinda
TPS107,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,476,2158.14,23,2723.4,2025-10,0.5806,0.4492,18,31,160.5,168.0,10,2025-10-06,0.79,atenção
VEC114,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,1009,2275.18,22,2120.75,2025-10,0.5806,0.4366,18,31,170.33,135.6,10,2025-10-06,1.07,berlinda
VST022,Especial-VST-casa-TOP-1Q,Carteira 5,SC,"Anitápolis, SC","Anitápolis, SC, Rio dos Pinheiros",0,457,1644.46,32,1199.53,2025-10,0.2903,0.0877,9,31,212.27,186.73,15,2025-10-06,1.37,ok
VTD0109,Florianopolis-UFSC-apartamento-SUP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Trindade",1,23,3190.05,32,1791.73,2025-10,0.7,0.3064,21,31,176.33,204.9,10,2025-10-06,1.78,ok
AAR0203,Florianopolis-Campeche_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,41,2669.03,60,2725.1,2025-10,0.4839,0.3948,15,31,162.0,183.75,8,2025-10-06,0.98,berlinda
BCL402,Ilheus-Pontal-apartamento-TOP-1Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Pontal",0,630,1993.53,22,1812.75,2025-10,0.3548,0.2537,11,31,216.45,186.21,14,2025-10-06,1.1,berlinda
BSO0204,Itajai-Praia_Brava-apartamento-SUP-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores",0,167,2974.91,12,1735.76,2025-10,0.7742,0.3561,24,31,145.38,164.17,6,2025-10-06,1.71,ok
CRM0201,Florianopolis-Canto_da_Lagoa-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canto da Lagoa",4,198,2634.18,12,3241.51,2025-10,0.4815,0.3458,13,31,251.77,215.86,14,2025-10-06,0.81,berlinda
EAA805,Maceio-Jatiuca-apartamento-SUP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Ponta Verde",0,555,2409.05,56,2722.97,2025-10,0.4516,0.4805,14,31,175.76,164.93,14,2025-10-06,0.88,berlinda
EDN1001,Balneario_Camboriu-Intermediario-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,103,4443.17,51,2318.8,2025-10,0.7419,0.2644,23,31,221.04,200.5,6,2025-10-06,1.92,ok
IAA1004,Recife-Boa_Viagem-apartamento-TOP-1Q,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem",0,567,3159.81,48,3435.57,2025-10,0.5484,0.4586,17,31,215.65,216.69,13,2025-10-06,0.92,berlinda
ILC2413,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",12,1108,5238.96,16,5851.91,2025-10,0.7895,0.4525,15,31,440.13,421.0,3,2025-10-06,0.9,berlinda
NWT0901,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,191,0.0,30,4057.04,2025-10,0.0,0.5207,0,31,,400.0,25,2025-10-06,0.0,crítico
PSO0411,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,90,4940.68,13,1489.07,2025-10,0.9355,0.4061,29,31,225.45,143.0,1,2025-10-06,3.32,meta_subestimada
RDS002,Campos_do_Jordao-Vila_Natal-casa-JR-1Q,Carteira 4,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Vila Natal",3,600,0.0,12,1750.28,2025-10,0.0,0.1416,0,31,,167.84,25,2025-10-06,0.0,crítico
TPS307,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,999,2367.79,23,2723.4,2025-10,0.5806,0.4492,18,31,166.06,169.45,11,2025-10-06,0.87,berlinda
VLE007,Bombinhas-Mariscal-apartamento-JR-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, mariscal",0,1463,0.0,12,1459.88,2025-10,0.0,0.1507,0,31,,198.0,25,2025-10-06,0.0,crítico
CNA004,Especial-CNA-casa-MASTER-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",0,985,5459.2,23,7494.02,2025-10,0.1935,0.3161,6,31,653.8,682.41,17,2025-10-06,0.73,atenção
CNB013,Especial-CNB-casa-TOP-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",0,559,2330.88,15,3941.66,2025-10,0.1613,0.3888,5,31,550.6,614.27,22,2025-10-06,0.59,atenção
CZZ0507,Urubici-Geral-apartamento-SUP-1Q,Especial,SC,"Urubici, SC","Urubici, SC, Centro",1,103,2397.39,51,1226.3,2025-10,0.3,0.1148,9,31,287.56,147.0,20,2025-10-06,1.95,ok
EAC1302,Balneario_Camboriu-Centro-apartamento-JR-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",1,702,2046.46,18,2286.65,2025-10,0.4,0.1784,12,31,177.75,173.07,14,2025-10-06,0.89,berlinda
EDG403,Balneario_Camboriu-Centro-apartamento-JR-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,925,2102.13,20,1386.88,2025-10,0.5484,0.2643,17,31,142.0,141.55,11,2025-10-06,1.52,ok
EPM0803,Guarapari-Muquicaba-apartamento-SIM-1Q,Carteira 4,ES,"Guarapari, ES","Guarapari, ES, Muquiçaba",3,146,0.0,15,1226.29,2025-10,0.0,0.2658,0,31,,134.0,23,2025-10-06,0.0,crítico
HOA0906,Salvador-Ondina_Rio_Vermelho-apartamento-TOP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Ondina",0,254,742.95,33,2202.95,2025-10,0.1613,0.3508,5,31,195.4,185.48,25,2025-10-06,0.34,crítico
ILC4115,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",8,1626,6996.54,27,7940.49,2025-10,0.7391,0.6389,17,31,595.12,545.0,6,2025-10-06,0.88,berlinda
KPL0806,Florianopolis-Sao_Jose-apartamento-TOP-1Q,Carteira 4,SC,"São José, SC","São José, SC, Campinas",0,49,3019.92,20,1347.71,2025-10,0.5161,0.2575,16,31,241.88,255.0,15,2025-10-06,2.24,meta_subestimada
LRM0226,Itapema-Longe-casa-JR-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Morretes",0,50,2229.83,8,1899.3,2025-10,0.7419,0.3053,23,31,186.22,153.75,8,2025-10-06,1.17,ok
MHF0902,Itapema-Canto_Praia-apartamento-TOP-2Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",5,376,2534.01,8,2155.64,2025-10,0.5385,0.1674,14,31,218.14,205.27,11,2025-10-06,1.18,ok
MUT0056,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-3Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",5,217,7593.24,24,4119.82,2025-10,0.9615,0.3773,25,31,335.64,360.0,1,2025-10-06,1.84,ok
NBL0606,Porto_Alegre-Jardim_Botanico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Santa Cecília",0,635,1077.18,44,1267.78,2025-10,0.2581,0.2528,8,31,157.88,141.1,21,2025-10-06,0.85,berlinda
NWT0319,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,289,5183.45,30,4057.04,2025-10,0.6129,0.5207,19,31,318.16,331.27,11,2025-10-06,1.28,ok
NWT0914,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,190,4281.14,30,4057.04,2025-10,0.5484,0.5207,17,31,296.65,266.8,10,2025-10-06,1.06,berlinda
NWT1006,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,168,3967.21,30,4057.04,2025-10,0.4839,0.5207,15,31,314.4,284.23,13,2025-10-06,0.98,berlinda
NWT1322,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,278,6791.31,30,4057.04,2025-10,0.7097,0.5207,22,31,423.41,323.13,8,2025-10-06,1.67,ok
RGOB701,Itapema-Meia_Praia-Sul-apartamento-SUP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Castelo Branco",0,79,3471.05,10,1504.03,2025-10,0.9032,0.3261,28,31,149.71,,0,2025-10-06,2.31,meta_subestimada
RNE0301,Porto_Belo-Geral-apartamento-JR-3Q,Carteira 6,SC,"Porto Belo, SC","PORTO BELO, SC, PEREQUÊ",12,342,241.32,16,2485.68,2025-10,0.1053,0.2033,2,31,170.5,142.47,15,2025-10-06,0.1,crítico
RUC0003,Bombinhas-Mariscal-casa-JR-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Canto Grande",0,301,1219.24,9,1530.0,2025-10,0.4516,0.1872,14,31,113.71,135.0,17,2025-10-06,0.8,atenção
SFR0411,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,6,2034.47,22,2120.75,2025-10,0.5806,0.4366,18,31,129.76,150.0,8,2025-10-06,0.96,berlinda
SSG0107,Florianopolis-UFSC-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Córrego Grande",0,727,0.0,17,1549.41,2025-10,0.0,0.2857,0,31,,278.04,25,2025-10-06,0.0,crítico
TPS204,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,866,1860.47,23,2723.4,2025-10,0.4516,0.4492,14,31,157.64,168.5,14,2025-10-06,0.68,atenção
TPS212,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,999,2625.8,23,2723.4,2025-10,0.6774,0.4492,21,31,158.38,180.0,10,2025-10-06,0.96,berlinda
TRO0154,Sao_Paulo-Pompeia-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Pompeia",0,69,2969.46,60,1683.21,2025-10,0.4516,0.2683,14,31,258.0,193.4,15,2025-10-06,1.76,ok
VIL0002,Penha-Longe-apartamento-JR-1Q,Carteira 6,SC,"Penha, SC","Penha, SC, Santa Lidia",0,40,405.95,10,946.49,2025-10,0.1613,0.3064,5,31,123.8,108.92,24,2025-10-06,0.43,crítico
ACO803,Balneario_Camboriu-Centro-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,574,2720.25,38,2916.83,2025-10,0.4516,0.2975,14,31,214.93,255.5,16,2025-10-06,0.93,berlinda
CED0107,Brasilia-Asa_Sul-apartamento-SUP-1Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Setor Sudoeste",0,34,330.0,110,2522.42,2025-10,0.0645,0.4739,2,31,208.0,224.04,25,2025-10-06,0.13,crítico
CNB004,Especial-CNB-casa-TOP-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",0,565,2617.33,15,3941.66,2025-10,0.1613,0.3888,5,31,601.2,590.45,22,2025-10-06,0.66,atenção
CNB006,Especial-CNB-casa-TOP-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",0,565,1603.56,15,3941.66,2025-10,0.0968,0.3888,3,31,634.67,584.32,22,2025-10-06,0.41,crítico
CTS0203,Florianopolis-Itacorubi-apartamento-SUP-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Itacorubi",0,76,4008.71,9,3649.9,2025-10,0.6452,0.3075,20,31,232.15,215.44,9,2025-10-06,1.1,berlinda
CZZ0504,Urubici-Geral-apartamento-SUP-1Q,Especial,SC,"Urubici, SC","Urubici, SC, Centro",0,195,1161.93,51,1226.3,2025-10,0.1935,0.1148,6,31,204.83,144.15,20,2025-10-06,0.95,berlinda
EBI0603,Curitiba-Jardim_Botanico-apartamento-SUP-1Q,Carteira 4,PR,"Curitiba, PR","Curitiba, PR, Prado Velho",0,139,2048.85,261,1923.14,2025-10,0.4839,0.4016,15,31,174.73,198.63,16,2025-10-06,1.07,berlinda
IAA0503,Recife-Boa_Viagem-apartamento-TOP-1Q,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem",0,567,4116.83,48,3435.57,2025-10,0.7419,0.4586,23,31,212.17,221.75,8,2025-10-06,1.2,ok
IDO207,Florianopolis-Canajure-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",7,436,3007.09,13,3047.25,2025-10,0.75,0.2003,18,31,250.83,187.5,6,2025-10-06,0.99,berlinda
JMA009,Florianopolis-Jurere_Longe-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,456,604.59,23,1026.8,2025-10,0.2258,0.2353,7,31,107.29,123.75,24,2025-10-06,0.59,atenção
LIV1204,Salvador-Graca-apartamento-TOP-1Q,Especial,BA,"Salvador, BA","Salvador, BA, Vitória",5,40,2460.48,9,1141.14,2025-10,0.2308,0.3244,6,31,466.0,466.0,14,2025-10-06,2.16,meta_subestimada
MBCAR1203,Goiania-Leste-apartamento-SUP-2Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Jardim Goiás",1,265,1684.95,20,1435.44,2025-10,0.2667,0.2862,8,31,223.63,273.0,20,2025-10-06,1.17,ok
MHF0502,Itapema-Canto_Praia-apartamento-TOP-2Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",31,415,0.0,8,2155.64,2025-10,,0.1674,0,31,,,0,2025-10-06,0.0,crítico
MHF1209,Itapema-Canto_Praia-apartamento-TOP-2Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,154,3695.75,8,2155.64,2025-10,0.5484,0.1674,17,31,242.76,196.83,12,2025-10-06,1.71,ok
