listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
ARK0201,Brasilia-Asa_Sul-apartamento-TOP-1Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Asa Sul",0,106,3474.95,23,3303.53,2025-10,0.5806,0.6547,18,31,236.33,229.57,7,2025-10-17,1.05,0.0,-171.41999999999962,berlinda
ELF0612,Bombinhas-Bombas-apartamento-SUP-1Q,Especial,SC,"Bombinhas, SC","Bombinhas, SC, José Amândio",1,154,3714.22,34,1847.47,2025-10,0.7333,0.3256,22,31,214.09,156.5,4,2025-10-17,2.01,214.09,-1866.7499999999998,meta_subestimada
EVR1403,Porto_Belo-Geral-apartamento-TOP-2Q,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, Balneário Perequê",0,19,4405.17,27,1775.69,2025-10,0.9032,0.2836,28,31,194.36,160.0,1,2025-10-17,2.48,0.0,-2629.48,meta_subestimada
LIV0907,Salvador-Graca-apartamento-TOP-1Q,Especial,BA,"Salvador, BA","Salvador, BA, Vitória",1,89,3286.44,11,2135.8,2025-10,0.7,0.4109,21,31,195.86,216.5,6,2025-10-17,1.54,195.86,-1150.6399999999999,ok
MOC0210,Petropolis-Quitandinha-apartamento-JR-1Q,Carteira 4,RJ,"Petrópolis, RJ","Petrópolis, RJ, Independência",0,316,1678.86,43,1750.88,2025-10,0.5161,0.3761,16,31,132.38,96.25,8,2025-10-17,0.96,0.0,72.02000000000021,berlinda
NWT0802,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,208,3382.9,26,4859.73,2025-10,0.4839,0.6467,15,31,278.8,280.0,13,2025-10-17,0.7,0.0,1476.8299999999995,atenção
NWT0907,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,190,5009.86,26,4859.73,2025-10,0.7667,0.6467,23,31,254.57,263.25,4,2025-10-17,1.03,254.57,-150.1300000000001,berlinda
NWT1324,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",2,197,6396.02,26,4859.73,2025-10,0.7931,0.6467,23,31,361.26,453.0,4,2025-10-17,1.32,722.52,-1536.2900000000009,ok
RGO702,Itapema-Meia_Praia-Sul-apartamento-SUP-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Castelo Branco",4,741,2363.46,23,2786.58,2025-10,0.7407,0.3298,20,31,141.4,139.5,6,2025-10-17,0.85,565.6,423.1199999999999,berlinda
RRT0098,Penha-Longe-casa-JR-2Q,Carteira 6,SC,"Penha, SC","Penha, SC, Armação",0,392,2039.76,15,2403.93,2025-10,0.6129,0.305,19,31,137.79,100.0,4,2025-10-17,0.85,0.0,364.16999999999985,berlinda
RUA0226,Penha-Praia-casa-JR-3Q,Carteira 6,SC,"Penha, SC","Penha, SC, Centro",11,232,1562.49,24,2057.45,2025-10,0.6,0.296,12,31,162.33,140.0,3,2025-10-17,0.76,1785.63,494.9599999999998,atenção
TCO0815,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",1,390,1856.38,74,1785.91,2025-10,0.6,0.4699,18,31,122.83,120.0,7,2025-10-17,1.04,122.83,-70.47000000000003,berlinda
THK1902,Sao_Paulo-Republica-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, República",1,266,2797.55,424,2504.66,2025-10,0.7667,0.5514,23,31,141.0,130.0,3,2025-10-17,1.12,141.0,-292.8900000000003,ok
THO2707,Goiania-Leste-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Jardim Goiás",0,566,2311.63,76,2212.32,2025-10,0.4839,0.442,15,31,181.8,161.4,10,2025-10-17,1.04,0.0,-99.30999999999995,berlinda
BFH0101,Balneario_Camboriu-Longe-apartamento-JR-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Nações",5,645,3003.07,20,1541.63,2025-10,0.9231,0.3855,24,31,165.58,129.0,2,2025-10-17,1.95,827.9000000000001,-1461.44,ok
BSO0205,Itajai-Praia_Brava-apartamento-SUP-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores",0,167,3001.82,12,3016.83,2025-10,0.7742,0.4947,24,31,177.54,127.0,6,2025-10-17,1.0,0.0,15.009999999999764,berlinda
CLG0408,Florianopolis-Centrao-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Centro",1,33,2767.82,17,4935.1,2025-10,0.6333,0.3941,19,31,182.47,320.0,7,2025-10-17,0.56,182.47,2167.28,atenção
CRVA0007,Florianopolis-Praia_Brava-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",16,313,1037.26,11,2277.41,2025-10,0.4667,0.3157,7,31,173.43,208.75,8,2025-10-17,0.46,2774.88,1240.1499999999999,crítico
DLH0204,Gramado-Centro-apartamento-TOP-2Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Centro",0,419,8052.04,65,5455.72,2025-10,0.8065,0.4965,25,31,406.0,489.5,4,2025-10-17,1.48,0.0,-2596.3199999999997,ok
ENC0307,Salvador-Ondina_Rio_Vermelho-apartamento-TOP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Rio Vermelho",1,78,3520.57,40,3122.43,2025-10,0.6,0.5139,18,31,222.89,199.0,7,2025-10-17,1.13,222.89,-398.1400000000003,ok
EOA0803,Balneario_Camboriu-Centro-apartamento-SUP-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",8,210,5873.42,69,4204.44,2025-10,0.7391,0.4207,17,31,401.0,250.0,5,2025-10-17,1.4,3208.0,-1668.9800000000005,ok
HMO0409,Sao_Paulo-Butanta-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Butantã",0,404,4030.33,26,2984.96,2025-10,0.7742,0.5728,24,31,197.62,158.0,3,2025-10-17,1.35,0.0,-1045.37,ok
MHF0501,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",1,426,2096.57,15,2695.9,2025-10,0.5,0.4676,15,31,163.8,173.67,9,2025-10-17,0.78,163.8,599.3299999999999,atenção
MHF0807,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",7,341,2034.25,15,2695.9,2025-10,0.5417,0.4676,13,31,182.21,163.43,7,2025-10-17,0.75,1275.47,661.6500000000001,atenção
