listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
CAU0199,Itapema-Meia_Praia-Norte-apartamento-JR-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Andorinha",4,13,2333.46,9,2433.13,2025-10,0.7037,0.3312,19,31,146.26,157.25,8,0,2025-10-20,0.96,585.04,99.67000000000007,berlinda,8,1.0,3591.46,3218.7146000000002,6.441541347975658,41.27906976744186,Média,🟢 Abaixo viável,
IDI0306,Balneario_Camboriu-Centro-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Barra Sul",0,146,3542.63,52,3713.11,2025-10,0.6774,0.4648,21,31,231.67,161.86,7,0,2025-10-20,0.95,0.0,170.48000000000002,berlinda,7,2.0,4675.65,4310.137748,3.715738666508666,15.988372093023257,Baixa,🟢 Abaixo viável,
EDF1605,Salvador-Ondina_Rio_Vermelho-apartamento-TOP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Rio Vermelho",0,44,3003.57,40,3089.23,2025-10,0.6129,0.5462,19,31,195.42,187.0,3,0,2025-10-20,0.97,0.0,85.65999999999985,berlinda,3,1.0,3564.57,3347.4069,5.185246809075392,28.77906976744186,Média,🟢 Abaixo viável,
JRR303,Florianopolis-Jurere_Tradicional-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1400,5755.47,18,6313.82,2025-10,0.7419,0.5161,23,31,344.83,255.0,4,0,2025-10-20,0.91,0.0,558.3499999999995,berlinda,4,3.0,6775.47,6512.2080000000005,7.516804406840859,53.19767441860465,Alta,🟢 Abaixo viável,
NWT0404,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,62,4540.6,26,4908.83,2025-10,0.5806,0.6698,18,31,291.11,293.14,7,0,2025-10-20,0.92,0.0,368.22999999999956,berlinda,7,2.0,6592.58,5731.979588,10.994772909226826,76.45348837209302,Alta,🟢 Abaixo viável,
NWT0920,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,183,4739.09,26,4908.83,2025-10,0.6667,0.6698,20,31,280.0,266.25,4,0,2025-10-20,0.97,280.0,169.73999999999978,berlinda,4,1.0,5804.09,5449.1255,9.206526809850809,65.98837209302324,Alta,🟢 Abaixo viável,
NWT1007,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,168,4398.97,26,4908.83,2025-10,0.5806,0.6698,18,31,291.94,280.0,4,0,2025-10-20,0.9,0.0,509.8599999999997,berlinda,4,2.0,5518.97,5049.242,14.541224691015977,90.11627906976744,Crítico,🟢 Abaixo viável,
PRN0003,Imbituba-Praia_do_Rosa-casa-JR-2Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",1,145,1054.87,46,1221.43,2025-10,0.3,0.2032,9,31,137.78,116.22,9,0,2025-10-20,0.86,137.78,166.56000000000017,berlinda,9,2.0,2100.85,1368.6639999999998,7.9241557846131245,56.97674418604651,Alta,🟢 Abaixo viável,
PGO310,Pocos_de_Caldas-Geral-apartamento-SUP-1Q,Carteira 4,MG,"Poços de Caldas, MG","Poços de Caldas, MG, São Benedito",1,777,1581.9,29,1631.15,2025-10,0.4333,0.3909,13,31,141.92,126.38,8,0,2025-10-20,0.97,141.92,49.25,berlinda,8,1.0,2592.94,2019.9836320000002,3.8158446494804275,17.441860465116278,Baixa,🟢 Abaixo viável,
ESP0301,Florianopolis-Jurere_Internacional-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,23,2775.93,18,3427.41,2025-10,0.5161,0.3453,16,31,202.94,217.5,6,0,2025-10-20,0.81,0.0,651.48,berlinda,6,3.0,4080.93,3449.4404999999997,13.780755731003875,88.0813953488372,Crítico,🟢 Abaixo viável,
NWT0805,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,299,4139.56,26,4908.83,2025-10,0.5484,0.6698,17,31,282.59,302.38,8,0,2025-10-20,0.84,0.0,769.2699999999995,berlinda,8,3.0,6558.6,5466.1615360000005,15.795472145772678,91.86046511627907,Crítico,🟢 Abaixo viável,
BLB1502,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,653,2864.32,208,3337.03,2025-10,0.6774,0.5531,21,31,177.9,154.57,7,0,2025-10-20,0.86,0.0,472.71000000000004,berlinda,7,4.0,3946.3100000000004,3597.260026,5.473938254975234,31.3953488372093,Média,🟢 Abaixo viável,
BMR0004,Porto_Seguro-Pataxos-casa-JR-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Loteamento Village I",0,351,2958.86,15,3086.66,2025-10,0.4516,0.557,14,31,261.64,174.0,7,0,2025-10-20,0.96,0.0,127.79999999999973,berlinda,7,1.0,4176.860000000001,3508.9088,7.204292017909314,49.127906976744185,Média,🟢 Abaixo viável,
NWT0504,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,194,4736.55,26,4908.83,2025-10,0.6452,0.6698,20,31,288.3,280.67,6,0,2025-10-20,0.96,0.0,172.27999999999975,berlinda,6,1.0,6420.57,5823.079704,9.85037729968239,68.8953488372093,Alta,🟢 Abaixo viável,
TPS104,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,974,2764.16,27,2888.12,2025-10,0.8065,0.6464,25,31,149.68,153.0,2,0,2025-10-20,0.96,0.0,123.96000000000004,berlinda,2,1.0,3070.16,3010.9489999999996,6.5668601027658156,43.604651162790695,Média,🟢 Abaixo viável,
AIA2200,Barra_Velha-Tabuleiro-casa-JR-3Q,Carteira 3,SC,"Barra Velha, SC","Barra Velha, SC, Barra Velha",4,607,1549.89,12,1756.31,2025-10,0.4815,0.253,13,31,155.08,180.0,7,0,2025-10-20,0.88,620.32,206.41999999999985,berlinda,7,2.0,2809.8900000000003,2156.58,10.57774538663447,73.54651162790698,Alta,🟢 Abaixo viável,
