listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
LGR204,Florianopolis-Ingleses_Centro-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,1044,2377.34,18,2729.84,2025-11,0.6333,0.5952,19,30,145.95,128.25,4,0,2025-11-24,0.87,0.0,352.5,berlinda,4,3.0,2890.34,2702.2229,5.520241113032265,34.33734939759036,Média,🟠 Abaixo precisa esforço,
MHF2001,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",1,326,3468.86,19,3496.4,2025-11,0.6207,0.5702,18,30,226.67,235.0,2,0,2025-11-24,0.99,226.67,27.539999999999964,berlinda,2,1.0,3938.86,3760.589,1.8510181901384257,2.4096385542168677,Baixa,🟢 Abaixo viável,
RDD657,Florianopolis-Daniela-casa-JR-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Daniela",3,857,4299.35,8,5368.28,2025-11,0.4815,0.6419,13,30,496.92,383.0,6,0,2025-11-24,0.8,1490.76,1068.9299999999994,berlinda,6,3.0,6597.35,5405.837,25.420941158061783,95.78313253012048,Crítico,🟢 Abaixo viável,
ROY0401,Porto_Alegre-Jardim_Botanico-apartamento-SUP-2Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Chácara das Pedras",1,44,2311.16,38,2850.43,2025-11,0.4828,0.5151,14,30,186.57,180.0,2,0,2025-11-24,0.81,186.57,539.27,berlinda,2,3.0,2671.16,2484.968,11.35133997326719,72.28915662650603,Alta,🟠 Abaixo precisa esforço,
UPP0517,Curitiba-Centro-apartamento-JR-1Q,Carteira 4,PR,"Curitiba, PR","Curitiba, PR, Alto da XV",0,29,2216.27,289,2479.88,2025-11,0.5667,0.6885,17,30,144.41,130.0,3,0,2025-11-24,0.89,0.0,263.6100000000001,berlinda,3,3.0,2606.27,2437.283,4.606311595722375,21.084337349397593,Média,🟠 Abaixo precisa esforço,
CEC0404,Guarapari-Centro-apartamento-SUP-1Q,Carteira 4,ES,"Guarapari, ES","Guarapari, ES, Centro",0,8,1912.44,33,2316.33,2025-11,0.6,0.5365,18,30,130.06,119.5,2,0,2025-11-24,0.83,0.0,403.8899999999999,berlinda,2,4.0,2151.44,2055.84,5.209194609576354,31.32530120481928,Média,🟠 Abaixo precisa esforço,
ELF0607,Bombinhas-Bombas-apartamento-SUP-1Q,Especial,SC,"Bombinhas, SC","Bombinhas, SC, José Amândio",2,164,2847.82,45,3072.04,2025-11,0.4643,0.4924,13,30,248.38,385.33,6,24,2025-11-24,0.93,496.76,224.2199999999998,berlinda,6,1.0,5159.8,3921.272314,28.12420821343469,97.28915662650603,Crítico,🟢 Abaixo viável,
ISM0619,Sao_Paulo-Moema-apartamento-SUP-1Q,Carteira 4_sys-price,SP,"São Paulo, SP","São Paulo, SP, Indianópolis",0,152,3999.85,611,4212.23,2025-11,0.7667,0.6801,23,30,211.96,155.0,2,0,2025-11-24,0.95,0.0,212.37999999999965,berlinda,2,2.0,4309.85,4237.527,3.907538287320493,12.951807228915662,Baixa,🟢 Abaixo viável,
NOR0204,Brasilia-Asa_Norte-apartamento-SUP-1Q,Carteira 1_sys-price,DF,"Brasília, DF","Brasília, DF, Asa Norte",2,767,3985.34,142,4078.89,2025-11,0.8929,0.8171,25,30,183.76,,0,0,2025-11-24,0.98,367.52,93.54999999999973,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
NWT1407,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,78,4991.34,43,5085.72,2025-11,0.6333,0.6637,19,30,322.11,280.0,3,0,2025-11-24,0.98,0.0,94.38000000000011,berlinda,3,1.0,5831.34,5523.312,5.196196408768086,30.42168674698795,Média,🟢 Abaixo viável,
SCO0005,Florianopolis-Campeche-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,127,1987.76,28,2204.41,2025-11,0.5667,0.6439,17,30,138.41,144.0,2,0,2025-11-24,0.9,0.0,216.64999999999986,berlinda,2,2.0,2275.76,2150.9696,7.07617911368575,47.59036144578313,Média,🟠 Abaixo precisa esforço,
SPJ0502,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,383,5530.69,16,6452.9,2025-11,0.7667,0.7069,23,30,294.08,,0,0,2025-11-24,0.86,0.0,922.21,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
BHY0614,Brasilia-Setor_Hoteleiro-apartamento-JR-1Q,Carteira 1_sys-price,DF,"Brasília, DF","Brasília, DF, Asa Norte",0,603,4976.57,103,5418.75,2025-11,0.8333,0.7375,25,30,237.92,172.0,1,0,2025-11-24,0.92,0.0,442.1800000000003,berlinda,1,3.0,5148.57,5119.897599999999,4.678505805459442,22.89156626506024,Média,🟠 Abaixo precisa esforço,
PGO209,Pocos_de_Caldas-Geral-apartamento-SUP-1Q,Carteira 4,MG,"Poços de Caldas, MG","Poços de Caldas, MG, São Benedito",3,808,1617.48,32,1790.89,2025-11,0.4074,0.4244,11,30,164.0,120.0,4,0,2025-11-24,0.9,492.0,173.41000000000008,berlinda,4,2.0,2097.48,1813.032,5.809737058110774,36.74698795180723,Média,🟢 Abaixo viável,
STE0312,Salvador-Ondina_Rio_Vermelho-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Ondina",0,75,3498.5,86,3539.22,2025-11,0.8333,0.693,25,30,168.84,,0,0,2025-11-24,0.99,0.0,40.7199999999998,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
VVP0027,Cabo_Frio-Pero_Perto-casa-JR-4Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Ogiva",4,407,3371.64,36,3601.51,2025-11,0.3077,0.3632,8,30,544.63,292.33,6,0,2025-11-24,0.94,2178.52,229.87000000000035,berlinda,6,1.0,5125.62,3911.339646,18.658256425776994,89.1566265060241,Crítico,🟢 Abaixo viável,
EGI001,Imbituba-Praia_do_Rosa-casa-TOP-3Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",8,779,3287.74,15,3502.73,2025-11,0.4091,0.2774,9,30,467.67,351.0,6,21,2025-11-24,0.94,3741.36,214.99000000000024,berlinda,6,1.0,5393.74,4149.3045999999995,21.54362168936803,91.56626506024097,Crítico,🟢 Abaixo viável,
OCB0204,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,107,3947.52,212,4248.24,2025-11,0.8,0.7112,24,30,206.29,130.0,2,0,2025-11-24,0.93,0.0,300.7199999999998,berlinda,2,3.0,4207.52,4155.52,3.0674349848407845,6.024096385542169,Baixa,🟠 Abaixo precisa esforço,
PLO0004,Jaguaruna-Camacho-apartamento-SUP-1Q,Carteira 6,SC,"Jaguaruna, SC","Jaguaruna, SC, Centro",2,39,1039.42,14,1077.87,2025-11,0.3571,0.2759,10,30,140.1,90.0,1,0,2025-11-24,0.96,280.2,38.44999999999982,berlinda,1,1.0,1129.42,1071.559,3.210498483119471,6.927710843373494,Baixa,🟠 Abaixo precisa esforço,
ILC4112,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,815,10118.65,17,10796.7,2025-11,0.7,0.6721,21,30,677.76,,0,0,2025-11-24,0.94,0.0,678.0500000000011,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
MMD0403,Ilheus-Sul-apartamento-TOP-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, São Francisco",6,187,2521.31,21,3087.96,2025-11,0.5417,0.4991,13,30,234.77,273.0,6,17,2025-11-24,0.82,1408.6200000000001,566.6500000000001,berlinda,6,3.0,4159.3099999999995,3408.6146,16.69877524320263,85.8433734939759,Crítico,🟢 Abaixo viável,
SOA0510,Salvador-Boca_do_Rio-apartamento-TOP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Boca do Rio",0,274,3295.31,17,3548.18,2025-11,0.6333,0.6989,19,30,203.89,136.0,1,0,2025-11-24,0.93,0.0,252.8699999999999,berlinda,1,2.0,3431.31,3381.4388,4.846191568635186,25.301204819277107,Média,🟠 Abaixo precisa esforço,
SPJ0405,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",2,335,5816.76,16,6452.9,2025-11,0.8214,0.7069,23,30,316.04,227.0,3,0,2025-11-24,0.9,632.08,636.1399999999994,berlinda,3,3.0,6497.76,6376.133400000001,7.459373821589251,50.602409638554214,Alta,🟠 Abaixo precisa esforço,
VLRY705,Florianopolis-Centrao-apartamento-SUP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,275,3245.77,127,3977.15,2025-11,0.7,0.5706,21,30,184.9,134.5,4,0,2025-11-24,0.82,0.0,731.3800000000001,berlinda,4,6.0,3783.77,3622.37,4.122324193622736,16.265060240963855,Baixa,🟠 Abaixo precisa esforço,
BDR523,Florianopolis-Lagoa-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa da Conceição",3,1284,3562.34,27,3747.01,2025-11,0.8148,0.7398,22,30,193.18,,0,0,2025-11-24,0.95,579.54,184.67000000000007,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
ESB0310,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,102,3439.06,212,4248.24,2025-11,0.8,0.7112,24,30,201.58,130.0,1,0,2025-11-24,0.81,0.0,809.1799999999998,berlinda,1,7.0,3569.06,3543.06,3.537377495487206,10.843373493975903,Baixa,🟠 Abaixo precisa esforço,
JBV165,Especial-JBV-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,464,8890.9,27,10333.97,2025-11,0.7333,0.693,22,30,518.73,464.0,1,0,2025-11-24,0.86,0.0,1443.0699999999997,berlinda,1,4.0,9354.9,9231.1512,16.198626471723838,84.63855421686746,Crítico,🟠 Abaixo precisa esforço,
SQS0108,Brasilia-Asa_Sul-apartamento-SUP-2Q,Carteira 1_sys-price,DF,"Brasília, DF","Brasília, DF, Asa Sul",1,38,5627.44,16,6915.58,2025-11,0.8276,0.8629,24,30,311.92,,0,0,2025-11-24,0.81,311.92,1288.1400000000003,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
IDC0102,Florianopolis-UFSC-apartamento-SUP-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Trindade",3,708,3716.83,21,3753.83,2025-11,0.5926,0.7025,16,30,292.5,196.0,3,0,2025-11-24,0.99,877.5,37.0,berlinda,3,1.0,4304.83,4065.2788,1.9318935593780215,2.710843373493976,Baixa,🟢 Abaixo viável,
MHR308,Florianopolis-Ingleses_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",4,1163,3103.96,40,3764.53,2025-11,0.6154,0.55,16,30,233.56,152.0,2,0,2025-11-24,0.82,934.24,660.5700000000002,berlinda,2,5.0,3407.96,3291.0416,5.334351964255831,32.53012048192771,Média,🟠 Abaixo precisa esforço,
RTT1905,Florianopolis-Daniela-casa-JR-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Daniela",8,368,4570.46,8,5368.28,2025-11,0.5909,0.6419,13,30,427.0,275.5,2,0,2025-11-24,0.85,3416.0,797.8199999999997,berlinda,2,3.0,5121.46,4896.0459,13.648034379726838,79.51807228915662,Alta,🟠 Abaixo precisa esforço,
