listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional
AIR1607,Porto_Alegre-Menino_Deus-apartamento-TOP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas",2,608,1482.46,29,1673.99,2025-10,0.2069,0.409,6,31,313.0,333.0,18,2025-10-13,0.89,626.0,191.52999999999997,berlinda,18,1.0,7476.46,2722.6186,38.10028136368795,99.80506822612085,Crítico,🟢 Abaixo viável
CHR025,Florianopolis-Jurere_Longe-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",3,173,2770.36,14,2788.52,2025-10,0.6071,0.2985,17,31,202.29,,0,2025-10-13,0.99,606.87,18.159999999999854,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável
ICT0104B,Florianopolis-Ingleses_Centro-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses Norte",0,106,1667.6,16,1625.33,2025-10,0.4839,0.3792,15,31,144.47,198.8,10,2025-10-13,1.03,0.0,-42.26999999999998,berlinda,10,-0.0,3655.6,2629.5932000000003,-5.170196821568542,16.569200779727094,Baixa,🟡 Acima com risco
ILC1212,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",3,650,6301.78,16,6783.04,2025-10,0.6786,0.534,19,31,404.58,500.0,8,2025-10-13,0.93,1213.74,481.2600000000002,berlinda,8,1.0,10301.779999999999,9016.18,35.475244138321465,99.41520467836257,Crítico,🟢 Abaixo viável
JPR217,Especial-JPR-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,895,4186.29,17,3836.9,2025-10,0.7097,0.4776,22,31,242.45,246.57,7,2025-10-13,1.09,0.0,-349.3899999999999,berlinda,7,-1.0,5912.28,5411.225103,22.452785399671594,94.73684210526315,Crítico,🟡 Acima com risco
NWT0921,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,190,4383.48,26,4604.77,2025-10,0.6129,0.5984,19,31,280.16,268.0,7,2025-10-13,0.95,0.0,221.29000000000087,berlinda,7,1.0,6259.48,5533.2804,12.879192663260104,75.43859649122807,Alta,🟢 Abaixo viável
TXP0807,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",0,728,1588.95,148,1757.19,2025-10,0.2903,0.3938,9,31,189.0,224.0,18,2025-10-13,0.9,0.0,168.24,berlinda,18,1.0,5620.95,2759.4396,21.446605091082922,93.37231968810916,Crítico,🟢 Abaixo viável
AGS0642,Bombinhas-Centro-casa-SUP-4Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",14,509,4686.31,23,4532.63,2025-10,0.8824,0.2982,15,31,416.73,293.0,1,2025-10-13,1.03,5834.22,-153.6800000000003,berlinda,1,-0.0,4979.31,4944.8532000000005,-9.934241268314441,8.57699805068226,Baixa,🟡 Acima com risco
ELF0412,Bombinhas-Bombas-apartamento-SUP-1Q,Especial,SC,"Bombinhas, SC","Bombinhas, SC, José Amândio",0,161,1375.71,23,1708.05,2025-10,0.3871,0.2233,12,31,134.58,131.6,10,2025-10-13,0.81,0.0,332.3399999999999,berlinda,10,3.0,2691.71,1885.1336000000001,8.535258335528816,56.33528265107213,Alta,🟢 Abaixo viável
JRR309,Florianopolis-Jurere_Tradicional-apartamento-TOP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",2,111,5305.71,13,6514.4,2025-10,0.4483,0.3595,13,31,502.08,446.6,10,2025-10-13,0.81,1004.16,1208.6899999999996,berlinda,10,3.0,9771.71,7307.8178,27.620909267673653,97.6608187134503,Crítico,🟢 Abaixo viável
PLN0415,Brasilia-Lago_Norte-apartamento-SUP-1Q,Carteira 1,DF,"Brasília, DF","Guará, DF, Centro",0,730,2309.58,9,2239.75,2025-10,0.5161,0.3345,16,31,163.56,155.29,7,2025-10-13,1.03,0.0,-69.82999999999993,berlinda,7,-0.0,3396.6099999999997,2870.5961829999997,-4.841567451724517,16.95906432748538,Baixa,🟡 Acima com risco
SOA0912,Salvador-Boca_do_Rio-apartamento-TOP-2Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Boca do Rio",1,124,4706.05,25,5080.38,2025-10,0.7667,0.4368,23,31,264.65,263.75,4,2025-10-13,0.93,264.65,374.3299999999999,berlinda,4,2.0,5761.05,5514.9185,9.716747320082353,61.98830409356725,Alta,🟢 Abaixo viável
SPT0304,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Itoupava Seca",0,502,5145.27,45,5496.92,2025-10,0.4516,0.4945,14,31,393.07,190.0,11,2025-10-13,0.94,0.0,351.64999999999964,berlinda,11,2.0,7235.27,6089.1140000000005,6.077357865859421,42.8849902534113,Média,🟢 Abaixo viável
MHF1803,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,469,2837.14,14,2821.64,2025-10,0.5806,0.4442,18,31,186.56,174.29,7,2025-10-13,1.01,0.0,-15.5,berlinda,7,-0.0,4057.17,3545.4894179999997,-0.957420152818928,25.341130604288498,Média,🟡 Acima com risco
RGN0205,Florianopolis-Ingleses_Centro-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses Centro",0,6,3096.86,15,2973.28,2025-10,0.5806,0.3191,18,31,201.3,178.63,8,2025-10-13,1.04,0.0,-123.57999999999993,berlinda,8,-0.0,4525.9,3926.560624,-7.4244926142172885,12.670565302144249,Baixa,🟡 Acima com risco
RGP302,Florianopolis-Jurere_Tradicional-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,540,3989.02,29,3777.8,2025-10,0.8065,0.4295,25,31,203.12,183.0,3,2025-10-13,1.06,0.0,-211.2199999999998,berlinda,3,-1.0,4538.02,4431.7885,10.231685107734657,64.13255360623782,Alta,🟡 Acima com risco
SPT0303,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Itoupava Seca",0,391,5381.1,45,5496.92,2025-10,0.3871,0.4945,12,31,509.5,181.56,9,2025-10-13,0.98,0.0,115.81999999999971,berlinda,9,1.0,7015.14,6013.6368840000005,3.8254657517300497,33.91812865497076,Média,🟢 Abaixo viável
BSL190,Penha-Praia-casa-JR-5Q,Carteira 6,SC,"Penha, SC","Penha, SC, Penha",6,602,4628.57,15,4389.36,2025-10,0.52,0.3831,13,31,497.62,275.25,4,2025-10-13,1.05,2985.7200000000003,-239.21000000000004,berlinda,4,-0.0,5729.57,5201.09,-15.000490390398603,5.0682261208577,Baixa,🟡 Acima com risco
LGD0201,Florianopolis-Centrao-apartamento-TOP-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",4,376,5047.33,21,5167.96,2025-10,0.6296,0.4117,17,31,392.0,343.0,7,2025-10-13,0.98,1568.0,120.63000000000011,berlinda,7,1.0,7448.33,6558.9996,8.00627133336946,52.826510721247566,Alta,🟢 Abaixo viável
RMA101,Florianopolis-Ingleses_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",5,838,1938.24,27,2087.81,2025-10,0.5385,0.4225,14,31,183.0,148.0,6,2025-10-13,0.93,915.0,149.56999999999994,berlinda,6,2.0,2826.24,2416.428,5.3013348915849585,39.57115009746588,Média,🟢 Abaixo viável
VGZ0004,Imbituba-Praia_do_Rosa-casa-SUP-1Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",1,589,2096.96,47,2169.2,2025-10,0.5667,0.2327,17,31,153.61,124.25,8,2025-10-13,0.97,153.61,72.23999999999978,berlinda,8,1.0,3090.96,2660.2598,4.137848054582322,35.28265107212476,Média,🟢 Abaixo viável
MAR202,Florianopolis-Ingleses_Centro-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,862,2489.73,15,2973.28,2025-10,0.4194,0.3191,13,31,168.06,188.69,13,2025-10-13,0.84,0.0,483.5500000000002,berlinda,13,3.0,4942.7,3518.505618,10.229000688353157,63.93762183235867,Alta,🟢 Abaixo viável
OBS0301,Itapema-Meia_Praia-Sul-apartamento-SUP-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Itapema",0,604,2699.46,28,2477.75,2025-10,0.5806,0.2843,18,31,192.44,153.0,6,2025-10-13,1.09,0.0,-221.71000000000004,berlinda,6,-1.0,3617.46,3232.4508,13.690497427101203,79.72709551656921,Alta,🟡 Acima com risco
PGO0406,Pocos_de_Caldas-Geral-apartamento-SUP-1Q,Carteira 4,MG,"Poços de Caldas, MG","Poços de Caldas, MG, São Benedito",0,384,1340.93,27,1316.32,2025-10,0.3226,0.3003,10,31,159.8,123.57,14,2025-10-13,1.02,0.0,-24.610000000000127,berlinda,14,-0.0,3070.91,1899.0215480000002,-2.310272350188416,22.612085769980506,Média,🟡 Acima com risco
SPT0006,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Itoupava Seca",0,511,4911.22,45,5496.92,2025-10,0.3226,0.4945,10,31,578.33,194.25,12,2025-10-13,0.89,0.0,585.6999999999998,berlinda,12,4.0,7242.22,5663.2006,5.174362415680052,38.79142300194932,Média,🟢 Abaixo viável
TPS101,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,986,2871.81,26,2834.75,2025-10,0.6774,0.5829,21,31,159.91,161.17,6,2025-10-13,1.01,0.0,-37.059999999999945,berlinda,6,-0.0,3838.83,3526.869348,-2.1070500749625154,23.196881091617932,Média,🟡 Acima com risco
NOR0203,Brasilia-Asa_Norte-apartamento-SUP-1Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Asa Norte",0,736,2548.34,93,2856.0,2025-10,0.4839,0.5475,15,31,205.93,208.8,10,2025-10-13,0.89,0.0,307.65999999999985,berlinda,10,2.0,4636.34,3558.7232000000004,11.24639495798319,69.00584795321637,Alta,🟢 Abaixo viável
NWT0613,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,184,4178.09,26,4604.77,2025-10,0.6129,0.5984,19,31,265.58,260.6,5,2025-10-13,0.91,0.0,426.6800000000003,berlinda,5,2.0,5481.09,4976.6987,12.073654927390518,72.31968810916179,Alta,🟢 Abaixo viável
PRV1003,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",1,356,3061.46,196,3002.6,2025-10,0.7,0.4728,21,31,169.33,175.83,6,2025-10-13,1.02,169.33,-58.86000000000013,berlinda,6,-0.0,4116.4400000000005,3799.946,-3.4467973756078156,19.49317738791423,Baixa,🟡 Acima com risco
NWT0916,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,190,4705.37,26,4604.77,2025-10,0.6452,0.5984,20,31,278.5,253.33,3,2025-10-13,1.02,0.0,-100.59999999999945,berlinda,3,-0.0,5465.36,5195.715548,-5.534477943523748,15.789473684210526,Baixa,🟡 Acima com risco
