listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,grupo_criticidade,dias_disponiveis,falta_meta,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional
JBM201,Florianopolis-Jurere_Tradicional-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",1,1940,4179.77,17,4453.11,2025-10,0.8,0.3745,24,31,223.21,248.0,5,2025-10-07,0.94,berlinda,5,273.33999999999924,2.0,5419.77,5171.77,7.611345778568215,42.298850574712645,Média,🟢 Abaixo viável
RJI0046,Ubatuba-Itagua-apartamento-JR-2Q,Carteira 4,SP,"Ubatuba, SP","Ubatuba, SP, Itaguá",0,344,1912.51,102,2043.83,2025-10,0.4194,0.2667,13,31,192.92,228.07,14,2025-10-07,0.94,berlinda,14,131.31999999999994,1.0,5105.49,3251.6458119999998,14.653935209875566,73.79310344827587,Alta,🟢 Abaixo viável
SPT0205,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Itoupava Seca",0,478,4644.92,40,5178.91,2025-10,0.3871,0.4511,12,31,484.5,214.33,12,2025-10-07,0.9,berlinda,12,533.9899999999998,3.0,7216.88,5640.525716,7.366419877284342,40.689655172413794,Média,🟢 Abaixo viável
ARK0201,Brasilia-Asa_Sul-apartamento-TOP-1Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Asa Sul",0,106,3218.64,20,3214.88,2025-10,0.6129,0.5228,19,31,226.74,238.0,8,2025-10-07,1.0,berlinda,8,-3.7599999999997635,-0.0,5122.639999999999,4385.6016,-0.27835564624494336,24.137931034482758,Média,🟢 Acima com folga
RGO702,Itapema-Meia_Praia-Sul-apartamento-SUP-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Castelo Branco",4,741,2363.46,26,2228.74,2025-10,0.7407,0.2048,20,31,141.4,152.71,7,2025-10-07,1.06,berlinda,7,-134.72000000000025,-0.0,3432.4300000000003,3155.246079,-9.230817053581864,11.724137931034482,Baixa,🟢 Acima com folga
RRT0098,Penha-Longe-casa-JR-2Q,Carteira 6,SC,"Penha, SC","Penha, SC, Armação",0,392,1940.31,9,2403.93,2025-10,0.5806,0.2254,18,31,139.89,100.0,8,2025-10-07,0.81,berlinda,8,463.6199999999999,5.0,2740.31,2404.79,3.857183861426913,31.264367816091955,Média,🟢 Abaixo viável
CVB0144,Marau-Barra_Grande-casa-SUP-3Q,Carteira 2,BA,"Maraú, BA","Maraú, BA, Barra Grande",4,446,4039.75,7,4024.39,2025-10,0.3333,0.1501,9,31,550.0,554.55,11,2025-10-07,1.0,berlinda,11,-15.360000000000127,-0.0,10139.8,6072.896665,-2.1165662373676684,21.60919540229885,Média,🟢 Acima com folga
ENE0218,Brasilia-Asa_Norte-apartamento-TOP-1Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Setor Noroeste",2,415,2033.03,22,2162.19,2025-10,0.3448,0.3453,10,31,234.1,237.13,15,2025-10-07,0.94,berlinda,15,129.16000000000008,1.0,5589.98,3259.46636,14.165133868901444,72.41379310344827,Alta,🟢 Abaixo viável
MMD0403,Ilheus-Sul-apartamento-TOP-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, São Francisco",0,156,2545.65,12,2878.39,2025-10,0.5161,0.219,16,31,218.31,240.15,13,2025-10-07,0.88,berlinda,13,332.7399999999998,2.0,5667.6,4156.888395,13.880591407001825,71.03448275862068,Alta,🟢 Abaixo viável
NWT0417,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,307,3615.78,30,4057.04,2025-10,0.4516,0.5207,14,31,314.29,282.83,12,2025-10-07,0.89,berlinda,12,441.25999999999976,2.0,7009.74,5148.492336,15.380864595862985,76.32183908045977,Alta,🟢 Abaixo viável
