listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
EON0402,Goiania-Central-2-apartamento-SUP-3Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Oeste",1,3,1401.0,7,1440.75,2025-11,0.2069,0.196,6,30,271.17,305.12,17,2025-11-03,0.97,271.17,39.75,berlinda,17,1.0,6588.04,2474.198576,8.418198854763144,19.0625,Baixa,🟢 Abaixo viável,
GDP0107,Brasilia-Asa_Sul-apartamento-SUP-1Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Asa Sul",0,645,2384.29,122,2966.5,2025-11,0.4333,0.5646,13,30,258.17,249.11,18,2025-11-03,0.8,0.0,582.21,berlinda,18,3.0,6868.27,4327.198534,16.296908039777517,65.625,Alta,🟢 Abaixo viável,
OGD0401,Florianopolis-Beira_Mar-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,248,4031.24,12,4501.17,2025-11,0.6333,0.4338,19,30,271.16,309.2,10,2025-11-03,0.9,0.0,469.9300000000003,berlinda,10,2.0,7123.24,5989.4036,16.14050968970291,65.0,Alta,🟢 Abaixo viável,
RMI0007,Florianopolis-Ingleses_Praia-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",4,680,2547.18,48,3075.47,2025-11,0.3846,0.3116,10,30,212.36,234.5,12,2025-11-03,0.83,849.44,528.29,berlinda,12,3.0,5361.18,3629.4444,13.427108160161971,52.1875,Alta,🟢 Abaixo viável,
SPJ0106,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,310,4857.72,19,5610.79,2025-11,0.6333,0.5559,19,30,320.42,283.55,11,2025-11-03,0.87,0.0,753.0699999999997,berlinda,11,3.0,7976.77,6833.014365,12.685854606332912,47.8125,Média,🟢 Abaixo viável,
SPJ0202,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,516,5414.31,19,5610.79,2025-11,0.7667,0.5559,23,30,356.83,257.0,7,2025-11-03,0.96,0.0,196.47999999999956,berlinda,7,1.0,7213.31,6793.603300000001,8.99968810096259,23.125,Média,🟢 Abaixo viável,
SPJ0402,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,385,5314.34,19,5610.79,2025-11,0.7,0.5559,21,30,301.71,288.0,8,2025-11-03,0.95,0.0,296.4499999999998,berlinda,8,2.0,7618.34,6927.14,7.608340358487837,15.312500000000002,Baixa,🟢 Abaixo viável,
ILC4107,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",9,423,9683.14,28,10075.49,2025-11,0.9048,0.5987,19,30,633.0,574.4,5,2025-11-03,0.96,5697.0,392.35000000000036,berlinda,5,1.0,12555.14,12281.7256,22.367730006183344,86.25,Crítico,🟢 Abaixo viável,
PRJ001,Imbituba-Praia_do_Rosa-casa-SIM-1Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",0,1241,864.52,51,953.78,2025-11,0.3333,0.2278,10,30,102.0,92.35,17,2025-11-03,0.91,0.0,89.25999999999999,berlinda,17,1.0,2434.47,1387.7843349999998,8.642623036759,20.9375,Média,🟢 Abaixo viável,
SOV0005,Mata_de_Sao_Joao-Praia_Imbassai-apartamento-TOP-1Q,Carteira 2,BA,"Mata de São João, BA","Mata de São João, BA, Imbassaí",3,254,2950.67,11,3620.49,2025-11,0.5185,0.316,14,30,252.71,241.77,13,2025-11-03,0.81,758.13,669.8199999999997,berlinda,13,3.0,6093.68,4580.320685,14.909803313916068,58.75,Alta,🟢 Abaixo viável,
VST017,Especial-VST-casa-TOP-1Q,Carteira 5,SC,"Anitápolis, SC","Anitápolis, SC, Rio dos pinheiros",2,123,1282.94,42,1530.85,2025-11,0.2143,0.1234,6,30,265.67,179.19,21,2025-11-03,0.84,531.34,247.90999999999985,berlinda,21,2.0,5045.93,2089.348757,14.50925724270829,56.25,Alta,🟢 Abaixo viável,
ECM0206,Florianopolis-Lagoa-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa da Conceição",0,40,2191.6,23,2256.32,2025-11,0.4333,0.4355,13,30,205.69,230.81,16,2025-11-03,0.97,0.0,64.72000000000025,berlinda,16,1.0,5884.5599999999995,3791.759568,6.620525102822319,10.9375,Baixa,🟢 Abaixo viável,
NWT1306,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,303,4511.84,35,4545.08,2025-11,0.5333,0.472,16,30,366.13,328.83,12,2025-11-03,0.99,0.0,33.23999999999978,berlinda,12,1.0,8457.8,6616.2204679999995,2.4048661849736255,3.125,Baixa,🟢 Abaixo viável,
CEV1206,Balneario_Camboriu-Centro-apartamento-JR-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",2,54,1748.43,27,1873.51,2025-11,0.5,0.3878,14,30,160.29,143.5,14,2025-11-03,0.93,320.58,125.07999999999993,berlinda,14,1.0,3757.4300000000003,2752.9300000000003,9.580402559900929,27.8125,Média,🟢 Abaixo viável,
