listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
CTD0302,Penha-Longe-apartamento-JR-2Q,Carteira 6,SC,"Penha, SC","Penha, SC, Centro",0,176,2217.68,26,2357.93,2025-11,0.7333,0.5139,22,30,125.77,140.0,2,0,2025-11-26,0.94,0.0,140.25,berlinda,2,2.0,2497.68,2423.004,4.163609606731328,14.344262295081966,Baixa,🟢 Abaixo viável,
ONP2021,Sao_Paulo-Bela_Vista-apartamento-SUP-1Q,Carteira 4_sys-price,SP,"São Paulo, SP","São Paulo, SP, Paraíso",5,170,3839.81,606,4211.74,2025-11,0.88,0.7403,22,30,207.73,150.0,1,0,2025-11-26,0.91,1038.6499999999999,371.92999999999984,berlinda,1,3.0,3989.81,3971.81,4.41539601209951,17.62295081967213,Baixa,🟠 Abaixo precisa esforço,
RTQ0009,Mata_de_Sao_Joao-Praia_Imbassai-casa-SUP-2Q,Carteira 2,BA,"Mata de São João, BA","Mata de São João, BA, Imbassaí",24,165,2744.52,14,3078.88,2025-11,1.0,0.4861,6,30,561.0,,0,24,2025-11-26,0.89,13464.0,334.3600000000001,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
RVR0506,Florianopolis-UFSC-apartamento-SUP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Pantanal",1,723,3443.28,46,3534.63,2025-11,0.6897,0.7027,20,30,188.35,137.0,2,0,2025-11-26,0.97,188.35,91.34999999999991,berlinda,2,1.0,3717.28,3632.2578000000003,3.5406676229195098,9.01639344262295,Baixa,🟢 Abaixo viável,
SDR008,Florianopolis-Lagoa-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa da Conceição",0,1522,3170.82,26,3903.59,2025-11,0.7333,0.7652,22,30,182.5,175.5,2,0,2025-11-26,0.81,0.0,732.77,berlinda,2,5.0,3521.82,3428.2083000000002,6.588864865418755,45.90163934426229,Média,🟠 Abaixo precisa esforço,
VST008,Especial-VST-casa-TOP-1Q,Carteira 5,SC,"Anitápolis, SC","Anitápolis, SC, Rio dos Pinheiros",3,488,3187.34,54,3642.14,2025-11,0.7037,0.2969,19,30,214.16,254.25,4,0,2025-11-26,0.88,642.48,454.7999999999997,berlinda,4,2.0,4204.34,3903.0029000000004,15.874307412674955,84.01639344262296,Crítico,🟢 Abaixo viável,
SCO0008,Florianopolis-Campeche-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,172,3039.39,35,3311.0,2025-11,0.6333,0.6935,19,30,207.89,146.0,1,0,2025-11-26,0.92,0.0,271.6100000000001,berlinda,1,2.0,3185.39,3131.8518,5.988381153729994,40.57377049180328,Média,🟠 Abaixo precisa esforço,
BLB1501,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",3,1,3702.96,213,4282.3,2025-11,0.8519,0.7357,23,30,194.87,,0,0,2025-11-26,0.86,584.61,579.3400000000001,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
EJF0702,Balneario_Camboriu-Intermediario-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",8,689,3394.9,93,3620.15,2025-11,0.9091,0.519,20,30,221.95,,0,0,2025-11-26,0.94,1775.6,225.25,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
HAI0702,Salvador-Centro-apartamento-JR-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Centro",2,366,2218.35,28,2558.76,2025-11,0.75,0.7533,21,30,137.24,,0,0,2025-11-26,0.87,274.48,340.4100000000003,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
JBV124,Especial-JBV-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1928,9792.17,26,10509.34,2025-11,0.6333,0.732,19,30,616.68,410.0,1,0,2025-11-26,0.93,0.0,717.1700000000001,berlinda,1,2.0,10202.17,10051.823,13.98944653041961,79.50819672131148,Alta,🟠 Abaixo precisa esforço,
TCO0611,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",0,491,2118.99,79,2397.11,2025-11,0.7667,0.633,23,30,124.13,120.0,1,0,2025-11-26,0.88,0.0,278.12000000000035,berlinda,1,3.0,2238.99,2210.9939999999997,4.6409217766393756,20.901639344262296,Média,🟠 Abaixo precisa esforço,
UPP0214,Curitiba-Centro-apartamento-JR-1Q,Carteira 4,PR,"Curitiba, PR","Curitiba, PR, Alto da XV",0,8,2419.94,291,2530.45,2025-11,0.5667,0.7042,17,30,135.25,130.0,1,0,2025-11-26,0.96,0.0,110.50999999999976,berlinda,1,1.0,2549.94,2493.611,5.677369637811445,36.0655737704918,Média,🟠 Abaixo precisa esforço,
