listing,carteira,estado,cidade,Bairro
AAF1974,Carteira 3,SC,"Porto Belo, SC","Porto Belo, SC, Perequê"
AAF378,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, Pereque"
AAL0204,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras"
AAM0203,Carteira 4,BA,"Salvador, BA","Salvador, BA, Stiep"
AAP1405,Carteira 2,BA,"Salvador, BA","Salvador, BA, Caminho das Árvores"
AAP1507,Carteira 2,BA,"Salvador, BA","Salvador, BA, Caminho das Árvores"
AAR0104,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Campeche"
ABC0202,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
AAR0203,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche"
ABC0401,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
ABC0403,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
ABC201,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava"
ABC2013,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
ABI0499,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocorói"
ABL0138,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ABM0101,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Zimbros"
ABV485,Carteira 4,BA,"Itacaré, BA","Itacaré, BA, Alto da Boa vista"
ABZ302,Carteira 6,SC,"Florianópolis, SC","Florianópolis, SC, Itacorubi"
ACB0202,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus Leste"
ACB0204,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ACC519,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Trancoso"
ACE0201,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras"
ACG302,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras"
ACH014,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial DAjuda"
ACL0303,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
ACM0865,Carteira 3,GO,"Caldas Novas, GO","Caldas Novas, GO, Do Turista"
ACO803,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro"
ACS806,Carteira 3,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro"
ACT029,Carteira 1,DF,"Brasília, DF","Brasília, DF, Vila Planalto"
ADA0001,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial dAjuda"
ADC0074,Carteira 6,SP,"São Paulo, SP","São Paulo, SP, Vila Olímpia"
ADC0205,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ADC104,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ADC105,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ADC106,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ADE0001,Carteira 1,BA,"Salvador, BA","Salvador, BA, Chame-Chame"
ADE0003,Carteira 2,BA,"Salvador, BA","Salvador, BA, Chame-Chame"
ADI0302,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
ADJ205,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional"
ADM0104,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial D'Ajuda"
ADM0205,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial DAjuda"
ADP001,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Peró"
ADS0103,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Passagem"
ADV306,Carteira 2,AL,"Maceió, AL","Maceió, AL, Mangabeiras"
AFF136,Carteira 3,SC,"Penha, SC","Penha, SC, Centro"
AFR0004,Carteira 1,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial D ajuda"
AFT0210,Carteira 6,SC,"Florianópolis, SC","Florianópolis, SC, Córrego Grande"
AGA0203,Carteira 2,BA,"Camaçari, BA","Camaçari, BA, Monte Gordo"
AGA1660,Carteira 4,BA,"Camaçari, BA","Camaçari, BA, Monte Gordo"
AGL0001,Carteira 4,BA,"Ilhéus, BA","Ilhéus, BA, Ilhéus"
AGL0002,Carteira 4,BA,"Ilhéus, BA","Ilhéus, BA, Ilhéus"
AGL087,Carteira 4,BA,"Ilhéus, BA","Ilhéus, BA, Centro"
AGS0642,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro"
AHD001,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Rio Tavares"
AHG0108,Carteira 6,SP,"São Paulo, SP","São Paulo, SP, Consolação"
AHO1402,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Petrópolis"
AHRB703,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
AIA2200,Carteira 3,SC,"Barra Velha, SC","Barra Velha, SC, Barra Velha"
AIR1105,Carteira 6,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas"
AIR1407,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas"
AIR1414,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas"
AIR1507,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas"
AIR1607,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas"
ALG103,Carteira 4,BA,"Camaçari, BA","Camaçari, BA, Guarajuba"
ALI024,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ALJ011,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Paraíso dos Pataxós"
ALL103,Carteira 6,RJ,"Petrópolis, RJ","Petrópolis, RJ, Itaipava"
ALR0802,Carteira 2,BA,"Salvador, BA","Salvador, BA, Jardim Armação"
ALT0402,Carteira 4,RS,"Gramado, RS","Gramado, RS, Tres Pinheiros"
ALU0123,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Cambuci"
AMA204,Carteira 3,SC,"Itapema, SC","Itapema, SC, Meia Praia"
AMC0202,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
AMC0204,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
AMD0035,Carteira 6,SP,"Campos do Jordão, SP","Campos do Jordão, SP, J Elizabete"
AMM0903,Carteira 5,SP,"São Paulo, SP","São Paulo, SP, Indianópolis"
AMR0200,Carteira 3,SC,"Porto Belo, SC","Porto Belo, SC, Vila Nova"
AMV203,Carteira 3,SC,"Bombinhas, SC","Bombinhas, SC, Centro"
ANC462,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial DAjuda"
ANT1203,Carteira 6,SC,"Florianópolis, SC","Florianópolis, SC, Centro"
AOA0102,Carteira 4,BA,"Ilhéus, BA","Ilhéus, BA, Olivença"
AOA0201,Carteira 4,BA,"Ilhéus, BA","Ilhéus, BA, Olivença"
AOA0301,Carteira 4,BA,"Ilhéus, BA","Ilhéus, BA, Ilhéus"
AOJ0102,Carteira 3,SC,"Itapema, SC","Itapema, SC, Meia Praia"
APC0207,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Itacorubi"
APC2200,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Canto Grande"
APG1103,Carteira 2,BA,"Salvador, BA","Salvador, BA, Praia do Flamengo"
APS1005,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Sé"
ARA0832,Carteira 3,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Ariribá"
ARC003,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa da Conceição"
ARE108,Carteira 6,SC,"Florianópolis, SC","Florianópolis, SC, Pantanal"
ARE307,Carteira 6,SC,"Florianópolis, SC","Florianópolis, SC, Pantanal"
ARE308,Carteira 6,SC,"Florianópolis, SC","Florianópolis, SC, Pantanal"
ARE504,Carteira 6,SC,"Florianópolis, SC","Florianópolis, SC, Pantanal"
ARK0201,Carteira 1,DF,"Brasília, DF","Brasília, DF, Asa Sul"
ARN0104,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Quatro Ilhas"
ARR001,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Centro"
ARR003,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Centro"
ARR004,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Centro"
ARS0169,Carteira 4,BA,"Ilhéus, BA","Ilhéus, BA, Pontal"
ART003,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Paraíso dos Pataxós"
ARZ0301,Carteira 3,SC,"Bombinhas, SC","Bombinhas, SC, Bombas"
ARZ101,Carteira 3,SC,"Bombinhas, SC","Bombinhas, SC, Bombas"
ARZ102,Carteira 3,SC,"Bombinhas, SC","Bombinhas, SC, Bombas"
ARZ201,Carteira 3,SC,"Bombinhas, SC","Bombinhas, SC, Bombas"
ARZ202,Carteira 3,SC,"Bombinhas, SC","Bombinhas, SC, Bombas"
ASA0003,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Rio Tavares"
ASK0003,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Santa Mônica"
ASK001,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Santa Mônica"
ASK002,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Santa Mônica"
ASR204,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
ASR304,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
AST0103,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Taperapuan"
ATB2014,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Jardim das Acacias"
ATC0301,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ATE0302,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Leste Vila Nova"
ATL018,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Rio Tavares"
ATN025,Carteira 6,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Vista Alegre"
ATO3091,Carteira 4,RJ,"Petrópolis, RJ","Petrópolis, RJ, Centro"
ATP0001,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial D ajuda"
ATP0002,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial D Ajuda"
ATP0003,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial D Ajuda"
ATP0006,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial dAjuda"
ATP0008,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial D ajuda"
ATP0009,Carteira 3,BA,"Porto Seguro, BA","Porto Seguro, BA, Pitinga"
ATT0602,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia"
AVA404,Carteira 2,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro"
AVC414,Carteira 3,SC,"Penha, SC","Penha, SC, Praia Grande"
AVE0232,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
AVM0011,Carteira 2,BA,"Salvador, BA","Salvador, BA, Stella Maris"
AVP105,Carteira 6,RS,"Gramado, RS","Gramado, RS, Floresta"
AVR0203,Carteira 6,SC,"Penha, SC","Penha, SC, Centro"
AYA201,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê"
AYR0202,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras"
BAB0202,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
BAL0036,Carteira 5,SP,"Ubatuba, SP","Ubatuba, SP, Itaguá"
BBA001,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
BBA002,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
BBA003,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
BBA004,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
BBA005,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
BBA006,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
BBA007,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
BBA008,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
BBH1003,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, Itacolomi"
BBL0703,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
BCA0211,Carteira 2,BA,"Salvador, BA","Salvador, BA, Ondina"
BCA0601,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra"
BCA1409,Carteira 2,BA,"Salvador, BA","Salvador, BA, Ondina"
BCA1804,Carteira 2,BA,"Salvador, BA","Salvador, BA, Ondina"
BCA2004,Carteira 2,BA,"Salvador, BA","Salvador, BA, Ondina"
BCC0304,Carteira 3,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Barra Sul"
BCL0507,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Pontal"
BCL402,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Pontal"
BCS0503,Carteira 4,PE,"Recife, PE","Recife, PE, Ilha do Leite"
BCY2001,Carteira 1,DF,"Brasília, DF","Brasília, DF, Aguas Claras"
BDE0033,Carteira 5,SP,"São Paulo, SP","São Paulo, SP, Itaim Bibi"
BDJ0105,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê"
BDJ302,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê"
BDM303,Carteira 6,SC,"Florianópolis, SC","Florianópolis, SC, Carvoeira"
BDM601,Carteira 6,SC,"Florianópolis, SC","Florianópolis, SC, Carvoeira"
BDR521,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa da Conceição"
BDR522,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa da Conceição"
BDR523,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa da Conceição"
BEH1007,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno"
BEH2209,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Pedro Ludovico"
BEL0201,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê"
BEL105,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê"
BFC204,Carteira 6,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Braga"
BFC301,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Braga"
BFH0101,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Nações"
BFSR002,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê"
BFT2403,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Jardim Goiás"
BFT2905,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Jardim Goiás"
BFT3015,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Jardim Goiás"
BFT3207,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Jardim Goiás"
BGA002,Carteira 6,SC,"Florianópolis, SC","Florianópolis, SC, Coqueiros"
BGE0108,Carteira 1,BA,"Maraú, BA","Maraú, BA, Barra Grande"
BGN1203,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
BHY0614,Carteira 1,DF,"Brasília, DF","Brasília, DF, Asa Norte"
BIA035,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Indianópolis"
BIO0079,Carteira 2,BA,"Camaçari, BA","Camaçari, BA, Itacimirim"
BLA0001,Carteira 3,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera"
BLA0002,Carteira 3,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera"
BLA0003,Carteira 3,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera"
BLA0004,Carteira 3,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera"
BLB0507,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra"
BLB0407,Carteira 4,BA,"Salvador, BA","Salvador, BA, Barra"
BLB1004,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra"
BLB1206,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra"
BLB1306,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra"
BLB1502,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra"
BLF0005,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Pompeia"
BLI1801,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bela Vista"
BLI2806,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Bela Vista"
BLI2901,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno"
BLN0802,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, Perequê"
BLO2106,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Faiçalville"
BLS0354,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS0355,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS0356,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS0358,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS0656,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS0657,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS0754,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS0760,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS1251,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS1253,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS1256,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS1257,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS1354,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS1355,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS1553,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS1658,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS1755,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS1855,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS2056,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLS2254,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLSA1154,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLSA1455,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLSA1655,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLSA1656,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLSR1351,Carteira 2,GO,"Goiânia, GO","Goiânia, GO, Setor Marista"
BLT0007,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Nossa Senhora da Vitória"
BLU0206,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras"
BLV0002,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Alto do Xamagunga"
BLV0004,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Alto do Xamagunga"
BLV0005,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Taperapuan"
BLV025,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Alto do Xamagunga"
BMR0004,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Loteamento Village I"
BOU0101,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras"
BOU201,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras"
BPA0103,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Bela Vista"
BPM0807,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra"
BPM1309,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra"
BRB002,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Campeche"
BRJ143,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Centro"
BRM0403,Carteira 4,PB,"João Pessoa, PB","Cabedelo, PB, Intermares"
BRR0097,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, Perequê"
BSD1501,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Pioneiros"
BSE0206,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa Pequena"
BSL190,Carteira 6,SC,"Penha, SC","Penha, SC, Penha"
BSO0001,Carteira 1,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0102,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0103,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0104,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0101,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0201,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0105,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0106,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0107,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0202,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0203,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0204,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0205,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0206,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSO0207,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores"
BSR0203,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Nossa Senhora da Vitória"
BSS0703,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Jardim das Acácias"
BTI003,Carteira 4,SP,"Ubatuba, SP","Ubatuba, SP, Praia Grande"
BTR0302,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro"
BUZ0077,Carteira 4,BA,"Ilhéus, BA","Ilhéus, BA, São Francisco"
BVA0601,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Bela Vista"
BVA0705,Carteira 4,SP,"São Paulo, SP",Sao_Paulo-Republica
BVE101,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche"
BVT0418,Carteira 1,DF,"Brasília, DF","Brasília, DF, Lago Norte"
CAA103,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro"
CAB0204,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
CAC0006,Carteira 6,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Parque Morro Pedra do Fogo"
CAC0109,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
CAC025,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
CAC0301,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
CAC106,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
CACR302,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
CAD0202,Carteira 6,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Braga"
CAG0003,Carteira 2,BA,"Camaçari, BA","Camaçari, BA, Guarajuba"
CAH014,Carteira 4,SP,"Ubatuba, SP","Ubatuba, SP, Acaraú"
CAN0401,Carteira 3,SC,"Bombinhas, SC","Bombinhas, SC, Bombas"
BVA0303,Carteira 4,SP,"São Paulo, SP",Sao_Paulo-Republica
CAN304,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, bombas"
CAP0024,Carteira 3,BA,"Porto Seguro, BA",
CAP0302,Carteira 4,RS,"Gramado, RS","Gramado, RS, Carniel"
CAR0107,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Centro"
CAR0106,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Centro"
CAR0206,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Centro"
CAR805,Carteira 6,RS,"Porto Alegre, RS","Porto Alegre, RS, Farroupilha"
CAS0031,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Coqueiros"
CAS014,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Coqueiros"
CAS0202,Carteira 4,AL,"Maceió, AL","Maceió, AL, Ponta Verde"
CAT406,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro"
CAV0411,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem"
CAY0123,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Bombas"
CBA0902,Carteira 6,SC,"Itapema, SC","Itapema, SC, Morretes"
CBC302,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
CBD112,Carteira 1,DF,"Brasília, DF","Brasília, DF, Asa Norte"
CBE0201,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses Norte"
CBE105,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras"
CBJ3024,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
CBL307,Carteira 4,RS,"Canela, RS","Canela, RS, Vila Luiza"
CBLS0102,Carteira 1,DF,"Brasília, DF","Brasília, DF, Setor de Clubes Esportivos Sul"
CBR0502,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
CBU203,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche"
CCA201,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras"
CCB0902,Carteira 1,SC,"Itapema, SC","Itapema, SC, Morretes"
CCB103,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional"
CCI003,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
CCI105,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses Norte"
CCI210,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
