listing,group_name,num_listing_blocked,n_days_status,listing_fat,n_competitors,meta_value,year_month,to_listings,to_competitors,days_occupied,total_days
NWC1510,Curitiba-Centro-apartamento-SUP-1Q,0,19,2531.88,249,2462.32,2025-09,0.6,0.6092,18,30
OKA204,Florianopolis-Campeche-apartamento-TOP-1Q,4,1012,3225.92,27,1989.32,2025-09,0.9231,0.4778,24,30
PRB0405,Florianopolis-Jurere_Tradicional-apartamento-TOP-2Q,0,200,5378.24,15,5839.5,2025-09,0.7,0.489,21,30
PSO0708,Penha-Beto_Carrero-apartamento-SUP-1Q,0,75,2153.98,20,1865.2,2025-09,0.7,0.5162,21,30
QUI0090,Pocos_de_Caldas-Geral-apartamento-SUP-1Q,0,213,2212.91,29,1625.33,2025-09,0.5667,0.3768,17,30
SMA0107,Salvador-Pituba_Praia-apartamento-SUP-1Q,6,4,1919.73,18,2154.44,2025-09,0.5417,0.6475,13,30
TPS310,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,0,966,2911.44,17,3512.48,2025-09,0.9,0.4916,27,30
VLO0514,Florianopolis-Jurere_Longe-apartamento-TOP-2Q,0,293,2104.93,12,3584.98,2025-09,0.4,0.4404,12,30
BVA0705,Sao_Paulo-Republica-apartamento-SUP-1Q,2,326,1750.74,444,3011.48,2025-09,0.5714,0.6716,16,30
BVT0418,Brasilia-Asa_Sul-apartamento-JR-1Q,0,276,3794.83,223,2708.72,2025-09,0.9667,0.6653,29,30
CNB008,Especial-CNB-casa-TOP-1Q,1,530,10881.81,14,5600.08,2025-09,0.7241,0.6068,21,30
CRM0212,Florianopolis-Canto_da_Lagoa-apartamento-SUP-2Q,0,237,4066.98,15,3765.07,2025-09,0.6667,0.4362,20,30
ELF0408,Bombinhas-Bombas-apartamento-SUP-1Q,3,103,1794.9,20,1429.7,2025-09,0.3704,0.2367,10,30
GDI268,Florianopolis-Canasvieiras_Perto-apartamento-JR-1Q,0,747,0.0,18,911.45,2025-09,0.0,0.2937,0,30
ILC2403,Especial-ILC-hotel-JR-1Q,0,1718,6392.89,15,4134.37,2025-09,0.7667,0.5328,23,30
MOR0402,Florianopolis-Jurere_Tradicional-apartamento-TOP-3Q,9,630,5821.16,10,7816.18,2025-09,0.8571,0.3688,18,30
NOR0201,Brasilia-Asa_Norte-apartamento-JR-1Q,0,706,3639.32,154,2673.24,2025-09,0.8667,0.7119,26,30
NWT0617,Especial-NWT-apartamento-TOP-1Q,1,154,4277.78,34,4405.55,2025-09,0.7931,0.6132,23,30
RPR056,Penha-Praia-casa-JR-3Q,1,579,2626.22,23,1167.9,2025-09,0.6897,0.2881,20,30
RTS0903,Balneario_Picarras-Geral-apartamento-TOP-2Q,3,215,2685.51,30,1162.8,2025-09,0.7778,0.1828,21,30
SOV0002,Mata_de_Sao_Joao-Praia_Imbassai-casa-SUP-2Q,6,34,2580.84,10,2458.67,2025-09,0.6667,0.3158,16,30
TXP0608,Goiania-Central-apartamento-SUP-1Q,6,696,2315.37,140,2762.08,2025-09,0.7083,0.6003,17,30
VAR0302,Ilheus-Sul-apartamento-SUP-2Q,4,187,2311.22,18,2399.79,2025-09,0.6923,0.3683,18,30
VEC121,Bombinhas-Centro-apartamento-SUP-1Q,0,979,2339.69,22,1925.25,2025-09,0.9,0.4397,27,30
YOU1203,Sao_Paulo-Pinheiros-apartamento-TOP-1Q,0,349,4141.26,272,4993.26,2025-09,0.7667,0.6927,23,30
BLS1251,Goiania-Central-apartamento-SUP-1Q,2,711,2679.39,140,2762.08,2025-09,0.6786,0.6003,19,30
CMH0202,Florianopolis-Jurere_Internacional-apartamento-SUP-3Q,20,192,3100.68,18,5717.84,2025-09,0.9,0.5117,9,30
COM305,Florianopolis-Santinho-apartamento-SUP-2Q,0,1468,2242.99,12,2139.33,2025-09,0.7667,0.3225,23,30
DAL312,Canela-Geral-apartamento-TOP-1Q,2,693,2900.35,12,3250.82,2025-09,0.6786,0.3438,19,30
DLH0501,Gramado-Centro-apartamento-TOP-2Q,0,258,9397.67,58,4406.4,2025-09,0.9,0.4483,27,30
EDC402,Florianopolis-Centrao-apartamento-SUP-2Q,0,839,4025.25,40,3660.39,2025-09,0.6667,0.613,20,30
EDT0009,Porto_Seguro-Pataxos-apartamento-SUP-2Q,0,507,3342.18,18,2877.46,2025-09,0.7,0.5277,21,30
EDT0011,Porto_Seguro-Pataxos-apartamento-SUP-2Q,2,662,2175.4,18,2877.46,2025-09,0.4643,0.5277,13,30
EJO0305,Florianopolis-Centrao-apartamento-SUP-2Q,1,49,2059.07,40,3660.39,2025-09,0.4138,0.613,12,30
ETP1002,Porto_Belo-Geral-apartamento-SUP-2Q,19,262,728.95,16,1604.5,2025-09,0.4545,0.2647,5,30
MDR102,Florianopolis-Ingleses_Norte-apartamento-TOP-3Q,0,1062,5753.46,12,2907.26,2025-09,0.7333,0.438,22,30
MHF1704,Itapema-Canto_Praia-apartamento-TOP-1Q,0,413,1603.63,14,993.99,2025-09,0.4333,0.3113,13,30
NWT0312,Especial-NWT-apartamento-TOP-1Q,4,259,4662.51,34,4405.55,2025-09,0.6538,0.6132,17,30
NWT0418,Especial-NWT-apartamento-TOP-1Q,0,249,5395.29,34,4405.55,2025-09,0.7333,0.6132,22,30
NWT0503,Especial-NWT-apartamento-TOP-1Q,0,304,4424.48,34,4405.55,2025-09,0.6667,0.6132,20,30
OKA206,Florianopolis-Campeche-apartamento-TOP-1Q,1,493,3405.29,27,1989.32,2025-09,0.8276,0.4778,24,30
PGO210,Pocos_de_Caldas-Geral-apartamento-SUP-1Q,0,747,1497.76,29,1625.33,2025-09,0.4,0.3768,12,30
PSO1009,Penha-Beto_Carrero-apartamento-SUP-1Q,0,61,2525.35,20,1865.2,2025-09,0.8667,0.5162,26,30
RAN203,Florianopolis-Jurere_Tradicional-apartamento-TOP-3Q,0,1298,5027.94,10,7816.18,2025-09,0.5333,0.3688,16,30
RFA303,Porto_Alegre-Santana-apartamento-SUP-1Q,0,362,2195.97,60,2553.83,2025-09,0.7333,0.5954,22,30
RRI103,Florianopolis-Centrao-apartamento-TOP-2Q,11,700,3874.85,12,5096.79,2025-09,0.8947,0.5147,17,30
