listing,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel
MBCAR1203,259.05,273.0,2
MBH0601,129.65,109.5,2
MBI022,215.75,212.0,5
MCA0609,118.5,109.4,5
MCB0103,124.24,122.4,5
MCB0205,,250.0,5
MCB0706,122.0,122.4,5
MCB0807,124.8,122.4,5
MCB1001,128.42,123.6,5
MCB1002,127.64,122.4,5
MCB1106,139.45,122.4,5
MCD001,286.0,253.8,5
MCD002,479.67,276.0,1
MCG0006,,636.0,5
MDC0214,182.14,,0
MDC202,233.33,187.75,4
MDE0406,224.0,203.0,3
MDO201,252.76,167.0,3
MDR102,363.73,333.0,3
MDT016,,500.0,1
MER0671,637.7,,0
MFL1802,396.45,818.0,4
MGI0068,,1500.0,5
MGI024,656.52,572.0,2
MGI025,,600.0,5
MHB0302,270.1,,0
MHC0204,193.71,,0
MHE003,499.31,,0
MHE0111,234.19,250.0,1
MHE0114,431.92,,0
MHE0213,320.14,205.0,1
MHE213,345.6,280.0,1
MHF0501,159.2,150.0,2
MHF0502,,,0
MHF0508,201.8,196.0,2
MHF0509,189.29,170.0,3
MHF0601,162.1,150.0,3
MHF0607,280.0,280.0,4
MHF0703,220.0,220.0,5
MHF0704,162.56,150.0,2
MHF0801,166.76,159.0,1
MHF0802,183.85,170.0,3
MHF0805,158.63,,0
MHF0806,165.62,155.75,4
MHF0807,167.76,150.0,2
MHF0902,206.5,,0
MHF0904,163.0,,0
MHF0908,190.86,196.0,1
MHF1002,313.0,265.0,5
MHF1105,164.15,150.0,3
MHF1106,172.71,150.0,3
MHF1108,190.42,170.0,3
MHF1109,231.95,,0
MHF1201,161.14,159.0,1
MHF1202,313.0,265.0,5
MHF1203,,265.0,3
MHF1206,300.0,300.0,5
MHF1207,300.0,300.0,5
MHF1209,209.35,,0
MHF1303,174.4,159.0,3
MHF1402,185.05,170.0,1
MHF1404,200.73,159.0,2
MHF1408,220.88,178.67,3
MHF1409,202.31,170.0,3
MHF1504,171.54,,0
MHF1507,160.6,150.0,1
MHF1509,181.54,183.0,2
MHF1601,157.79,150.0,1
MHF1602,221.12,187.0,3
MHF1603,165.45,155.75,4
MHF1604,165.78,162.5,4
MHF1605,177.29,159.0,3
MHF1609,290.0,290.0,5
MHF1702,229.78,187.0,1
MHF1703,170.9,159.0,1
MHF1704,161.77,159.2,5
MHF1705,161.82,159.0,1
MHF1803,167.48,159.0,3
MHF1804,300.0,300.0,5
MHF1807,171.79,150.0,2
MHF1808,300.0,300.0,5
MHF1902,223.21,,0
MHF1903,220.0,220.0,5
MHF1907,182.5,159.0,2
MHF1908,196.64,202.5,4
MHF1909,206.5,196.0,1
MHF2001,158.0,,0
MHF2002,245.3,,0
MHF2105,200.56,159.0,3
MHF2107,,,0
MHF2109,192.52,,0
MHFA0503,126.92,126.0,3
MHFA0504,126.83,120.0,1
MHFA0506,126.88,120.0,3
MHFA0507,130.05,126.0,3
MHFA0604,127.56,120.0,2
MHFA0605,136.96,,0
MHFA0705,128.22,129.0,2
MHFA0903,134.57,120.0,2
MHFA0905,128.96,120.0,3
MHFA1204,180.0,,0
MHFA1307,142.4,,0
MHFA1607,154.17,164.0,3
MHFA2005,139.33,129.0,2
MHFA2007,288.0,288.0,5
MHFB0503,129.64,120.0,3
MHFB0504,131.58,,0
MHFB0506,140.16,,0
MHFB0507,132.5,120.0,3
MHFB0604,129.0,120.0,3
MHFB0605,130.94,124.5,4
MHFB0705,129.64,124.5,4
MHFB0903,133.35,120.0,2
MHFB0905,128.82,,0
MHFB1204,180.0,180.0,3
MHFB1307,138.26,120.0,1
MHFB1607,142.75,164.0,4
MHFB2005,137.24,,0
MHFB2007,181.25,288.0,5
MHR308,160.32,,0
MLB0402,,,0
MLN701,,,0
MLO0601,134.54,,0
MLU0306,185.0,120.0,1
MMD0305,181.09,,0
MMD0403,200.68,180.0,2
MMD0405,172.5,130.0,2
MMD0503,162.0,130.0,2
MMD0602,224.48,198.0,3
MMD0604,178.33,140.0,4
MMD0605,149.11,,0
MMP0137,191.44,180.0,2
MNDA0217,152.16,120.0,1
MOC0210,133.15,114.6,5
MOL0502,229.67,212.0,5
MON0099,127.06,115.67,3
MOP0103,218.04,,0
MOR0402,449.17,300.0,1
MOR307,181.95,170.67,3
MPA107,175.38,,0
MPB0034,189.05,140.0,2
MPK0119,176.0,179.0,1
MPL0004,215.25,179.4,5
MPL0215,199.29,222.75,4
MRD0061,203.33,166.0,4
MRD0501,355.94,,0
MRE1101,166.5,125.0,1
MRE801,178.54,169.6,5
MRN302,135.47,115.0,3
MRV0001,260.33,216.25,4
MSSO0902,216.64,176.0,2
MSSO1208,169.18,180.2,5
MSST1401,233.3,187.0,4
MTA0201,130.33,124.5,4
MTR1703,298.16,175.0,2
MTS1503,162.54,120.0,1
MUT0034,295.18,,0
MUT0036,,,0
MUT0047,262.7,,0
MUT0054,290.06,226.0,2
MUT0056,345.44,,0
MZD0308,196.86,,0
NAT0202,,312.8,5
NBL0401,135.69,136.67,3
NBL0402,140.94,134.0,5
NBL0606,150.17,136.67,3
NBL0910,146.27,134.0,5
NBL0911,143.43,134.0,5
NDE0001,168.3,,0
NDE0002,109.46,,0
NDE0003,138.0,134.4,5
NEB0103,158.37,140.0,3
NFE0708,166.5,,0
NFE1544,181.75,131.0,3
NGO0002,159.71,,0
NIK0504,189.0,165.2,5
NLUG0001,594.82,396.0,1
NLUH0008,692.06,,0
NLV0506,219.0,185.0,1
NNG0102,417.77,,0
NOA0616,187.63,,0
NOA0704,187.2,,0
NOA0705,197.94,153.0,4
NOA0919,234.75,174.4,5
NOA1014,195.25,144.0,3
NOH1302,224.28,,0
NON0609,186.62,167.0,1
NOR0101,206.64,216.0,3
NOR0102,231.76,227.8,5
NOR0201,180.19,,0
NOR0202,181.33,206.8,5
NOR0203,191.71,229.8,5
NOR0204,176.96,223.0,1
NPH0904,179.15,,0
NPZ093,269.48,,0
NRA0490,132.62,124.8,5
NRR128,165.39,124.5,4
NVI501,216.0,156.75,4
NVM0009,189.59,225.0,3
NVM0010,214.94,,0
NWC1510,209.78,131.0,2
NWT0304,298.37,280.0,3
NWT0305,285.25,280.0,2
NWT0308,352.09,,0
NWT0309,299.52,280.0,1
NWT0312,300.16,280.0,3
NWT0313,258.47,280.0,1
NWT0315,287.4,280.0,2
NWT0318,324.08,,0
NWT0319,308.68,280.0,2
NWT0323,265.8,280.0,1
NWT0404,267.89,280.0,2
NWT0412,704.0,704.0,5
NWT0417,278.52,280.0,2
NWT0418,331.73,280.0,2
NWT0419,317.48,,0
NWT0420,275.78,280.0,5
NWT0421,327.24,,0
NWT0423,271.32,280.0,4
NWT0502,305.38,280.0,3
NWT0503,300.7,280.0,4
NWT0504,288.26,280.0,2
NWT0505,295.77,280.0,4
NWT0508,288.05,,0
NWT0509,307.37,280.0,2
NWT0518,288.29,280.0,2
NWT0601,252.56,250.0,1
NWT0602,243.56,250.0,2
NWT0603,289.64,,0
NWT0604,251.79,,0
NWT0605,251.08,250.0,3
NWT0606,240.68,250.0,4
NWT0610,257.32,250.0,4
NWT0611,239.11,250.0,1
NWT0612,270.32,250.0,4
NWT0613,258.0,250.0,2
NWT0614,272.54,250.0,1
NWT0615,243.61,253.0,1
NWT0616,261.61,250.0,4
NWT0617,240.35,250.0,2
NWT0618,241.96,250.0,2
NWT0619,257.23,268.0,1
NWT0703,273.17,280.67,3
NWT0704,282.33,280.0,3
NWT0705,287.83,280.0,4
NWT0706,254.53,280.0,5
NWT0707,496.32,,0
NWT0708,378.64,400.0,3
NWT0709,449.23,,0
NWT0710,280.77,280.0,3
NWT0711,283.42,280.0,2
NWT0713,274.96,280.0,3
NWT0714,273.23,280.0,5
NWT0716,,280.0,2
NWT0802,292.14,280.0,2
NWT0803,281.96,,0
NWT0805,304.0,280.0,2
NWT0807,309.89,280.0,2
NWT0811,487.04,,0
NWT0812,301.79,280.0,5
NWT0813,281.04,282.0,3
NWT0814,322.26,280.0,5
NWT0815,263.88,280.0,5
NWT0816,274.59,280.0,5
NWT0817,269.33,280.0,2
NWT0901,400.0,400.0,5
NWT0902,265.0,250.0,3
NWT0903,244.63,250.0,1
NWT0904,273.5,250.0,2
NWT0905,229.33,250.0,5
NWT0906,313.96,250.0,3
NWT0907,252.23,250.0,4
NWT0908,275.26,250.0,1
NWT0909,269.61,,0
NWT0910,559.33,600.0,2
NWT0911,517.89,600.0,1
NWT0912,280.08,250.0,1
NWT0913,262.7,250.0,2
NWT0914,280.11,282.0,2
NWT0915,237.23,250.0,4
NWT0916,253.27,,0
NWT0917,252.26,250.0,2
NWT0918,260.23,290.25,4
NWT0919,254.04,250.0,2
NWT0920,274.26,,0
NWT0921,280.14,,0
NWT0922,265.23,,0
NWT0923,269.5,,0
NWT0924,361.54,400.0,5
NWT1001,288.91,281.33,3
NWT1002,269.16,280.0,2
NWT1003,282.67,282.0,3
NWT1004,279.35,280.0,3
NWT1005,275.14,280.0,1
NWT1006,266.48,280.0,2
NWT1007,270.64,280.0,1
NWT1008,306.54,295.2,5
NWT1009,314.71,282.0,3
NWT1010,447.79,400.0,2
NWT1011,442.52,437.33,3
NWT1012,331.61,280.0,2
NWT1013,373.92,280.0,2
NWT1019,297.54,282.0,2
NWT1020,266.94,280.0,5
NWT1021,262.53,295.2,5
NWT1022,260.57,280.0,3
NWT1023,296.67,,0
NWT1024,328.77,280.0,1
NWT1103,282.77,,0
NWT1113,315.22,280.0,3
NWT1115,311.72,,0
NWT1123,268.75,280.0,5
NWT1203,310.45,290.25,4
NWT1213,286.3,280.0,4
NWT1214,269.37,,0
NWT1217,298.62,280.0,4
NWT1218,631.0,631.0,5
NWT1222,363.08,282.0,2
NWT1223,354.25,295.2,5
NWT1302,297.63,282.0,1
NWT1303,313.0,,0
NWT1304,303.7,280.0,2
NWT1306,287.66,,0
NWT1307,284.58,,0
NWT1308,301.72,290.25,4
NWT1309,343.38,280.0,1
NWT1313,299.57,280.0,1
NWT1316,347.0,,0
NWT1320,296.53,,0
NWT1322,326.9,,0
NWT1323,267.04,290.25,4
NWT1324,350.48,280.0,1
NWT1404,303.0,280.0,1
NWT1407,279.9,280.0,1
NWT1414,310.14,295.2,5
NWT1418,369.78,304.0,3
NWT1419,314.46,,0
NWT1421,288.09,280.0,3
NWT1423,299.12,280.0,2
NWT1502,366.5,,0
NWT1503,338.04,280.0,2
NWTA0607,458.36,400.0,1
NWTA0608,372.83,400.0,1
NWTA0609,409.35,400.0,1
NWTB0607,399.04,400.0,2
NWTB0608,391.05,400.0,2
NWTB0609,381.7,400.0,1
NXO0404,221.57,,0
NXO0603,328.11,177.0,3
NXO2104,273.8,177.0,3
OAG0505,254.1,203.5,2
OAG0507,262.5,230.0,3
OAG0820,330.3,241.33,3
OBD2108,229.35,231.0,5
OBP0201,252.25,207.5,4
OBP0301,329.33,230.0,1
OBP0303,273.04,200.0,1
OBP0305,210.47,,0
OBP0602,214.5,176.0,3
OBS0101,136.0,105.0,3
OBS0201,111.87,109.4,5
OBS0301,133.22,120.0,3
OCB0204,209.87,234.0,1
OCB0901,239.54,,0
ODE1710,169.25,,0
ODM1203,,168.6,5
OGD0401,167.15,130.0,1
OGD0704,242.71,,0
OKA0135,152.0,124.0,3
OKA0221,157.22,151.0,2
OKA101,140.71,120.0,1
OKA102,160.0,159.25,4
OKA105,156.88,150.0,4
OKA110,149.96,137.0,2
OKA111,137.43,138.0,1
OKA120,153.39,151.0,3
OKA124,152.9,120.0,1
OKA128,189.83,,0
OKA131,162.0,121.0,1
OKA134,146.58,,0
OKA139,148.56,151.0,3
OKA142,189.05,151.0,1
OKA204,170.83,,0
OKA206,188.21,,0
OKA213,151.23,,0
OKA216,190.6,181.0,2
OKA224,163.78,121.0,1
OKA233,163.39,178.0,2
OLN1702,200.95,165.75,4
OMC1303,115.24,105.0,3
ONE0404,159.93,,0
ONE0405,150.91,130.0,1
ONE0407,154.47,,0
ONJ2612,218.94,,0
ONJ2712,200.3,160.25,4
ONP0920,172.21,158.0,2
ONP1701,182.9,170.0,3
ONP1716,196.88,165.2,5
ONP2021,196.25,164.0,3
ONX0908,170.78,,0
ONX1005,160.88,,0
ONX1410,158.73,,0
ONX1411,170.44,162.0,2
OPR0303,137.66,,0
OPT504,120.41,104.0,1
OPX0194,,,0
ORN0101,142.52,140.0,4
OSH,259.47,230.0,3
PAD0103,218.79,,0
PAI0303,151.57,,0
PAN0301,223.86,218.5,4
PAR0001,333.13,253.0,2
PAR0002,264.12,244.0,2
PAR0003,269.09,,0
PBR0003,357.44,,0
PDA0010,291.14,234.0,2
PDA0736,,424.0,5
PDAA0611,455.0,455.0,2
PDC001,118.0,,0
PDC301,120.69,114.25,4
PDG0202,154.75,148.4,5
PDL005,148.18,191.0,5
PDM0002,173.86,215.8,5
PDM005,195.25,203.0,3
PDM0208,270.83,,0
PDN0113,209.63,130.0,3
PDP0301,154.27,131.33,3
PDP904,350.0,350.0,3
PDU0033,180.0,180.0,5
PEA1301,232.36,224.4,5
PEM1301,110.06,,0
PET0008,263.82,409.0,5
PET0011,364.0,364.0,1
PEV025,279.11,220.0,1
PFN0007,157.33,191.0,5
PGL0301,275.0,,0
PGO0205,159.18,121.0,3
PGO0406,167.27,120.0,3
PGO209,155.69,121.0,2
PGO210,165.75,,0
PGO301,124.22,90.0,1
PGO309,167.7,120.0,2
PGO310,158.3,148.0,3
PGO402,184.58,135.0,3
PGO412,173.95,148.0,3
PGR1101,280.0,280.0,5
PHA0023,161.83,184.0,3
PIC0125,123.09,,0
PIR0014,158.18,,0
PKS0115,167.35,158.0,3
PKS0205,174.48,160.0,2
PLA0408,131.11,130.0,5
PLG0012,158.24,,0
PLN0415,147.5,150.0,4
PLO0004,,,0
PMC0400,220.76,200.0,2
PMN0901,351.0,351.0,3
PMO0404,280.0,280.0,1
PNA0402,204.48,184.0,1
PNJ0203,179.42,180.0,1
PNM0202,196.47,185.25,4
POL406,247.45,172.0,2
POR0017,178.45,215.2,5
POR0101,276.89,250.0,2
POR204,312.65,,0
POR410,347.6,250.0,1
POS0205,106.71,108.0,3
POSA303,,,0
POSC0311,144.68,148.6,5
PPB0603,255.95,219.0,1
PPB1206,251.33,219.0,1
PPE0302,202.88,180.5,2
PRA0304,,528.0,5
PRB0405,371.38,243.0,2
PRJ001,90.0,90.0,5
PRJ002,,90.0,5
PRJ003,94.0,90.0,5
PRJ004,90.9,90.0,5
PRJ025,,90.0,5
PRM007,207.5,179.0,2
PRN0001,93.65,,0
PRN0002,94.2,90.0,3
PRN0003,146.5,110.0,1
PRV0404,176.87,115.5,2
PRV1003,166.88,168.5,4
PRY0002,,,0
PRY0003,,,0
PSD101,110.44,114.0,3
PSD102,108.9,113.6,5
PSD103,104.0,116.0,3
PSD201,172.8,103.0,1
PSD202,102.0,,0
PSD204,97.77,,0
PSD205,105.52,104.0,1
PSD206,110.14,114.5,4
PSD301,124.67,106.5,2
PSJ0304,180.5,,0
PSMC003,319.13,333.0,5
PSN001,,,0
PSO0302,132.85,115.0,3
PSO0304,139.79,115.0,1
PSO0305,144.05,115.0,3
PSO0306,142.47,140.0,5
PSO0309,129.11,122.2,5
PSO0310,125.32,119.5,4
PSO0401,154.0,,0
PSO0411,151.79,,0
PSO0501,154.97,,0
PSO0503,132.5,,0
PSO0504,130.81,,0
PSO0505,128.59,115.0,1
PSO0509,144.05,115.0,3
PSO0601,136.21,,0
PSO0603,146.04,,0
PSO0604,136.11,,0
PSO0606,121.5,115.0,2
PSO0610,128.24,115.0,3
PSO0703,156.76,115.0,1
PSO0704,144.92,115.0,2
PSO0705,138.15,115.0,3
PSO0708,132.76,115.0,3
PSO0709,146.81,133.0,1
PSO0801,142.83,,0
PSO0802,132.54,133.0,1
PSO0808,135.42,119.5,4
PSO0809,133.3,115.0,2
PSO0902,149.38,,0
PSO0903,131.27,124.0,2
PSO0904,164.45,115.0,1
PSO0905,126.81,115.0,2
PSO0906,138.52,121.0,3
PSO0908,123.0,124.0,2
PSO0909,165.0,151.0,3
PSO0910,121.6,115.0,2
PSO1003,153.79,,0
PSO1004,141.46,,0
PSO1005,142.53,115.0,3
PSO1006,131.36,133.0,1
PSO1009,124.58,115.0,1
PSOA0407,123.55,122.2,5
PSOA0512,124.24,115.0,3
PSOA0607,142.06,115.0,1
PSOA0707,124.89,124.0,2
PSOA0807,138.14,115.0,3
PSOA0912,122.39,115.0,2
PSOA1007,131.83,115.0,2
PSOA1101,144.0,115.0,2
PSOA1102,123.0,124.0,4
PSOA1103,137.91,115.0,3
PSOB0407,130.23,,0
PSOB0512,140.2,,0
PSOB0607,142.89,121.0,3
PSOB0707,133.68,124.0,2
PSOB0807,122.61,115.0,2
PSOB0912,129.67,115.0,2
PSOB1007,139.0,122.2,5
PSOB1101,132.64,115.0,2
PSOB1102,121.0,115.0,3
PSOB1103,140.05,115.0,1
PST1409,173.2,167.0,3
PSV000,,,0
PTA0104,134.11,127.2,5
PTB0105,145.25,115.0,2
PTG0030,906.5,800.0,5
PTJ203,308.55,270.0,3
PTR0003,248.0,231.6,5
PTR0012,167.6,195.0,2
PTS0101,158.0,182.0,3
PTZ0166,129.11,127.2,5
PUQ0208,184.65,183.6,5
PVE0302,131.61,122.0,4
PVG0501,180.05,,0
PZD0403,203.0,140.0,2
PZO0905,200.71,190.8,5
PZO0907,217.78,130.0,3
QLR0004,220.0,,0
QSA1405,260.69,229.0,1
QSPB005,324.5,180.0,3
QTIB0301,134.17,130.6,5
QUI0090,159.82,176.0,1
QUI0225,196.36,180.0,3
RAA0301,178.8,,0
RAE0126,130.88,,0
RAG0406,119.35,110.0,2
RAH1019,125.23,,0
RAK0331,230.29,203.0,2
RAL0303,138.61,140.0,3
RAL203,123.89,,0
RAL204,129.57,138.0,3
RAN203,387.25,,0
RAO1520,248.96,,0
RAP0306,149.95,120.0,1
RAP308,183.96,198.0,3
RAS175,454.0,276.0,1
RAT001,316.17,195.0,3
RBA201,109.8,,0
RBE0031,237.18,,0
RBF142,126.04,110.0,1
RBH806,168.88,,0
RBM207,400.0,400.0,5
RBN1104,223.76,200.0,3
RBR0003,144.0,160.2,5
RCA264,1471.42,600.0,2
RCB405,152.4,120.0,2
RCF160,287.78,,0
RCI0201,135.0,141.8,5
RCP202,149.6,195.4,5
RCS701,208.4,155.0,2
RCX1105,205.79,185.0,2
RCX1807,227.5,250.0,2
RDD657,310.65,,0
RDK0801,260.86,802.0,3
RDM0101,134.68,,0
RDO0025,147.86,,0
RDS001,258.8,162.0,1
RDS002,217.22,150.67,3
RDS003,216.69,100.0,3
RDT0124,874.5,851.0,1
RDT1004,135.0,140.0,2
REALOCAÇÃO,,,0
REALOCAÇÃO4,,,0
REALOCAÇÃO5,,,0
REALOCAÇÃO6,,,1
REH0203,183.59,194.0,2
REI0206,132.5,216.0,3
REK0001,122.08,110.0,1
REK0002,113.0,104.4,5
RES201,196.0,196.0,5
RFA303,130.82,130.0,1
RFE000,800.0,800.0,1
RFL203,148.84,148.0,3
RFM0001,148.89,149.0,1
RFM0005,154.18,306.0,3
RFM0007,153.96,167.0,2
RFM0012,152.65,,0
RFM0017,170.13,154.8,5
RFM0019,,250.0,5
RFM0021,167.29,167.0,2
RFM0023,211.11,249.4,5
RFM0024,156.72,154.8,5
RFM0025,216.71,267.0,4
RFM0027,151.82,150.0,3
RFM0035,175.84,164.0,2
RFM0039,150.31,234.0,3
RFMB0011,143.5,149.0,1
RFO0102,137.78,120.0,1
RFS205,148.83,153.0,3
RFT505,146.28,,0
RFY0025,188.29,,0
RGB001,390.0,390.0,4
RGB002,390.0,390.0,4
RGB003,,390.0,4
RGB004,,390.0,4
RGF0410,166.0,162.0,2
RGF0711,174.33,,0
RGF1201,178.46,174.0,3
RGF1211,164.89,,0
RGF1406,168.61,162.0,2
RGL0304,414.44,350.0,1
RGN0203,149.88,130.0,1
RGO0502,128.11,,0
RGO702,131.17,120.0,3
RGOA701,126.0,,0
RGOB701,174.69,,0
RGOR0025,109.05,105.0,3
RGP0107,126.0,117.0,2
RGP208,145.06,138.0,2
RGP302,188.63,198.0,3
RGV115,145.56,115.0,3
RHE101,97.71,,0
RHE201,119.37,,0
RHI206,119.62,,0
RHL0302,250.42,200.0,2
RHL0305,219.44,200.0,2
RIB0201,118.89,100.0,1
RID3106,127.32,127.0,1
RIE0315,190.87,175.0,2
RIG0102,479.0,,0
RIS845,322.29,160.0,2
RIT0201,541.41,,0
RIT206,550.0,345.0,1
RIV101,326.46,,0
RJE0980,389.67,,0
RJF001,585.0,,0
RJF002,578.0,500.0,3
RJF006,,552.0,5
RJH0101,255.85,250.0,1
RJI0046,159.76,134.0,1
RJI011,149.75,144.0,4
RJI022,143.73,134.0,2
RJT0104,132.45,126.0,3
RJU8301,115.53,128.33,3
RLA0201,307.35,180.0,3
RLI0101,146.0,,0
RLN0104,190.8,175.0,3
RLN0105,161.0,,0
RLN204,197.0,184.0,3
RLU0302,422.67,302.0,3
RLV0206,285.6,,0
RLZ0301,,221.0,1
RMA101,135.88,111.0,2
RMC203,123.55,,0
RME047,182.67,156.8,5
RMH1511,202.63,162.0,3
RMI0007,149.59,140.0,1
RMI201,165.8,145.4,5
RML605,265.64,228.0,2
RMM0318,132.47,119.0,2
RMO0602,168.31,,0
RNA0303,308.55,234.0,1
RNC0202,129.25,132.0,3
RNE0301,199.57,155.0,3
ROB203,,528.0,5
ROE210,200.68,,0
ROI009,597.42,1000.0,2
ROR0001,135.62,,0
ROR0002,117.58,,0
ROT1001,127.7,120.0,2
ROY0401,230.0,212.0,3
RPB037,149.94,114.0,1
RPB038,246.52,,0
RPC0305,160.95,133.0,2
RPC301,155.42,144.0,1
RPF0605,197.48,170.0,2
RPN0101,212.85,,0
RPP0678,152.68,133.0,1
RPR056,168.2,,0
RPS0460,219.07,211.5,4
RPV0308,146.64,118.5,2
RPV102,179.29,171.2,5
RRA0103,341.43,318.0,5
RRA0205,149.45,,0
RRB0202,158.8,140.75,4
RRC0206,125.33,120.0,3
RRC0207,138.0,127.2,5
RRF2562,230.27,,0
RRI103,282.82,252.0,1
RRT0098,126.0,103.75,4
RSA025,116.85,119.0,1
RSC0102,117.37,,0
RSJ0202,,160.0,5
RSL0502,196.82,180.0,1
RSM0023,272.3,200.0,3
RSM0024,,,0
RSM0029,,,0
RSN301,125.37,124.5,4
RSR0614,231.71,,0
RSR0812,243.32,,0
RST0206,245.62,,0
RSU3842,163.86,140.0,1
RTA042,162.91,125.0,1
RTBA1361,165.14,,0
RTBB1361,99.0,117.4,5
RTG101,206.19,207.75,4
RTG208,176.84,182.0,3
RTL0302,158.8,,0
RTO0502,222.75,150.0,2
RTQ0009,233.33,401.0,5
RTS0503,158.57,140.0,2
RTS0903,158.81,140.0,1
RTT1905,253.67,,0
RUA0226,159.75,140.0,1
RUC0001,102.62,90.0,2
RUC0002,95.93,95.6,5
RUC0003,95.54,104.0,2
RUD0047,618.67,,0
RUL0035,267.73,246.0,5
RUP0101,132.88,126.0,3
RUP0203,127.68,132.0,3
RUP0603,128.25,133.2,5
RUP0804,141.28,,0
RUP0805,149.0,126.0,3
RUP1005,140.96,130.5,4
RUP1405,132.91,133.0,1
RVC0703,270.25,240.0,2
RVG0207,229.29,200.0,2
RVG101,229.53,,0
RVG208,183.4,180.25,4
RVL118,103.67,97.0,2
RVL1183,95.46,90.0,2
RVM0203,226.77,242.0,3
RVN2003,153.0,130.0,2
RVO401,685.18,591.0,1
RVP0502,123.57,115.2,5
RVR0506,172.12,161.0,2
SAT0012,298.79,234.0,2
SBA0401,157.73,138.0,5
SBG003,130.5,122.0,2
SBN0705,145.83,145.25,4
SCE114,218.75,,0
SCO0003,103.28,116.0,2
SCO0004,124.0,114.8,5
SCO0005,149.15,,0
SCO0008,127.77,138.0,1
SCO0009,110.35,127.4,5
SCO0011,104.45,114.8,5
SCO0012,125.24,,0
SCO0014,141.1,,0
SCO0015,,127.4,5
SCO0016,135.0,123.0,2
SDA311,194.14,162.5,4
SDN042,243.53,210.0,1
SDO206,224.29,180.0,2
SDP0206,286.64,161.0,1
SDR0003,141.0,131.0,2
SDR001,135.83,144.0,3
SDR002,130.45,144.0,1
SDR005,118.0,138.2,5
SDR006,116.0,131.0,1
SDR007,114.28,115.6,5
SDR008,115.0,118.0,2
SDR009,128.0,118.0,3
SDR010,,,0
SDS104,220.83,167.0,3
SEM501,159.35,167.0,1
SEO0702,330.54,,0
SFR0302,102.36,110.0,2
SGA202,184.07,,0
SGS0106,151.26,136.67,3
SHA0104,112.67,,0
SHC0506,212.83,,0
SHC0606,187.27,165.0,3
SHC0703,223.25,140.0,3
SHC0801,211.23,1094.0,1
SHC0905,241.33,165.0,2
SHC1103,200.96,161.0,1
SHC1106,300.0,300.0,5
SHL0105,174.27,179.6,5
SHR103,254.39,,0
SHR5231,337.1,,0
SHT1701,152.04,122.0,1
SID0209,127.6,116.8,5
SIP0709,190.0,190.0,3
SIR0501,139.35,,0
SIS0005,115.67,116.5,4
SJE0103,105.63,,0
SJS0001,95.89,90.0,3
SJS0002,96.07,90.0,2
SJS0003,96.93,100.8,5
SJS0004,98.45,100.8,5
SKC0414,234.0,,0
SKL0507,236.5,180.0,2
SKL0905,174.63,180.4,5
SKL1204,,180.4,5
SKL1307,279.4,180.0,1
SKL1604,206.38,,0
SLC0101,80.0,80.0,5
SLC0102,81.5,80.0,5
SLC0103,,80.0,5
SLC0104,87.23,,0
SLC0201,80.0,80.0,5
SLC0202,84.16,80.0,2
SLC0203,83.3,80.0,1
SLC0204,80.58,80.0,4
SLI0703,,159.2,5
SLI0704,177.6,130.0,2
SLI0715,286.04,193.5,2
SLV0011,147.82,131.0,3
SMA0107,178.77,165.0,1
SMA0916,174.79,183.33,3
SMB0307,124.3,,0
SMO0202,123.43,120.0,1
SMT0505,226.86,,0
SMT0529,168.59,164.0,1
SMT0713,173.0,169.0,1
SMT0805,233.3,,0
SMT0930,166.44,169.0,1
SMT0931,187.58,227.0,3
SMT1029,229.67,,0
SMZ407,243.42,230.0,2
SOA0107,138.0,118.0,2
SOA0111,211.08,,0
SOA0205,161.75,153.0,2
SOA0301,220.0,184.0,2
SOA0406,137.29,131.0,1
SOA0506,135.17,131.0,1
SOA0510,164.1,227.0,5
SOA0602,192.27,173.0,2
SOA0608,177.28,174.0,2
SOA0610,189.67,205.0,1
SOA0705,137.42,,0
SOA0907,136.23,169.0,4
SOA0908,183.35,227.0,2
SOA0909,232.22,173.0,1
SOA0910,186.88,227.0,2
SOA0912,231.07,,0
SOH1102,202.22,160.0,3
SOL0404,163.48,162.0,4
SOT0202,169.08,195.75,4
SOT0203,177.95,184.0,4
SOT0303,174.26,,0
SOV0002,211.25,,0
SOV0005,214.25,,0
SOV0103,211.25,200.0,1
SPA309,166.32,173.0,5
SPB0502,312.89,250.0,1
SPB0605,293.96,,0
SPI0811,312.76,200.0,1
SPJ0101,186.27,130.0,2
SPJ0102,186.0,130.0,2
SPJ0104,210.33,130.0,3
SPJ0105,186.46,,0
SPJ0106,229.46,149.0,2
SPJ0201,180.63,130.0,1
SPJ0202,187.14,130.0,3
SPJ0203,160.87,130.0,1
SPJ0204,184.96,,0
SPJ0205,168.18,130.0,1
SPJ0301,173.79,,0
SPJ0302,169.22,,0
SPJ0303,176.5,130.0,1
SPJ0304,184.62,149.0,1
SPJ0305,174.14,135.0,3
SPJ0401,167.26,130.0,1
SPJ0402,165.24,132.0,2
SPJ0403,177.52,,0
SPJ0404,159.32,175.0,1
SPJ0405,193.04,130.0,1
SPJ0501,185.46,135.0,3
SPJ0502,179.48,,0
SPJ0503,157.26,,0
SPJ0504,181.36,,0
SPJ0505,195.79,,0
SPL0342,335.0,335.0,5
SPT0006,103.67,100.0,5
SPT0101,100.0,100.0,5
SPT0102,100.71,100.0,5
