listing,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel
CEP093,277.0,,0
CET1604,283.7,,0
CET1702,428.25,,0
CET603,264.68,,0
CET802,214.83,,0
CEV1106,114.83,,0
CEV1206,110.0,,0
CEV2304,120.57,,0
CFA0508,105.4,94.67,3
CFR0209,176.79,140.0,2
CGB0035,193.35,149.0,1
CGF135,177.05,149.0,3
CGR209,115.7,110.0,3
CGS0002,296.3,,0
CHE0401,781.0,781.0,1
CHR025,177.25,171.0,2
CIA2313,357.53,361.5,2
CIE0101,111.96,,0
CIE0202,121.69,,0
CII0601,152.45,129.75,4
CII0602,150.36,125.0,3
CLE1202,226.68,175.0,1
CLE1203,183.54,134.5,2
CLG0408,167.0,157.67,3
CLR0211,212.08,194.0,2
CLR314,235.39,205.0,1
CMC101,144.43,137.0,3
CME0107,229.33,150.0,2
CMH0202,491.78,220.0,1
CMI0301,135.71,144.0,5
CMP0002,105.48,117.0,1
CMR204,190.6,164.75,4
CMT0404,249.5,221.0,3
CMV004,669.37,,0
CNA001,791.53,630.0,3
CNA002,752.83,630.0,2
CNA003,744.45,630.0,3
CNA004,739.8,630.0,3
CNA005,750.88,630.0,3
CNA006,800.89,570.0,1
CNA007,911.06,,0
CNA008,874.71,675.0,3
CNA009,700.5,574.0,2
CNA010,736.7,713.0,1
CNA011,718.18,,0
CNA012,733.7,494.0,1
CNA013,760.72,498.0,2
CNA014,689.2,494.0,1
CNA015,710.74,494.0,1
CNB001,725.74,414.0,3
CNB002,667.7,400.0,2
CNB003,650.05,400.0,1
CNB004,764.38,414.0,3
CNB005,663.0,456.0,3
CNB006,843.67,414.0,3
CNB007,840.89,414.0,3
CNB008,672.9,,0
CNB009,710.91,456.0,3
CNB010,812.75,400.0,3
CNB011,823.85,414.0,2
CNB012,689.81,414.0,3
CNB013,827.92,414.0,2
CND0204,,244.2,5
CNT303,185.17,153.0,1
CNU202,147.0,137.0,3
COA0314,235.04,200.0,1
COE0406,271.0,240.5,4
COI0408,160.25,167.0,1
COI203,,,0
COI302,143.85,142.0,2
COL102,146.67,,0
COM305,132.52,124.5,4
CON0101,390.0,390.0,5
CON1206,153.04,144.0,2
CON1506,151.63,149.6,5
CON408,154.04,147.5,4
COS302,279.12,,0
COT0081,224.47,,0
