listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,atingimento_meta,grupo_criticidade,data_atualizacao
CNA012,Especial-CNA-casa-MASTER-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",3,955,12690.18,25,9346.12,2025-09,0.8519,0.5516,23,30,769.44,623.93,14,1.36,ok,2025-09-25
CSP0407,Sao_Paulo-Bela_Vista-apartamento-TOP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Bela Vista",3,252,5585.36,214,4116.85,2025-09,0.7037,0.7015,19,30,316.0,299.32,19,1.36,ok,2025-09-25
DAL207,Canela-Geral-apartamento-SUP-2Q,Carteira 4,RS,"Canela, RS","Canela, RS, São José",0,159,3120.86,16,2536.4,2025-09,0.6667,0.3413,20,30,243.8,199.76,17,1.23,ok,2025-09-25
DMS0107,Gramado-Centro-apartamento-TOP-2Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Bairro Belverede",3,102,1636.98,57,4304.82,2025-09,0.1111,0.4513,3,30,800.0,800.0,23,0.38,crítico,2025-09-25
ELF0503,Bombinhas-Bombas-apartamento-SUP-1Q,Especial,SC,"Bombinhas, SC","Bombinhas, SC, José Amândio",0,117,2402.6,22,1500.51,2025-09,0.5333,0.2446,16,30,,235.86,29,1.6,ok,2025-09-25
IAA1002,Recife-Boa_Viagem-apartamento-TOP-1Q,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem",0,537,4152.05,52,4952.87,2025-09,0.8667,0.7607,26,30,241.2,230.13,16,0.84,berlinda,2025-09-25
IER0305,Salvador-Ondina_Rio_Vermelho-apartamento-JR-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Ondina",0,7,2422.12,58,2360.13,2025-09,0.6667,0.6885,20,30,138.83,136.0,19,1.03,berlinda,2025-09-25
IFT1802,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,311,2642.68,23,1980.56,2025-09,0.9333,0.4156,28,30,176.58,167.4,10,1.33,ok,2025-09-25
MGI024,Porto_Seguro-Pitinga-casa-TOP-3Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial D'Ajuda",5,675,12094.85,8,2596.63,2025-09,0.84,0.2222,21,30,915.92,634.42,12,4.66,meta_subestimada,2025-09-25
MHF1807,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,258,1952.82,9,1154.3,2025-09,0.5333,0.3307,16,30,174.08,179.93,14,1.69,ok,2025-09-25
NDE0003,Florianopolis-Campeche-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ribeirão da Ilha",0,145,2435.79,22,1531.56,2025-09,0.7667,0.4539,23,30,163.57,179.52,23,1.59,ok,2025-09-25
NWT1008,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,137,6705.58,33,4282.3,2025-09,0.8667,0.6542,26,30,330.63,286.8,15,1.57,ok,2025-09-25
NWT1113,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,227,4340.51,33,4282.3,2025-09,0.6333,0.6542,19,30,334.65,324.0,4,1.01,berlinda,2025-09-25
NWT1419,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,248,6669.74,33,4282.3,2025-09,0.9655,0.6542,28,30,472.69,315.28,18,1.56,ok,2025-09-25
OBS0201,Itapema-Meia_Praia-Sul-apartamento-JR-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Itapema",0,90,1881.16,12,1512.15,2025-09,0.7,0.4507,21,30,131.59,131.11,9,1.24,ok,2025-09-25
OKA105,Florianopolis-Campeche-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,980,1926.71,22,1531.56,2025-09,0.5333,0.4539,16,30,180.68,235.2,5,1.26,ok,2025-09-25
PRA0304,Florianopolis-Ingleses_Norte-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,658,0.0,16,2915.28,2025-09,0.0,0.464,0,30,370.0,528.0,23,0.0,crítico,2025-09-25
RLU0302,Gramado-Carniel-apartamento-TOP-3Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Jardim Bela Vista",5,46,6295.41,15,6308.7,2025-09,0.84,0.393,21,30,454.4,428.13,16,1.0,berlinda,2025-09-25
SOA0205,Salvador-Boca_do_Rio-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Boca do Rio",8,318,2489.16,23,2242.37,2025-09,0.9091,0.6421,20,30,176.33,124.06,16,1.11,ok,2025-09-25
TCO0712,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",1,494,2643.3,75,2131.42,2025-09,0.931,0.6172,27,30,138.57,122.45,22,1.24,ok,2025-09-25
TPS209,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,936,2221.28,20,2397.6,2025-09,0.5667,0.5347,17,30,162.13,163.33,6,0.93,berlinda,2025-09-25
VEC213,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,976,2136.69,24,1842.16,2025-09,0.9333,0.4307,28,30,184.62,153.25,4,1.16,ok,2025-09-25
VLE005,Bombinhas-Mariscal-apartamento-JR-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Mariscal",0,1433,560.67,24,1614.62,2025-09,0.1,0.3106,3,30,198.0,198.0,27,0.35,crítico,2025-09-25
VRA404,Florianopolis-Centrao-apartamento-SUP-3Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,399,4544.97,22,5385.11,2025-09,0.7,0.6007,21,30,415.12,325.5,14,0.84,berlinda,2025-09-25
BLS1354,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista",4,143,2835.55,143,2973.3,2025-09,0.7692,0.6535,20,30,191.6,224.48,21,0.95,berlinda,2025-09-25
CAR0206,Itajai-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Centro",0,102,2688.22,24,2112.93,2025-09,0.8333,0.5982,25,30,125.71,142.46,24,1.27,ok,2025-09-25
CEG0202,Florianopolis-Jurere_Longe-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",12,462,1917.89,17,2758.25,2025-09,0.8889,0.5659,16,30,151.63,143.89,9,0.7,atenção,2025-09-25
DNL0602,Itapema-Meia_Praia-Norte-apartamento-MASTER-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",30,270,0.0,12,3604.27,2025-09,,0.3943,0,30,339.64,322.55,11,0.0,crítico,2025-09-25
ILC3413,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1910,6535.34,17,5034.14,2025-09,0.9,0.5746,27,30,382.94,375.09,11,1.3,ok,2025-09-25
JBA202,Florianopolis-Jurere_Tradicional-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1910,2200.89,14,2200.44,2025-09,0.6333,0.3981,19,30,161.0,178.11,18,1.0,berlinda,2025-09-25
LHG1603,Goiania-Central-2-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Oeste",0,311,2735.5,38,3313.92,2025-09,0.8,0.5596,24,30,241.9,159.31,16,0.83,berlinda,2025-09-25
NWT1316,Especial-NWT-apartamento-MASTER-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,307,6390.52,24,6319.25,2025-09,0.8,0.7645,24,30,435.68,416.67,9,1.01,berlinda,2025-09-25
OSH,Florianopolis-Jurere_Internacional-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,222,4141.4,16,5717.84,2025-09,0.6333,0.533,19,30,323.71,300.81,16,0.72,atenção,2025-09-25
RAH1019,Florianopolis-Centrao-apartamento-JR-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,186,2476.97,67,2541.64,2025-09,0.8667,0.621,26,30,144.21,154.33,12,0.97,berlinda,2025-09-25
SOT0303,Florianopolis-Jurere_Tradicional-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,202,3077.48,17,3641.82,2025-09,0.7667,0.4566,23,30,229.33,222.91,11,0.85,berlinda,2025-09-25
TCO1117,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",2,369,2713.28,75,2131.42,2025-09,0.9643,0.6172,27,30,145.86,126.69,16,1.27,ok,2025-09-25
TXP0609,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",2,700,2935.72,143,2973.3,2025-09,0.8214,0.6535,23,30,152.4,196.85,26,0.99,berlinda,2025-09-25
UPS1002,Porto_Belo-Geral-apartamento-SUP-3Q,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, Perequê",0,38,1929.69,22,2379.6,2025-09,0.4,0.3505,12,30,210.0,176.57,23,0.81,berlinda,2025-09-25
VTD0302,Florianopolis-UFSC-apartamento-SUP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Trindade",2,76,2520.01,39,2601.66,2025-09,0.5357,0.6281,15,30,192.29,350.0,14,0.97,berlinda,2025-09-25
BLB0507,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",2,11,3424.11,203,2862.8,2025-09,0.9643,0.5837,27,30,185.53,179.36,14,1.2,ok,2025-09-25
DAL221,Canela-Geral-apartamento-SUP-2Q,Carteira 4,RS,"Canela, RS","Canela, RS, São José",0,108,3309.25,16,2536.4,2025-09,0.7667,0.3413,23,30,257.5,205.0,15,1.3,ok,2025-09-25
EATNR0205,Sao_Paulo-Bela_Vista-apartamento-TOP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Bela Vista",0,111,3587.85,214,4116.85,2025-09,0.5333,0.7015,16,30,258.5,251.88,26,0.87,berlinda,2025-09-25
MHF1105,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",4,418,2537.48,9,1154.3,2025-09,0.7692,0.3307,20,30,186.8,186.21,14,2.2,meta_subestimada,2025-09-25
MHF1202,Itapema-Canto_Praia-apartamento-TOP-2Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",2,248,1593.95,12,2525.58,2025-09,0.25,0.3191,7,30,,265.0,29,0.63,atenção,2025-09-25
NWT0615,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",5,150,4278.02,33,4282.3,2025-09,0.92,0.6542,23,30,267.5,254.0,7,1.0,berlinda,2025-09-25
PGO402,Pocos_de_Caldas-Geral-apartamento-SUP-1Q,Carteira 4,MG,"Poços de Caldas, MG","Poços de Caldas, MG, São Benedito",5,747,1707.66,31,1625.33,2025-09,0.48,0.4432,12,30,173.0,140.5,26,1.05,berlinda,2025-09-25
RFL203,Florianopolis-Jurere_Longe-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,950,2113.25,17,2758.25,2025-09,0.6333,0.5659,19,30,164.67,152.88,17,0.77,atenção,2025-09-25
RIE0315,Florianopolis-Ingleses_Norte-apartamento-JR-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",6,412,2344.6,46,2398.09,2025-09,0.625,0.4263,15,30,268.69,198.6,10,0.98,berlinda,2025-09-25
RUP0203,Blumenau-Central-apartamento-SUP-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Escola Agrícola",3,341,2108.77,63,1698.32,2025-09,0.8148,0.4912,22,30,432.62,314.06,17,1.24,ok,2025-09-25
SEM501,Itapema-Praia_Itapema-apartamento-TOP-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Morretes",0,726,3283.6,16,2851.62,2025-09,0.8667,0.4037,26,30,212.2,210.88,25,1.15,ok,2025-09-25
SHC0703,Balneario_Picarras-Geral-apartamento-TOP-2Q,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, Itajubá II",0,217,4008.95,33,1157.7,2025-09,0.8,0.1817,24,30,223.17,180.8,5,3.46,meta_subestimada,2025-09-25
SIP0709,Salvador-Piata-apartamento-SUP-1Q,Carteira 5,BA,"Salvador, BA","Salvador, BA, Itapuã",2,3,354.08,16,2668.41,2025-09,0.0714,0.6226,2,30,190.0,190.0,14,0.13,crítico,2025-09-25
SPT0407,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Itoupava Seca",0,390,1834.39,35,1512.11,2025-09,0.6333,0.4968,19,30,383.5,268.88,17,1.21,ok,2025-09-25
TAB0140,Garopaba-Centro-casa-JR-3Q,Carteira 6,SC,"Garopaba, SC","Garopaba, SC, Praia da Ferrugem",7,42,2706.76,17,1549.41,2025-09,0.8261,0.3243,19,30,224.33,199.38,13,1.75,ok,2025-09-25
TCO1013,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",1,160,2767.16,75,2131.42,2025-09,0.8966,0.6172,26,30,128.17,,0,1.3,ok,2025-09-25
VBM1313,Sao_Paulo-Mariana-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Vila Clementino",2,333,2251.82,166,3253.8,2025-09,0.5357,0.6517,15,30,169.5,169.58,19,0.69,atenção,2025-09-25
VDG114,Florianopolis-Ingleses_Norte-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,1119,1102.63,27,1304.16,2025-09,0.3667,0.4449,11,30,172.57,177.82,22,0.85,berlinda,2025-09-25
VDR0202,Florianopolis-Cachoeira_Bom_Jesus-apartamento-TOP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus",10,355,4984.6,7,5143.63,2025-09,0.65,0.7317,13,30,544.5,488.4,5,0.97,berlinda,2025-09-25
VST002,Especial-VST-casa-TOP-1Q,Carteira 5,SC,"Anitápolis, SC","Anitápolis, SC, Rio dos Pinheiros",1,427,2892.72,36,2529.96,2025-09,0.3793,0.2014,11,30,299.29,184.91,22,1.14,ok,2025-09-25
WSH0208,Curitiba-Batel-apartamento-SUP-1Q,Carteira 4,PR,"Curitiba, PR","Curitiba, PR, Bigorrilho",0,101,3462.7,195,2921.45,2025-09,0.8333,0.6294,25,30,190.14,204.17,24,1.19,ok,2025-09-25
ACG302,Florianopolis-Canasvieiras_Perto-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,551,2097.69,21,681.28,2025-09,0.7333,0.3186,22,30,145.1,140.48,21,3.08,meta_subestimada,2025-09-25
ADE0003,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Chame-Chame",15,83,0.0,203,2862.8,2025-09,0.0,0.5837,0,30,,142.31,29,0.0,crítico,2025-09-25
APC0207,Florianopolis-Itacorubi-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Itacorubi",3,158,1049.33,25,1825.82,2025-09,0.2593,0.5192,7,30,,333.0,29,0.57,atenção,2025-09-25
CCA201,Florianopolis-Canajure-apartamento-SUP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",5,1927,3620.7,14,2487.95,2025-09,0.76,0.3305,19,30,442.48,,0,1.46,ok,2025-09-25
CCB103,Florianopolis-Jurere_Internacional-apartamento-SUP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",5,1390,2670.06,18,5415.03,2025-09,0.4,0.5363,10,30,314.73,280.33,18,0.49,crítico,2025-09-25
ETPA1103,Porto_Belo-Geral-apartamento-SUP-2Q,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, centro",0,185,3540.44,18,1552.33,2025-09,0.8667,0.303,26,30,152.08,159.16,19,2.28,meta_subestimada,2025-09-25
GBA1104,Sao_Paulo-Campo_Belo-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Campo Belo",0,112,2717.13,55,4036.65,2025-09,0.6667,0.7881,20,30,165.2,168.63,24,0.67,atenção,2025-09-25
HMA0305,Sao_Paulo-Mariana-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Centro",1,375,2916.52,166,3253.8,2025-09,0.7586,0.6517,22,30,186.42,178.94,17,0.9,berlinda,2025-09-25
ILC3401,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1285,8287.82,27,7048.76,2025-09,0.8333,0.8433,25,30,504.35,575.0,8,1.18,ok,2025-09-25
ILC3503,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",1,747,8327.4,27,7048.76,2025-09,0.8621,0.8433,25,30,636.55,604.82,11,1.18,ok,2025-09-25
JRE417,Porto_Alegre-Cidade_Baixa-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",0,717,2950.97,33,2754.3,2025-09,0.7333,0.6292,22,30,178.14,180.48,23,1.07,berlinda,2025-09-25
MUT0047,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-2Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",0,188,5450.16,28,2699.67,2025-09,0.9,0.6556,27,30,284.77,242.22,9,2.02,meta_subestimada,2025-09-25
NWT0611,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,154,5385.79,33,4282.3,2025-09,0.9333,0.6542,28,30,286.0,251.52,25,1.26,ok,2025-09-25
NXO0404,Sao_Paulo-Bela_Vista-apartamento-TOP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Consolação",0,168,2168.64,214,4116.85,2025-09,0.4667,0.7015,14,30,,254.59,29,0.53,atenção,2025-09-25
OKA110,Florianopolis-Campeche-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",1,992,2422.26,22,1531.56,2025-09,0.7931,0.4539,23,30,199.56,218.42,12,1.58,ok,2025-09-25
PDM0208,Sao_Paulo-Madalena-apartamento-TOP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Vila Madalena",0,76,5381.58,25,4201.52,2025-09,0.8,0.6779,24,30,266.56,245.31,13,1.28,ok,2025-09-25
PMC0400,Camboriu-Tabuleiro-casa-SUP-3Q,Carteira 6,SC,"Camboriú, SC","Balneário Camboriú, SC, Nova Esperança",6,52,4317.38,10,4383.8,2025-09,0.875,0.5701,21,30,292.5,164.5,2,0.98,berlinda,2025-09-25
PRN0001,Imbituba-Praia_do_Rosa-apartamento-JR-1Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",1,115,1195.78,30,1567.42,2025-09,0.5862,0.4119,17,30,105.83,100.2,25,0.76,atenção,2025-09-25
PSO0709,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",1,59,2897.47,11,1518.27,2025-09,0.8966,0.5812,26,30,209.08,140.33,6,1.91,ok,2025-09-25
RBN1104,Goiania-Sul-apartamento-SUP-2Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",2,475,4072.42,23,3358.69,2025-09,0.6429,0.6399,18,30,222.5,207.25,20,1.21,ok,2025-09-25
RFMB0011,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-JR-2Q,Carteira 2,BA,"Porto Seguro, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",0,264,2157.6,11,2345.37,2025-09,0.6667,0.4193,20,30,205.0,170.12,16,0.92,berlinda,2025-09-25
RSC0102,Florianopolis-Cachoeira_Bom_Jesus-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus",0,304,2892.3,8,907.56,2025-09,1.0,0.1993,30,30,125.05,130.4,10,3.19,meta_subestimada,2025-09-25
TCR0113,Aguas_Claras-Geral-apartamento-JR-1Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Taguatinga Sul",0,383,2880.07,88,2378.97,2025-09,0.9333,0.6505,28,30,,148.21,28,1.21,ok,2025-09-25
TPS0206,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,262,1953.83,20,2397.6,2025-09,0.5333,0.5347,16,30,,274.0,29,0.81,berlinda,2025-09-25
VLE008,Bombinhas-Mariscal-apartamento-JR-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, mariscal",6,1252,659.52,15,1017.05,2025-09,0.1667,0.2799,4,30,198.0,198.0,25,0.65,atenção,2025-09-25
VTD0310,Florianopolis-UFSC-apartamento-SUP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Trindade",0,13,3601.43,39,2601.66,2025-09,1.0,0.6281,30,30,185.9,199.64,11,1.38,ok,2025-09-25
CDS0401,Florianopolis-Jurere_Internacional-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurere Internacional",0,84,2953.96,11,4136.31,2025-09,0.6,0.4742,18,30,217.32,199.0,4,0.71,atenção,2025-09-25
CNA001,Especial-CNA-casa-MASTER-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",5,955,9994.92,25,9346.12,2025-09,0.68,0.5516,17,30,495.0,674.0,27,1.07,berlinda,2025-09-25
COI203,Florianopolis-Praia_Brava-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Praia Brava",30,1204,0.0,9,2084.7,2025-09,,0.2616,0,30,,,0,0.0,crítico,2025-09-25
CZZ0406,Urubici-Geral-apartamento-SUP-1Q,Especial,SC,"Urubici, SC","Urubici, SC, Centro",0,69,3497.41,53,2181.1,2025-09,0.6667,0.2595,20,30,207.17,242.69,16,1.6,ok,2025-09-25
ELO0207,Balneario_Camboriu-Intermediario-apartamento-JR-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",3,501,0.0,20,2910.77,2025-09,0.0,0.509,0,30,153.4,167.33,24,0.0,crítico,2025-09-25
EPP0602,Guarapari-Praia_do_Morro-apartamento-JR-3Q,Carteira 4,ES,"Guarapari, ES","Guarapari, ES, Praia do Morro",0,138,2137.31,34,2043.5,2025-09,0.6,0.4717,18,30,198.58,187.1,10,1.05,berlinda,2025-09-25
HOA0704,Salvador-Ondina_Rio_Vermelho-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Ondina",2,40,3292.41,66,2652.08,2025-09,0.9643,0.6502,27,30,167.06,155.46,13,1.24,ok,2025-09-25
ILH106,Florianopolis-Canasvieiras_Perto-apartamento-TOP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",11,738,3414.62,7,5143.63,2025-09,0.8421,0.7317,16,30,388.28,321.8,5,0.66,atenção,2025-09-25
JTL002,Florianopolis-Jurere_Longe-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",1,434,2175.6,31,1111.69,2025-09,0.8276,0.4485,24,30,200.0,112.18,28,1.96,ok,2025-09-25
LIV1104,Salvador-Graca-apartamento-TOP-1Q,Especial,BA,"Salvador, BA","Salvador, BA, Vitória",0,91,4117.95,11,2171.32,2025-09,0.9333,0.6367,28,30,192.93,214.47,15,1.9,ok,2025-09-25
OKA120,Florianopolis-Campeche-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",4,979,2038.35,22,1531.56,2025-09,0.7308,0.4539,19,30,188.26,214.0,10,1.33,ok,2025-09-25
POSC0311,Florianopolis-Ingleses_Praia-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,306,2135.38,19,1357.2,2025-09,0.6333,0.4232,19,30,169.89,245.58,12,1.57,ok,2025-09-25
PRM007,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-2Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",0,497,3609.46,28,2699.67,2025-09,0.6667,0.6556,20,30,276.6,247.13,16,1.34,ok,2025-09-25
PSO0704,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,75,3080.01,11,1518.27,2025-09,0.8667,0.5812,26,30,183.0,155.13,15,2.03,meta_subestimada,2025-09-25
PTB0105,Cabo_Frio-Pero_Longe-casa-JR-2Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, OGIVA",2,229,2892.7,12,1355.09,2025-09,0.9286,0.4177,26,30,179.0,152.33,15,2.13,meta_subestimada,2025-09-25
RAG0406,Balneario_Picarras-Geral-apartamento-JR-2Q,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, Itacolomi",0,189,2566.17,27,886.14,2025-09,0.9333,0.3288,28,30,131.15,129.11,18,2.9,meta_subestimada,2025-09-25
RES201,Florianopolis-Ingleses_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,797,752.0,22,2595.66,2025-09,0.1667,0.6402,5,30,253.9,205.47,19,0.29,crítico,2025-09-25
SCO0009,Florianopolis-Campeche-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,166,1604.07,22,1166.84,2025-09,0.5667,0.4206,17,30,116.13,117.19,16,1.37,ok,2025-09-25
SOA0908,Salvador-Boca_do_Rio-apartamento-TOP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Boca do Rio",0,111,3003.63,12,3677.87,2025-09,0.8667,0.6822,26,30,,195.72,29,0.82,berlinda,2025-09-25
VGT025,Ilheus-Sul-apartamento-JR-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Nossa Senhora da Vitória",0,150,2709.19,23,1946.5,2025-09,0.9333,0.342,28,30,176.4,126.7,20,1.39,ok,2025-09-25
VJGM0102,Ilheus-Sul-apartamento-JR-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Nossa Senhora da Vitória",0,300,2136.14,23,1946.5,2025-09,0.8,0.342,24,30,,133.03,29,1.1,berlinda,2025-09-25
