listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,atingimento_meta,grupo_criticidade,data_atualizacao
OKA102,Florianopolis-Campeche-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",1,992,2294.12,22,1531.56,2025-09,0.6207,0.4539,18,30,179.29,215.14,14,1.5,ok,2025-09-25
PSD101,Florianopolis-Jurere_Tradicional-apartamento-SIM-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",7,1929,1597.54,12,1849.92,2025-09,0.7826,0.3769,18,30,155.35,144.09,11,0.86,berlinda,2025-09-25
SBA0401,Maceio-Jatiuca-apartamento-JR-3Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Jatiúca",4,577,1727.3,17,3492.02,2025-09,0.5769,0.6,15,30,321.13,204.75,4,0.49,crítico,2025-09-25
SCO0005,Florianopolis-Campeche-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,66,2707.58,22,1166.84,2025-09,0.9,0.4206,27,30,156.0,142.42,19,2.32,meta_subestimada,2025-09-25
SPJ0502,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,322,3824.97,15,3792.7,2025-09,0.9,0.5025,27,30,209.95,245.82,11,1.01,berlinda,2025-09-25
TPS205,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,761,2159.44,20,2397.6,2025-09,0.7333,0.5347,22,30,164.0,,0,0.9,berlinda,2025-09-25
TXP1916,Goiania-Central-apartamento-TOP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",0,395,3888.28,49,3075.47,2025-09,0.8,0.601,24,30,222.48,260.5,6,1.26,ok,2025-09-25
VLR301,Florianopolis-Centrao-apartamento-SUP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Centro",4,927,2570.11,119,3201.1,2025-09,0.8846,0.5646,23,30,159.56,155.33,21,0.8,berlinda,2025-09-25
VST027,Especial-VST-casa-TOP-1Q,Carteira 5,SC,"Anitápolis, SC","Anitápolis, SC, Rio dos Pinheiros",10,6,2061.15,36,2529.96,2025-09,0.5,0.2014,10,30,315.29,183.27,22,0.81,berlinda,2025-09-25
ATP0003,Porto_Seguro-Pitinga-casa-SUP-4Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial D Ajuda",12,203,2416.5,8,2596.63,2025-09,0.3333,0.2222,6,30,,579.52,29,0.93,berlinda,2025-09-25
CNB011,Especial-CNB-casa-TOP-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",1,530,8828.48,14,6686.31,2025-09,0.5172,0.6578,15,30,583.33,603.73,26,1.32,ok,2025-09-25
ECM204,Florianopolis-Lagoa-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa da Conceição",1,1063,2235.0,23,2646.9,2025-09,0.6897,0.7257,20,30,168.5,151.04,27,0.84,berlinda,2025-09-25
LGR204,Florianopolis-Ingleses_Centro-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,983,1261.28,17,1883.24,2025-09,0.6,0.5986,18,30,119.19,111.8,15,0.67,atenção,2025-09-25
