listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,atingimento_meta,grupo_criticidade,falta_meta,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,prioridade,status_operacional
BLS1355,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista",3,711,3130.69,143,2973.3,2025-09,0.7407,0.6535,20,30,172.25,180.43,23,1.05,berlinda,-157.38999999999987,-0.0,7280.58,6204.5135230000005,-9.550962802273558,12.277580071174377,Baixa,🟢 Acima com folga
EJO0401,Florianopolis-Centrao-apartamento-JR-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",1,139,2086.68,67,2541.64,2025-09,0.6897,0.621,20,30,184.29,148.07,14,0.82,berlinda,454.96000000000004,4.0,4159.66,3516.4143059999997,6.626226294833258,44.30604982206406,Baixa,🟢 Abaixo viável
ATP0006,Porto_Seguro-Pitinga-casa-SUP-4Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial dAjuda",10,278,2767.57,8,2596.63,2025-09,0.3,0.2222,6,30,685.6,625.73,11,1.07,berlinda,-170.94000000000005,-0.0,9650.6,4832.479,-41.19273296542058,0.7117437722419928,Baixa,🟢 Acima com folga
BFT3207,Goiania-Leste-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Jardim Goiás",2,711,3008.36,80,2826.36,2025-09,0.8929,0.6358,25,30,159.29,151.06,17,1.06,berlinda,-182.0,-1.0,5576.38,5301.345058000001,9.727324190832023,61.92170818505338,Média,🟢 Acima com folga
ERZ0502,Balneario_Camboriu-Intermediario-apartamento-JR-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",1,564,1419.93,44,1717.17,2025-09,0.4138,0.462,12,30,295.63,275.0,21,0.83,berlinda,297.24,2.0,7194.93,3809.625,23.801079683432622,93.23843416370107,Crítica,🟢 Abaixo viável
ILC1506,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",1,395,7290.33,27,7048.76,2025-09,0.7931,0.8433,23,30,586.76,583.0,12,1.03,berlinda,-241.5699999999997,-0.0,14286.33,12838.8576,-19.9801539561568,4.092526690391459,Baixa,🟢 Acima com folga
JVV303,Florianopolis-Itacorubi-apartamento-SUP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Itacorubi",1,529,2572.42,13,2802.96,2025-09,0.7931,0.7419,23,30,147.75,161.96,26,0.92,berlinda,230.53999999999996,2.0,6783.38,5912.132376,6.660505037531751,44.83985765124555,Baixa,🟢 Abaixo viável
NWT1020,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,119,3442.8,33,4282.3,2025-09,0.5667,0.6542,17,30,275.08,280.0,17,0.8,berlinda,839.5,3.0,8202.8,6140.292,18.29702107123119,88.07829181494662,Crítica,🟢 Abaixo viável
RTG101,Florianopolis-Ingleses_Norte-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,1112,2644.37,16,2915.28,2025-09,0.5667,0.464,17,30,238.64,321.58,19,0.91,berlinda,270.9100000000003,1.0,8754.39,6106.918334,29.883660506023464,96.26334519572953,Crítica,🟢 Abaixo viável
SLV0011,Goiania-Universitario-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Leste Vila Nova",0,262,2560.25,74,2974.98,2025-09,0.7667,0.5576,23,30,140.87,138.07,15,0.86,berlinda,414.73,4.0,4631.299999999999,4148.124035,4.811945887031172,36.83274021352313,Baixa,🟢 Abaixo viável
TCO0316,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",0,503,2234.6,75,2131.42,2025-09,0.7333,0.6172,22,30,130.5,130.29,17,1.05,berlinda,-103.17999999999984,-0.0,4449.53,3858.808169,-6.307214063863517,18.14946619217082,Baixa,🟢 Acima com folga
TPS0308,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,90,2565.48,20,2397.6,2025-09,0.6,0.5347,18,30,169.91,174.11,9,1.07,berlinda,-167.8800000000001,-0.0,4132.47,3505.674,-12.191185685685696,8.540925266903916,Baixa,🟢 Acima com folga
TXP1004,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",0,160,3131.42,143,2973.3,2025-09,0.8,0.6535,24,30,179.33,194.04,24,1.05,berlinda,-158.1199999999999,-0.0,7788.38,6856.988,-10.319041065482788,10.676156583629894,Baixa,🟢 Acima com folga
JBV248,Especial-JBV-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1238,7390.9,32,7018.73,2025-09,0.7667,0.7825,23,30,562.28,555.25,4,1.05,berlinda,-372.1700000000001,-0.0,9611.9,9093.7407,-29.442276950388468,1.7793594306049825,Baixa,🟢 Acima com folga
SJS0004,Florianopolis-Ingleses_Centro-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,256,1637.21,17,1883.24,2025-09,0.7,0.5986,21,30,101.67,106.84,25,0.87,berlinda,246.02999999999997,3.0,4308.21,3506.91,4.652592553259277,35.94306049822064,Baixa,🟢 Abaixo viável
